N	2gram	Bakhtin_fo_2	Myslijsy
1	потому что	8	49
2	то есть	10	30
3	и в	46	24
4	может быть	7	23
5	то что	7	20
6	и не	9	19
7	в том	10	18
8	а не	4	18
9	что в	5	16
10	не только	11	15
11	по себе	2	15
12	того же	3	14
13	при этом	6	13
14	не в	9	13
15	было бы	2	13
16	то же	8	12
17	но не	5	12
18	мы можем	1	12
19	не может	2	12
20	мы не	1	11
21	таким образом	3	11
22	вместе с	9	11
23	если бы	1	11
24	что и	3	11
25	только в	11	11
26	как в	4	10
27	в себе	4	10
28	для него	3	10
29	и проч	1	10
30	так что	4	10
31	так как	6	10
32	в нем	5	9
33	вовсе не	13	9
34	то и	1	9
35	но и	9	9
36	как бы	10	9
37	и на	7	8
38	в этом	22	8
39	том что	4	8
40	могут быть	2	8
41	под влиянием	1	8
42	а в	3	8
43	в чем	1	7
44	во всех	11	7
45	с этим	5	7
46	как и	8	7
47	не могут	1	7
48	прежде всего	14	7
49	сами по	2	7
50	тем что	3	7
51	того что	3	7
52	во всяком	2	7
53	и т	14	6
54	что если	1	6
55	и как	3	6
56	в состоянии	1	6
57	и того	1	6
58	одного и	1	6
59	в то	5	6
60	не имеет	1	6
61	связи с	8	6
62	свою очередь	1	6
63	между тем	1	6
64	и только	2	6
65	не можем	1	6
66	в одном	7	6
67	с другой	2	6
68	не было	3	6
69	в ряду	4	6
70	этого слова	1	6
71	в свою	1	6
72	по поводу	1	6
73	что они	4	5
74	все остальные	1	5
75	все же	6	5
76	уже в	4	5
77	бы не	1	5
78	есть не	1	5
79	и уже	1	5
80	с ним	4	5
81	так и	7	5
82	о том	4	5
83	тот же	3	5
84	бы ни	1	5
85	из них	8	5
86	в них	7	5
87	для того	8	5
88	в природе	1	5
89	что не	1	5
90	и их	4	5
91	только для	2	5
92	же в	4	5
93	в которой	1	5
94	в самом	1	4
95	время как	1	4
96	еще не	6	4
97	внутренняя форма	1	4
98	но в	10	4
99	уже не	3	4
100	из этих	4	4
101	только один	2	4
102	как он	2	4
103	так сказать	7	4
104	а вместе	1	4
105	с тем	2	4
106	такой же	1	4
107	в котором	4	4
108	место в	4	4
109	сих пор	2	4
110	стало быть	1	4
111	одном из	2	4
112	между прочим	1	4
113	они не	1	4
114	одна из	1	4
115	должны быть	1	4
116	в некоторых	2	4
117	то время	1	4
118	так в	1	4
119	никогда не	6	4
120	и что	1	4
121	для самого	1	4
122	свет и	2	4
123	что он	3	4
124	с одной	2	4
125	и вместе	1	4
126	до сих	2	4
127	влияние на	2	4
128	души и	1	4
129	там где	2	4
130	если не	2	4
131	во время	10	4
132	в таком	1	4
133	говоря о	1	3
134	например в	1	3
135	человека и	4	3
136	и то	1	3
137	тем же	2	3
138	есть нечто	1	3
139	же что	1	3
140	если в	2	3
141	хотя и	3	3
142	на нас	3	3
143	с чем	1	3
144	т д	3	3
145	при виде	3	3
146	не как	1	3
147	в человеческой	1	3
148	так например	1	3
149	человека в	6	3
150	них не	1	3
151	его в	6	3
152	это не	2	3
153	и тем	1	3
154	о которых	1	3
155	рядом с	2	3
156	далеко не	2	3
157	и тогда	1	3
158	в этих	3	3
159	себе в	1	3
160	в ней	1	3
161	и притом	1	3
162	на него	1	3
163	которых мы	1	3
164	оно не	1	3
165	как не	1	3
166	самое это	1	3
167	те же	6	3
168	том как	3	3
169	мы в	1	3
170	и вообще	1	3
171	находится в	2	3
172	но мы	1	3
173	не имеем	1	3
174	и во	6	3
175	и у	5	3
176	т п	11	3
177	входят в	1	3
178	они с	1	3
179	что на	3	3
180	одной стороны	1	3
181	в самой	2	3
182	слова и	3	3
183	но это	2	3
184	и для	9	3
185	и от	2	3
186	и все	6	3
187	нет но	1	3
188	одною из	1	3
189	все что	2	3
190	как на	2	3
191	самом деле	1	2
192	на самом	1	2
193	и есть	2	2
194	чего не	1	2
195	не имеют	1	2
196	отношения к	4	2
197	человеческой природы	2	2
198	вопрос о	1	2
199	с его	1	2
200	тем как	1	2
201	совсем не	2	2
202	значение и	4	2
203	в общем	1	2
204	за пределы	1	2
205	что во	1	2
206	его на	1	2
207	бы при	1	2
208	все эти	5	2
209	в нашем	1	2
210	и тот	1	2
211	сказать в	1	2
212	перестает быть	2	2
213	всех этих	7	2
214	и по	3	2
215	на этом	2	2
216	одно и	1	2
217	ни был	1	2
218	но все	1	2
219	в каждом	1	2
220	связанные с	5	2
221	в другом	3	2
222	ни с	1	2
223	от прикосновения	3	2
224	должно быть	5	2
225	не столько	1	2
226	но он	2	2
227	с такою	2	2
228	и действия	1	2
229	их в	4	2
230	не полное	1	2
231	тому что	1	2
232	что есть	1	2
233	или что	1	2
234	и его	12	2
235	есть прежде	1	2
236	сказать что	1	2
237	самого начала	1	2
238	что ему	1	2
239	для кого	1	2
240	но только	1	2
241	того чтобы	8	2
242	и весь	2	2
243	же время	4	2
244	во всем	1	2
245	животных и	1	2
246	у нас	2	2
247	когда мы	1	2
248	во все	2	2
249	его с	1	2
250	как для	1	2
251	не противоречит	1	2
252	существует только	1	2
253	и это	2	2
254	что все	2	2
255	в себя	2	2
256	с самого	1	2
257	было в	1	2
258	прикосновения к	3	2
259	и здесь	1	2
260	и поэтому	1	2
261	внимание на	1	2
262	близки к	1	2
263	это было	1	2
264	и следовательно	1	2
265	в формах	1	2
266	один из	2	2
267	мы видим	2	2
268	во времени	3	2
269	в теле	1	2
270	есть в	1	2
271	с нею	1	2
272	мы принуждены	1	2
273	и они	3	2
274	а это	1	2
275	и других	2	2
276	в пространстве	5	2
277	но что	1	2
278	у него	9	2
279	такое же	1	2
280	и затем	2	2
281	себя и	3	2
282	между ними	2	2
283	по направлению	1	2
284	ничем не	1	2
285	не на	3	2
286	было для	1	2
287	для их	1	2
288	это самое	1	2
289	и силы	1	2
290	в связи	8	2
291	можем в	1	2
292	так же	2	2
293	и потому	2	2
294	как это	2	2
295	быть только	1	2
296	все это	6	2
297	из себя	1	2
298	в его	8	2
299	бы в	1	2
300	на более	1	2
301	нам не	1	2
302	другой стороны	1	2
303	имеет место	3	2
304	взгляда на	1	2
305	но эти	3	2
306	свет не	1	2
307	к этому	3	2
308	которых не	1	1
309	ту же	2	1
310	отношение к	3	1
311	чтобы не	1	1
312	и действительно	1	1
313	но чтобы	1	1
314	связи между	2	1
315	ветряных мельниц	3	1
316	значении этого	1	1
317	тех же	1	1
318	словами и	1	1
319	и так	2	1
320	и до	2	1
321	должна быть	1	1
322	видеть в	1	1
323	в самое	1	1
324	которыми он	1	1
325	мы уже	9	1
326	приведенных примеров	2	1
327	для своего	1	1
328	почему бы	1	1
329	которую мы	1	1
330	понимает не	1	1
331	служат только	1	1
332	на каждом	1	1
333	принадлежит к	2	1
334	от друга	2	1
335	из того	1	1
336	они были	2	1
337	существенное значение	1	1
338	всех сторон	1	1
339	столько же	2	1
340	в отличие	1	1
341	которые так	1	1
342	бы она	2	1
343	но конечно	1	1
344	в ее	1	1
345	могло быть	1	1
346	вне связи	1	1
347	мы будем	3	1
348	но как	1	1
349	друг на	2	1
350	для других	3	1
351	себе и	1	1
352	явлениями и	1	1
353	отличие от	1	1
354	друг от	2	1
355	значение имеет	2	1
356	в истории	4	1
