N	3gram	Trubetskoy_1	Marksizm
1	с точки зрения	9	13
2	не может быть	4	10
3	по отношению к	1	8
4	то же время	10	8
5	в то же	10	8
6	в связи с	1	7
7	для того чтобы	6	6
8	в том что	7	6
9	в самом деле	1	5
10	то же самое	1	5
11	но в то	1	5
12	с самого начала	1	5
13	в свою очередь	1	5
14	в большинстве случаев	2	5
15	смысле этого слова	1	4
16	и того же	1	4
17	бы то ни	4	4
18	то ни было	1	4
19	на самом деле	6	4
20	той или иной	3	4
21	одного и того	1	4
22	и не может	3	3
23	до сих пор	5	3
24	о том что	2	3
25	к тому что	2	3
26	в противном случае	1	2
27	более или менее	4	2
28	является не только	1	2
29	того или иного	2	2
30	внутренней и внешней	1	2
31	по крайней мере	1	2
32	отнюдь не является	1	2
33	в значительной степени	1	2
34	во всяком случае	6	2
35	мы уже знаем	1	2
36	отнюдь не может	1	2
37	будет ли это	2	2
38	на то что	4	2
39	только в этом	1	2
40	и прежде всего	1	2
41	к тому же	1	2
42	в другом месте	1	1
43	а следовательно и	2	1
44	из всего этого	1	1
45	прежде всего на	1	1
46	дело в том	1	1
47	в том числе	1	1
48	точки зрения в	1	1
49	в этом случае	3	1
50	таким образом оказывается	1	1
51	он не может	1	1
52	если бы речь	2	1
53	ни к чему	2	1
54	тот или иной	1	1
55	до известной степени	1	1
56	от этого не	1	1
57	в этом отношении	1	1
58	том числе и	1	1
59	и дать ему	1	1
60	несмотря на то	1	1
61	жизни и в	1	1
62	и в других	1	1
63	самом деле ничего	1	1
64	к вопросу о	3	1
65	что в этих	1	1
66	тем не менее	1	1
67	может стремиться к	1	1
68	во всех этих	1	1
69	выйти не может	1	1
70	с другом как	1	1
71	или политической жизни	1	1
72	в этом направлении	2	1
73	к чему не	1	1
74	в его целом	1	1
75	о которых мы	1	1
76	и в том	2	1
77	ко всем этим	1	1
78	как бы не	1	1
79	общественной жизни конечно	1	1
80	последнее время в	1	1
81	в этом и	1	1
82	даже и в	1	1
83	свою очередь является	1	1
84	ни одна из	2	1
85	но все же	1	1
86	неизбежно приводит к	1	1
87	же время эти	1	1
88	так же и	1	1
89	друг от друга	2	1
90	друг с другом	14	1
91	этого не меняется	1	1
92	тем что он	1	1
93	быть не может	1	1
94	в противоречие с	2	1
95	всех этих случаях	1	1
96	что оно является	1	1
