N	4gram	Losev_Prob_4	VLabPisa
1	и в то же	1	3
2	одном и том же	1	2
3	в том числе и	1	2
4	мы имеем дело с	1	1
5	только в том что	2	1
6	не может обойтись без	2	1
7	приведем только два примера	1	1
8	что они отнюдь не	1	1
9	мало чем отличается от	1	1
10	является не чем иным	1	1
11	и вместе с тем	1	1
12	с этой точки зрения	1	1
13	в том смысле что	1	1
14	не чем иным как	2	1
15	имеет ничего общего с	1	1
16	в той или иной	7	1
17	по крайней мере для	2	1
18	в одном и том	1	1
19	сама по себе в	1	1
20	не имеет ничего общего	2	1
21	той или иной мере	3	1
22	ни в какой мере	4	1
23	в то время как	2	1
24	так же как и	1	1
25	же в таком случае	1	1
26	чем же в таком	1	1
27	в какой мере не	4	1
28	не говоря уже о	1	1
29	не значит что он	1	1
