N	3gram	Tiupa_Lite_2	Marksizm
1	с точки зрения	3	13
2	не может быть	7	10
3	по отношению к	3	8
4	то же время	9	8
5	в то же	9	8
6	для того чтобы	1	6
7	в том что	5	6
8	то же самое	1	5
9	в свою очередь	1	5
10	бы то ни	1	4
11	то ни было	1	4
12	на самом деле	1	4
13	той или иной	1	4
14	и не может	1	3
15	в отличие от	1	3
16	одно и то	2	3
17	с одной стороны	6	3
18	и то же	2	3
19	вовсе не является	1	3
20	о том что	2	3
21	к тому что	1	3
22	как мы видели	1	3
23	одной стороны и	1	2
24	если б мы	1	2
25	крайней мере двух	1	2
26	внутренней и внешней	1	2
27	по крайней мере	2	2
28	в соединении с	1	2
29	так и от	1	2
30	и прежде всего	1	2
31	но и он	1	1
32	в сочетании с	1	1
33	в нашем понимании	1	1
34	с предшествующим и	1	1
35	не перестает быть	1	1
36	не говоря уже	2	1
37	в том числе	2	1
38	в соответствии с	1	1
39	в этом случае	2	1
40	он не может	1	1
41	говоря уже о	2	1
42	в этом отношении	3	1
43	предшествующим и последующим	1	1
44	и т.д и	1	1
45	при этом однако	1	1
46	том числе и	1	1
47	у него нет	1	1
48	жизни и в	1	1
49	в данный момент	1	1
50	в равной степени	2	1
51	тем не менее	2	1
52	для него в	1	1
53	не могут быть	1	1
54	во всех этих	1	1
55	а с другой	1	1
56	приводит к тому	1	1
57	с другой стороны	4	1
58	и в соответствии	1	1
59	при этом как	1	1
60	речь в данном	1	1
61	в себе не	1	1
62	в конечном счете	5	1
63	в русской литературе	2	1
64	для него как	1	1
65	мыслится при этом	1	1
66	быть не может	1	1
67	и не является	1	1
68	это свидетельствует о	1	1
