N	3gram	Berdyaev_N_1	StatiiOP
1	в том что	1	17
2	о том что	1	11
3	можно было бы	1	8
4	до сих пор	1	7
5	с другой стороны	2	6
6	во всяком случае	1	6
7	не может быть	4	5
8	я думаю что	1	4
9	не только в	1	4
10	так же как	2	3
11	это не значит	2	3
12	не значит что	3	3
13	что в новом	1	2
14	в том числе	1	2
15	жизни и творчества	1	2
16	но и в	1	2
17	что в нем	2	2
18	том числе и	1	2
19	с одной стороны	2	2
20	в то время	1	2
21	не в том	1	2
22	то что в	1	2
23	вообще не существует	1	2
24	вопрос о том	2	2
25	в том смысле	1	2
26	как и в	1	2
27	никогда не было	2	1
28	как я уже	1	1
29	а не в	1	1
30	есть такой же	1	1
31	в этом смысле	2	1
32	в том и	2	1
33	же как и	1	1
34	потому что не	1	1
35	а не для	1	1
36	в зависимости от	1	1
37	сами по себе	1	1
38	в наше время	3	1
39	не быть в	1	1
40	в то что	1	1
41	истории как и	1	1
42	в том случае	1	1
43	и в наши	1	1
44	то время как	1	1
45	другой же стороны	1	1
46	в том чтобы	1	1
47	как будто бы	1	1
48	то что он	1	1
49	я не могу	1	1
50	не существует что	1	1
51	значит что в	2	1
52	и не может	1	1
53	том что нет	1	1
54	совсем не в	2	1
55	в этой системе	1	1
56	ни в чем	1	1
57	но я не	1	1
58	мы говорим о	1	1
59	на протяжении всей	1	1
60	быть не может	1	1
61	и не в	1	1
62	с другой же	1	1
