N	2gram	Vinokur_Ku_1	Poddanst
1	не только	10	17
2	и в	24	14
3	и не	12	12
4	в области	7	11
5	в этом	14	10
6	н а	1	10
7	в качестве	7	9
8	но в	2	9
9	то же	8	9
10	в том	30	9
11	в пределах	4	8
12	хотя бы	10	8
13	только в	11	7
14	в то	2	7
15	же время	2	7
16	в ней	6	6
17	xix века	5	6
18	было бы	15	6
19	е с	1	6
20	но и	6	6
21	в смысле	2	6
22	отношении к	1	5
23	в которых	6	5
24	с другой	7	5
25	может быть	13	5
26	и пр	15	5
27	не в	11	5
28	если бы	9	4
29	тех кто	1	4
30	а также	1	4
31	и е	1	4
32	в своем	3	4
33	как бы	7	4
34	и если	3	4
35	гораздо большей	1	4
36	но также	2	4
37	том что	21	4
38	не может	7	4
39	и потому	4	4
40	в котором	3	4
41	по себе	2	4
42	что в	17	4
43	же в	4	4
44	а в	5	4
45	то что	9	4
46	и т	33	3
47	сводится к	3	3
48	столь же	1	3
49	между тем	5	3
50	это не	7	3
51	хотя и	3	3
52	и как	2	3
53	тот же	2	3
54	с ними	4	3
55	с одной	1	3
56	в себе	3	3
57	в нем	4	3
58	сами по	1	3
59	в россии	1	3
60	для того	16	3
61	заключается в	2	3
62	прежде всего	9	3
63	одной стороны	1	3
64	с тем	5	3
65	что мы	1	3
66	и без	1	3
67	с точки	9	3
68	но не	5	3
69	она есть	1	3
70	наряду с	1	3
71	могут быть	1	3
72	т е	38	3
73	тем самым	4	3
74	потому что	23	3
75	точки зрения	14	3
76	я и	1	3
77	например в	5	2
78	в сфере	1	2
79	в ее	1	2
80	переход от	4	2
81	и есть	2	2
82	было в	2	2
83	есть не	1	2
84	в сочетании	1	2
85	которую мы	1	2
86	по сравнению	1	2
87	есть нечто	1	2
88	к началу	1	2
89	которое в	2	2
90	никак не	2	2
91	не нужно	1	2
92	время в	1	2
93	во всех	1	2
94	в которую	1	2
95	говорить о	1	2
96	если в	2	2
97	в общем	3	2
98	со стороны	4	2
99	отнюдь не	1	2
100	в русском	4	2
101	с этим	4	2
102	того что	9	2
103	помнить что	1	2
104	как мир	1	2
105	теперь в	1	2
106	думать что	1	2
107	есть в	4	2
108	в сопоставлении	1	2
109	в начале	1	2
110	главным образом	1	2
111	г и	1	2
112	и других	1	2
113	в его	12	2
114	из них	4	2
115	в силу	10	2
116	и вот	1	2
117	как раз	8	2
118	именно как	1	2
119	и с	5	2
120	как факт	1	2
121	именно в	6	2
122	и мы	2	2
123	и тем	2	2
124	в жизни	1	2
125	для них	2	2
126	в них	7	2
127	весьма вероятно	1	2
128	не было	3	2
129	а не	8	2
130	должно быть	3	2
131	нужно было	2	2
132	эта идея	1	2
133	в европе	1	2
134	образом на	1	2
135	не столько	2	2
136	друг другу	1	2
137	культуры в	1	2
138	не менее	7	2
139	все это	6	2
140	между прочим	2	2
141	на этих	1	2
142	одна из	1	2
143	слова но	2	2
144	да и	1	2
145	еще более	1	2
146	тем более	2	2
147	для нас	2	2
148	может и	1	2
149	подошел к	1	2
150	в частности	4	2
151	и русского	1	2
152	в недрах	1	2
153	так называемые	3	2
154	как на	3	2
155	в применении	1	1
156	поскольку не	1	1
157	также что	1	1
158	также и	2	1
159	же как	1	1
160	связана с	1	1
161	и то	3	1
162	средств в	1	1
163	на основе	1	1
164	в периоды	1	1
165	в иных	2	1
166	в себя	1	1
167	и осмыслить	1	1
168	культурной традиции	1	1
169	смысл этого	1	1
170	по преимуществу	2	1
171	к жизни	2	1
172	идет речь	2	1
173	применении к	1	1
174	уяснить себе	1	1
175	должна быть	3	1
176	собственном смысле	1	1
177	чтобы дать	2	1
178	за то	1	1
179	поэзии и	1	1
180	не с	3	1
181	в борьбе	1	1
182	для самой	2	1
183	бы что	1	1
184	для этого	3	1
185	в собственном	2	1
186	ними как	1	1
187	находится в	1	1
188	на себя	3	1
189	условия в	3	1
190	непременно и	1	1
191	том виде	1	1
192	в некотором	1	1
193	мы и	1	1
194	и здесь	3	1
195	но несколько	1	1
196	может сочетаться	1	1
197	настоящее время	1	1
198	и что	5	1
199	еще не	5	1
200	были бы	2	1
201	и на	4	1
202	ответа на	1	1
203	в различных	1	1
204	а м	1	1
205	с его	4	1
206	вопросу о	1	1
207	учреждений и	1	1
208	глаза на	1	1
209	связь между	1	1
210	бы часть	1	1
211	в противоречии	1	1
212	не все	2	1
