N	3gram	Savitsky_E_1	VeschiIm
1	и т д	1	20
2	не может быть	2	18
3	это значит что	1	17
4	бы то ни	4	9
5	то ни было	4	9
6	не значит ли	1	6
7	в том что	6	6
8	на то что	2	6
9	в свою очередь	2	5
10	т е не	1	4
11	с точки зрения	16	4
12	не только в	4	4
13	то же время	14	4
14	значит ли это	1	4
15	в то же	15	4
16	более или менее	1	3
17	и не только	1	3
18	и в то	8	3
19	из того что	2	3
20	можно было бы	3	3
21	то и другое	1	3
22	само по себе	4	3
23	ли это что	1	3
24	не может не	1	2
25	можно сказать что	3	2
26	этой точки зрения	5	2
27	дело в том	1	2
28	как бы ни	3	2
29	не есть ли	1	2
30	с этой точки	5	2
31	и в частности	2	2
32	в данном случае	2	2
33	есть не только	2	2
34	заключается в том	2	2
35	не только это	1	2
36	к тому что	1	2
37	и того же	1	1
38	только в виде	1	1
39	всем другим в	1	1
40	качестве одного из	1	1
41	ничего иного кроме	1	1
42	того что в	2	1
43	между прочим и	2	1
44	т е прежде	1	1
45	в этом смысле	3	1
46	в себе не	1	1
47	можно сказать даже	1	1
48	одной стороны и	6	1
49	значит что на	1	1
50	и со стороны	2	1
51	что как бы	1	1
52	быть речи о	1	1
53	так как мы	1	1
54	и для всех	1	1
55	е прежде всего	1	1
56	может быть речи	1	1
57	кроме того что	1	1
58	та и другая	1	1
59	с в то	1	1
60	и не в	1	1
61	есть то что	1	1
62	может быть и	1	1
63	но само по	1	1
64	хотя бы и	3	1
65	в применении к	3	1
66	мы видим как	1	1
67	то время как	1	1
68	так же как	5	1
69	ни было только	1	1
70	того что мы	1	1
71	или хотя бы	2	1
72	но в то	2	1
73	с одной стороны	8	1
74	себе не только	1	1
75	смысле этого слова	1	1
76	каких бы то	2	1
77	и в этом	4	1
78	в качестве одного	1	1
79	не относится к	1	1
80	не входя в	1	1
81	с другой стороны	2	1
82	в самом понятии	1	1
83	что эти две	1	1
84	речь идет о	1	1
85	есть ли это	1	1
86	с но и	1	1
87	во всяком случае	3	1
88	мы не можем	1	1
89	но также и	1	1
90	том смысле что	1	1
91	в то время	1	1
92	прежде всего к	2	1
93	только и можно	1	1
94	есть нечто абсолютно	1	1
95	хотя бы в	2	1
96	является в общем	1	1
97	на то или	1	1
98	вместо того чтобы	1	1
99	и прежде всего	3	1
100	именно потому что	1	1
101	оно всегда в	1	1
102	одного и того	1	1
103	для того чтобы	5	1
104	что оно не	1	1
105	в том смысле	1	1
106	тем более к	2	1
107	тех или иных	1	1
108	в отношении к	12	1
109	друг с другом	3	1
110	это может быть	1	1
111	в себе в	1	1
112	на такой вопрос	1	1
113	и та и	1	1
114	но и то	1	1
115	на то чтобы	1	1
116	только тогда когда	1	1
117	и только в	2	1
