N	2gram	Propp_Isto_7	Sotsiolo
1	все это	8	7
2	в том	7	5
3	в этом	12	5
4	и только	1	3
5	для нас	6	3
6	не только	21	3
7	и в	24	3
8	не в	9	3
9	в его	1	3
10	как только	2	2
11	но и	11	2
12	было бы	2	2
13	должна быть	1	2
14	только в	6	2
15	дело не	5	2
16	далеко не	1	2
17	тем более	2	2
18	том что	10	2
19	в частности	1	2
20	как будто	1	2
21	то что	7	2
22	или даже	2	2
23	и что	10	2
24	еще не	8	2
25	только как	1	2
26	таким образом	7	2
27	отношению к	1	2
28	в конце	3	2
29	что в	13	2
30	может быть	14	2
31	как бы	4	2
32	по отношению	1	2
33	очевидно что	1	2
34	по существу	4	2
35	то же	8	2
36	в свои	1	1
37	право на	5	1
38	же не	1	1
39	по себе	1	1
40	сама по	1	1
41	в этой	1	1
42	тому что	2	1
43	более не	1	1
44	и должны	1	1
45	на все	1	1
46	с другой	9	1
47	его в	3	1
48	дает нам	1	1
49	с ним	5	1
50	это не	10	1
51	новые и	2	1
52	на этот	2	1
53	именно в	1	1
54	в чем	5	1
55	и история	1	1
56	все же	9	1
57	один из	7	1
58	и есть	1	1
59	перед нами	2	1
60	в то	2	1
61	хотелось бы	1	1
62	это дает	1	1
63	и наконец	3	1
64	случае только	1	1
65	а с	1	1
66	том как	1	1
67	тем что	6	1
68	и как	1	1
69	что эти	2	1
70	на ней	3	1
71	что он	21	1
72	прежде всего	2	1
73	в них	3	1
74	так и	5	1
75	одной стороны	5	1
76	те же	1	1
77	и не	4	1
78	в любой	1	1
79	на тех	1	1
80	никогда не	4	1
81	на основании	1	1
82	мы не	4	1
83	это как	2	1
84	со своими	1	1
85	ничего не	5	1
86	мы еще	1	1
87	и о	2	1
88	связь между	1	1
89	все эти	2	1
90	далеко еще	1	1
91	как и	6	1
92	между собой	1	1
93	для этого	1	1
94	она должна	1	1
95	мы должны	4	1
96	в таких	2	1
97	их на	2	1
98	но она	1	1
99	вот в	1	1
100	конечно не	2	1
101	в связи	2	1
102	на первый	4	1
103	и его	3	1
104	в этих	13	1
105	связи с	3	1
106	или не	1	1
107	хотя бы	1	1
108	вступает в	3	1
109	в целом	1	1
110	для наших	1	1
111	не может	14	1
112	в своей	1	1
113	только тогда	1	1
114	не от	2	1
115	а в	10	1
116	него и	3	1
117	что она	5	1
118	можно будет	1	1
119	о том	9	1
120	не дает	1	1
121	именно и	1	1
122	и потому	1	1
123	в него	1	1
124	но именно	1	1
125	в котором	2	1
126	никак не	1	1
127	происходит не	1	1
128	с социальной	1	1
129	и связь	1	1
130	в силу	2	1
131	мы понимаем	1	1
132	он говорит	2	1
133	должно было	2	1
134	что это	6	1
135	у которых	1	1
136	вовсе не	4	1
137	не исчерпываются	1	1
138	же самое	1	1
139	с одной	5	1
140	в заключение	1	1
141	но не	6	1
142	у него	10	1
143	в виде	1	1
144	дело конечно	1	1
145	в данном	4	1
146	два типа	1	1
147	и по	3	1
148	это происходит	3	1
149	не меняет	1	1
150	не один	1	1
151	и более	1	1
152	в каждом	1	1
153	они не	2	1
154	это значит	2	1
