N	3gram	Vinokur_Ku_3	NovoeSre
1	не может быть	3	4
2	в наши дни	1	3
3	в этом смысле	1	2
4	вместе с тем	1	2
5	так же как	1	2
6	с одной стороны	4	2
7	это не значит	1	2
8	с другой стороны	3	2
9	когда мы говорим	1	2
10	и того же	2	1
11	для этого конечно	1	1
12	нужно помнить что	1	1
13	что она не	1	1
14	но это уже	1	1
15	заинтересована в том	1	1
16	мы говорим что	1	1
17	а не с	1	1
18	одного и того	2	1
19	есть прежде всего	1	1
20	в том числе	2	1
21	а не для	1	1
22	характер и в	1	1
23	до сих пор	8	1
24	и не может	1	1
25	в зависимости от	7	1
26	в отличие от	2	1
27	о том чтобы	1	1
28	вопрос о формах	1	1
29	наряду с этим	1	1
30	но и в	1	1
31	тому как в	1	1
32	можно было бы	10	1
33	бы сказать что	3	1
34	в том случае	4	1
35	не будет уже	1	1
36	было бы сказать	3	1
37	в том чтобы	3	1
38	не только в	3	1
39	и не могут	1	1
40	в известном смысле	2	1
41	не могут быть	2	1
42	по природе своей	1	1
43	не в том	2	1
44	то что он	1	1
45	во всяком случае	1	1
46	лишь в том	2	1
47	не должно быть	1	1
48	о том что	3	1
49	в то время	1	1
50	но для этого	1	1
51	и вместе с	1	1
52	в этом я	1	1
53	выходит за пределы	1	1
54	мы говорим о	1	1
55	есть такой же	1	1
56	в том смысле	1	1
57	это не есть	1	1
58	быть не может	1	1
59	должно быть в	2	1
60	в том что	8	1
