N	3gram	Tiupa_Disk_1	PoTuStor
1	с точки зрения	1	6
2	на самом деле	1	4
3	с самого начала	1	4
4	в этом смысле	1	3
5	до сих пор	1	3
6	по крайней мере	2	3
7	во всяком случае	1	3
8	не может быть	3	3
9	можно сказать что	2	3
10	в большинстве случаев	1	3
11	а потому и	1	2
12	и может быть	1	2
13	по аналогии с	1	2
14	в нем нет	1	2
15	можно определить как	2	2
16	о том что	5	2
17	но отнюдь не	2	2
18	в конечном счете	1	2
19	во всех его	1	2
20	и того же	2	1
21	а иногда и	1	1
22	дело в том	1	1
23	во всех областях	1	1
24	подобно тому как	2	1
25	одного и того	2	1
26	то же самое	2	1
27	в этом отношении	1	1
28	это приводит к	1	1
29	здесь в области	1	1
30	разных местах и	1	1
31	вместе с тем	1	1
32	именно здесь в	1	1
33	еще не знает	1	1
34	в данном случае	2	1
35	и т.п и	1	1
36	с одной стороны	9	1
37	в связи с	1	1
38	а с другой	3	1
39	имеем дело с	1	1
40	и стали прообразом	1	1
41	в свое время	1	1
42	в том что	13	1
43	так и в	1	1
44	это и есть	1	1
45	прежде всего к	1	1
46	и прежде всего	1	1
47	этом своем качестве	2	1
48	или во всяком	1	1
49	в этом своем	2	1
50	в известной степени	1	1
51	тому как мы	1	1
52	на этом пути	1	1
53	как учение о	1	1
54	что в них	1	1
55	той или иной	3	1
