N	3gram	Losev_Vesc_1	formyVre
1	в то же	1	6
2	и как раз	1	6
3	для того чтобы	2	5
4	и того же	1	5
5	одного и того	1	5
6	как раз в	1	4
7	с самим собою	2	3
8	до сих пор	1	3
9	в то время	1	3
10	в этом отношении	1	3
11	может быть только	3	3
12	и то же	4	3
13	одно и то	4	3
14	не может быть	6	3
15	с одной стороны	3	2
16	так же как	1	2
17	и в частности	1	2
18	равно как и	2	2
19	мы уже сказали	1	2
20	и в особенности	1	2
21	в том что	4	2
22	все то что	1	2
23	как раз и	1	2
24	по природе своей	1	2
25	не только в	4	2
26	одной стороны и	1	2
27	дело в том	2	2
28	вместе с тем	1	2
29	в нем нет	1	2
30	и во всей	1	2
31	и не только	4	2
32	с точки зрения	3	2
33	то время как	1	2
34	по сравнению с	6	2
35	отличие его от	1	1
36	и во всех	1	1
37	то что не	2	1
38	в данный момент	1	1
39	как только я	1	1
40	о том что	4	1
41	для него это	1	1
42	в данном месте	1	1
43	друг с другом	1	1
44	в самом начале	1	1
45	и во всяком	1	1
46	в новое время	1	1
47	в одном и	1	1
48	по своей природе	1	1
49	как мы говорили	1	1
50	или хотя бы	1	1
51	а следовательно и	1	1
52	самим собою в	1	1
53	да и в	1	1
54	мы еще не	2	1
55	они как раз	1	1
56	в самом деле	4	1
57	в определенном направлении	1	1
58	когда мы говорим	1	1
59	по самому своему	1	1
60	один из самых	1	1
61	у него нет	1	1
62	здесь как и	1	1
63	но на этой	1	1
64	жизни не может	1	1
65	в той же	1	1
66	и как бы	1	1
67	проник и в	1	1
68	ни с чем	2	1
69	и как оно	1	1
70	есть еще и	2	1
71	какое это будет	1	1
72	и ничего не	1	1
73	мы будем говорить	1	1
74	он между прочим	1	1
75	есть все то	1	1
76	и в самом	1	1
77	с тем что	1	1
78	с чем не	1	1
79	для себя в	1	1
80	сама по себе	3	1
81	в себе не	1	1
82	по существу и	1	1
83	в той или	2	1
84	в данном случае	2	1
85	в зависимости от	1	1
86	отнюдь не предполагает	1	1
87	в себе и	1	1
88	сами по себе	3	1
89	была бы совершенно	1	1
90	не может состояться	2	1
91	и вот когда	1	1
92	в эти периоды	1	1
93	во всяком случае	2	1
94	в свою очередь	4	1
95	но какое это	2	1
