N	3gram	Berdyaev_O_1	Problemy
1	не может быть	2	6
2	во всяком случае	1	5
3	и прежде всего	1	4
4	в романах достоевского	3	3
5	записок из подполья	5	3
6	в братьях карамазовых	1	3
7	и не в	1	3
8	он ни был	1	3
9	и все это	1	3
10	все это было	1	3
11	и в самом	1	3
12	в самом деле	1	3
13	героя из подполья	1	3
14	бы он ни	1	3
15	о том что	1	2
16	он и не	1	2
17	друг с другом	1	2
18	и в этом	2	2
19	а не в	2	2
20	а вовсе не	1	2
21	смысле этого слова	1	2
22	и не может	1	2
23	у достоевского нет	1	2
24	я уверен что	1	2
25	записках из подполья	3	2
26	кто бы он	1	2
27	в записках из	3	2
28	в обычном смысле	1	2
29	не в силах	1	2
30	как и все	2	2
31	вы скажете что	1	2
32	в других романах	1	1
33	о великом инквизиторе	6	1
34	не было и	1	1
35	с его собственным	1	1
36	что же это	2	1
37	человека к человеку	1	1
38	да и то	1	1
39	из подполья но	1	1
40	строгом смысле этого	1	1
41	как и в	1	1
42	и в том	1	1
43	в противоречии с	1	1
44	заключает в себе	1	1
45	для того чтобы	3	1
46	потому что в	1	1
47	смирись гордый человек	1	1
48	мышкиным и рогожиным	1	1
49	записки из подполья	1	1
50	потому что у	1	1
51	может быть что	1	1
52	в том что	1	1
53	друг к другу	1	1
54	между этими двумя	1	1
55	всех героев достоевского	1	1
56	действующих лиц в	1	1
57	и все эти	1	1
58	как бы в	1	1
59	что и это	1	1
60	и то что	1	1
61	и он был	1	1
62	к чему бы	1	1
63	на то что	1	1
64	что в центре	1	1
65	как будто бы	1	1
66	в нем нет	3	1
67	от него и	4	1
68	да ведь это	1	1
69	в строгом смысле	1	1
70	прежде всего в	1	1
71	то что в	1	1
72	это потому что	1	1
73	легенда о великом	2	1
74	в этом отношении	1	1
75	у достоевского есть	1	1
76	так и не	1	1
77	из подполья и	3	1
78	самое главное и	1	1
79	хотя и не	1	1
80	и к чему	1	1
