N	2gram	Medvedev_I_1	FransuaR
1	и в	1	41
2	и с	3	16
3	в этом	2	12
4	все эти	1	11
5	все это	1	11
6	и др	1	10
7	никогда не	1	8
8	в них	1	7
9	что в	2	7
10	тем что	1	5
11	так и	1	5
12	а также	1	5
13	того же	1	4
14	в основе	1	4
15	того чтобы	1	4
16	с другой	1	4
17	а в	1	4
18	не остается	1	3
19	и сам	1	3
20	есть только	1	3
21	того что	1	3
22	и не	2	3
23	жизни и	1	3
24	тех же	1	2
25	говорить о	1	2
26	а для	1	2
27	и тот	1	2
28	он не	2	2
29	это было	1	2
30	и очень	1	2
31	как о	1	2
32	должен быть	2	2
33	в значительной	1	2
34	со всеми	1	2
35	себя в	1	2
36	и написан	1	2
37	в эту	1	2
38	бы в	1	2
39	другой стороны	1	2
40	с жизнью	1	1
41	нам в	1	1
42	жил в	1	1
43	эпизод с	1	1
44	по отношению	1	1
45	носит имя	1	1
46	следующим образом	1	1
47	в целом	1	1
48	дает и	1	1
49	знакомство с	1	1
50	могло бы	1	1
51	смерть другое	1	1
52	он с	1	1
53	ничего не	2	1
54	и о	1	1
55	когда его	1	1
56	же смерти	1	1
57	утверждает что	1	1
58	у всех	1	1
59	значительной мере	1	1
60	не дает	1	1
61	для него	1	1
62	для того	1	1
63	а с	1	1
64	что для	1	1
65	видит в	1	1
66	по существу	1	1
67	страхом перед	1	1
68	только для	1	1
69	это был	1	1
70	нисколько не	1	1
71	не слишком	1	1
72	отношению к	1	1
73	бы его	1	1
74	по поводу	1	1
