N	3gram	Ircho_Kome_3	TeoriaLi
1	по отношению к	3	8
2	в отличие от	1	7
3	в то же	4	6
4	в том что	9	6
5	то же время	4	6
6	не сводится к	1	5
7	так и не	1	5
8	состоит в том	2	4
9	более или менее	1	4
10	в конечном счете	2	4
11	можно сказать что	1	3
12	с другой стороны	2	3
13	тем не менее	3	3
14	в свою очередь	6	3
15	так или иначе	2	2
16	с одной стороны	3	2
17	в самом начале	1	2
18	с точки зрения	3	2
19	в соответствии с	1	2
20	подобно тому как	1	1
21	таким образом что	1	1
22	не было и	1	1
23	в том числе	1	1
24	бы то ни	2	1
25	таким же образом	1	1
26	по своему происхождению	1	1
27	в связи с	3	1
28	если говорить о	1	1
29	обращает на себя	1	1
30	и в то	1	1
31	именно потому что	2	1
32	в первую очередь	1	1
33	и не дает	1	1
34	для того чтобы	6	1
35	таким образом и	1	1
36	то ни было	2	1
37	так же точно	1	1
38	человека и его	1	1
39	имеем в виду	1	1
40	что он не	2	1
41	о том что	4	1
42	в настоящее время	1	1
43	этой точки зрения	1	1
44	как бы в	1	1
45	в то время	2	1
46	на себя внимание	1	1
47	в этом случае	2	1
48	в основе своей	1	1
49	едва ли не	1	1
50	мы имеем в	1	1
51	в себе самом	1	1
52	в такое же	1	1
53	и не могла	1	1
54	а в ее	1	1
55	жизнь в которой	1	1
56	в первом случае	1	1
57	как уже говорилось	1	1
58	том числе и	1	1
59	в отношении к	1	1
60	и в пределах	1	1
61	с этой точки	1	1
62	к тому же	4	1
63	как раз в	1	1
64	по крайней мере	1	1
