N	3gram	Trubetskoy_1	DiskursI
1	в данном случае	3	6
2	в том что	7	6
3	то же время	10	5
4	по отношению к	1	4
5	в этом отношении	1	4
6	в то же	10	4
7	не может быть	4	3
8	и все же	1	3
9	о том что	2	3
10	той или иной	3	3
11	и того же	1	2
12	состоит в том	1	2
13	в этом случае	3	2
14	с точки зрения	9	2
15	и не может	3	2
16	заключает в себе	1	2
17	и то что	3	2
18	но при этом	1	2
19	и как бы	1	2
20	дело в том	1	2
21	на первый взгляд	1	2
22	и прежде всего	1	2
23	одного и того	1	2
24	ставит себя в	1	1
25	в другом месте	1	1
26	но и от	1	1
27	самоопределения в этом	1	1
28	как сказано выше	1	1
29	прежде всего на	1	1
30	прежде всего в	1	1
31	в самом деле	1	1
32	того или иного	2	1
33	друг от друга	2	1
34	до известной степени	1	1
35	и не к	1	1
36	бы то ни	4	1
37	только то что	1	1
38	того и другого	1	1
39	но для этого	1	1
40	отнюдь не является	1	1
41	к одному из	1	1
42	и в частности	1	1
43	в значительной степени	1	1
44	в применении к	1	1
45	то ни было	1	1
46	жизни но и	1	1
47	и должно было	1	1
48	как другие как	1	1
49	в себе те	1	1
50	большинстве случаев это	1	1
51	во всяком случае	6	1
52	к богу и	1	1
53	жизни в том	1	1
54	это разумеется не	1	1
55	с самого начала	1	1
56	тем что он	1	1
57	в полной мере	1	1
58	в большинстве случаев	2	1
59	в том числе	1	1
60	тем не менее	1	1
61	по крайней мере	1	1
62	не только от	1	1
63	том числе и	1	1
64	речь идет о	1	1
