N	2gram	Tiupa_Narr_2	Komedia
1	и в	13	26
2	едва ли	3	14
3	и не	14	14
4	и его	3	12
5	к тому	9	12
6	так и	9	12
7	тому же	4	11
8	может быть	10	11
9	в том	14	11
10	в этом	13	10
11	на протяжении	5	10
12	но и	15	10
13	столь же	2	9
14	том что	13	9
15	если бы	4	9
16	вместе с	1	9
17	что в	4	9
18	ясно что	1	8
19	было бы	2	8
20	не только	26	7
21	на себя	1	7
22	что и	2	7
23	ли не	1	7
24	еще не	2	6
25	в своем	6	6
26	о том	5	6
27	в нем	5	6
28	таким образом	5	6
29	в то	5	6
30	того чтобы	3	6
31	потому что	2	6
32	и здесь	2	6
33	в двух	1	6
34	наряду с	1	6
35	во время	2	6
36	то что	8	6
37	в которой	1	5
38	с его	3	5
39	что он	5	5
40	так что	1	5
41	для того	1	5
42	ни в	1	5
43	последние десятилетия	1	5
44	и с	1	5
45	хоть и	1	5
46	один из	3	5
47	действующих лиц	3	5
48	в качестве	14	5
49	к этому	1	5
50	более чем	2	4
51	хотя и	5	4
52	в самом	2	4
53	что это	4	4
54	в целом	3	4
55	из этих	2	4
56	с их	1	4
57	это было	1	4
58	как и	4	4
59	в этих	1	4
60	место в	5	4
61	тому что	3	4
62	не менее	4	4
63	не по	1	4
64	как будто	1	4
65	как мы	1	4
66	что у	2	4
67	можно было	2	4
68	еще в	1	4
69	восходит к	2	4
70	между тем	3	4
71	в его	6	4
72	только в	11	4
73	же в	4	4
74	в начале	2	4
75	у него	6	4
76	в последние	1	4
77	на этот	1	4
78	прежде всего	6	4
79	мира в	4	4
80	в частности	11	4
81	как это	4	4
82	о его	1	4
83	все же	6	4
84	и для	3	4
85	и от	1	4
86	одной из	1	4
87	точки зрения	5	4
88	например в	1	3
89	в котором	5	3
90	то же	4	3
91	той же	2	3
92	вопрос о	1	3
93	похожи на	1	3
94	того же	1	3
95	это время	1	3
96	в ней	2	3
97	во всех	1	3
98	как правило	3	3
99	но не	3	3
100	по отношению	5	3
101	как в	5	3
102	что касается	1	3
103	но в	6	3
104	со своей	2	3
105	так или	1	3
106	в этой	4	3
107	как он	2	3
108	в обоих	2	3
109	не имеет	2	3
110	в самой	1	3
111	же время	3	3
112	связи с	1	3
113	и сам	3	3
114	то время	1	3
115	к нему	1	3
116	дело с	2	3
117	к их	1	3
118	себя в	2	3
119	ответ на	5	3
120	искать в	1	3
121	и их	1	3
122	никто не	1	3
123	представить себе	3	3
124	тем что	1	3
125	даже не	1	3
126	или иначе	2	3
127	о чем	2	3
128	в связи	1	3
129	и особенно	1	3
130	отношению к	5	3
131	да и	3	3
132	войны и	4	3
133	с этой	3	3
134	все это	1	3
135	или в	1	3
136	для нас	2	3
137	интерес к	2	3
138	а в	9	3
139	в своей	4	3
140	жизни и	4	3
141	по поводу	2	3
142	не может	8	3
143	и т	2	2
144	одним из	1	2
145	перед лицом	1	2
146	из его	1	2
147	мы имеем	3	2
148	мы не	2	2
149	время как	1	2
150	говорить о	2	2
151	не вполне	2	2
152	в виду	1	2
153	в ее	4	2
154	в до	1	2
155	отличие от	5	2
156	человеку и	1	2
157	отнюдь не	4	2
158	в одной	1	2
159	что именно	1	2
160	имеет в	1	2
161	в действительности	1	2
162	за собой	1	2
163	с той	1	2
164	бы и	1	2
165	жизни так	3	2
166	в нашем	2	2
167	роль в	2	2
168	что она	2	2
169	не следует	3	2
170	после этого	1	2
171	он не	5	2
172	в принципе	2	2
173	в силу	4	2
174	что ни	1	2
175	на этом	1	2
176	об этом	4	2
177	в глазах	4	2
178	это не	3	2
179	этом смысле	1	2
180	в это	1	2
181	не всегда	1	2
182	в развитии	1	2
183	когда в	1	2
184	в следующем	1	2
185	всяком случае	1	2
186	в отличие	5	2
187	признать что	1	2
188	не в	8	2
189	в конце	4	2
190	однако в	2	2
191	вовсе не	2	2
192	одна из	3	2
193	аргументом в	1	2
194	в одном	1	2
195	такая же	1	2
196	и после	1	2
197	не является	4	2
198	если у	1	2
199	сомневаться в	1	2
200	от которой	1	2
201	в театре	1	2
202	и что	2	2
203	в мире	4	2
204	с собой	1	2
205	в состав	3	2
206	или на	1	2
207	на что	1	2
208	времени в	1	2
209	и во	1	2
210	и все	4	2
211	обоих случаях	1	2
212	нем не	1	2
213	в другой	1	2
214	вслед за	6	2
215	наконец в	1	2
216	также в	1	2
217	представления о	2	2
218	все время	1	2
219	в лице	1	2
