N	2gram	Tiupa_Disk_1	Myslijsy
1	потому что	4	46
2	то есть	20	34
3	в слове	1	32
4	в том	23	32
5	и в	16	30
6	может быть	17	28
7	то же	7	23
8	не только	28	21
9	только в	7	21
10	но и	14	19
11	того что	3	18
12	том что	19	18
13	то что	5	18
14	не есть	2	17
15	что в	4	17
16	в себе	7	16
17	по себе	3	16
18	и не	11	15
19	не в	7	15
20	а не	22	15
21	таким образом	3	14
22	что и	3	13
23	если бы	1	12
24	вместе с	1	12
25	а в	5	12
26	так и	8	11
27	этого слова	1	11
28	как в	10	10
29	в этом	15	10
30	как и	16	10
31	в то	3	10
32	и что	2	10
33	мы не	1	9
34	из этих	1	9
35	в нем	9	9
36	было бы	1	9
37	между тем	4	9
38	для него	4	9
39	и то	1	8
40	в самом	3	8
41	от того	1	8
42	что не	4	8
43	с одной	9	7
44	но не	11	7
45	с тем	1	7
46	и без	2	7
47	тем самым	1	7
48	тем что	3	7
49	как мы	2	7
50	слова в	2	7
51	с другой	10	7
52	к тому	5	7
53	например в	2	6
54	с этим	3	6
55	же с	1	6
56	не имеет	1	6
57	и теперь	1	6
58	указывает на	2	6
59	те же	1	6
60	там же	1	6
61	что он	4	6
62	уже не	4	6
63	то и	1	6
64	из них	3	6
65	а потому	1	6
66	зависит от	2	6
67	но оно	1	6
68	не может	9	6
69	посредством слова	1	6
70	но это	1	6
71	сам по	1	5
72	слово не	2	5
73	еще не	14	5
74	по отношению	9	5
75	независимо от	1	5
76	в своем	6	5
77	и как	6	5
78	не следует	2	5
79	к одному	1	5
80	одно и	1	5
81	с другими	1	5
82	и тем	2	5
83	в них	4	5
84	по крайней	2	5
85	же время	4	5
86	в каком	1	5
87	не могут	1	5
88	не менее	2	5
89	мысль о	1	5
90	крайней мере	2	5
91	уже в	2	5
92	только по	1	5
93	очевидно что	1	5
94	тому как	3	5
95	отношению к	9	5
96	слова и	1	5
97	сказать что	3	5
98	в действительности	3	5
99	мысли а	1	4
100	тем же	1	4
101	или же	1	4
102	в каждой	3	4
103	столь же	3	4
104	не все	1	4
105	не было	7	4
106	что это	1	4
107	он не	1	4
108	не к	1	4
109	и по	2	4
110	мы видели	1	4
111	мысли что	1	4
112	и при	1	4
113	себе не	3	4
114	в котором	5	4
115	себе а	1	4
116	это слово	1	4
117	и его	2	4
118	оно не	2	4
119	и это	1	4
120	своей мысли	1	4
121	по мере	2	4
122	в его	7	4
123	один из	3	4
124	что даже	2	4
125	далеко не	10	4
126	себя и	1	4
127	быть только	1	4
128	и потому	3	4
129	для понимания	2	4
130	в смысле	1	4
131	и от	1	4
132	тем более	1	4
133	мы должны	1	4
134	другой стороны	3	4
135	же словом	1	3
136	только потому	1	3
137	и есть	2	3
138	в первом	3	3
139	говорить о	1	3
140	и на	5	3
141	в чем	1	3
142	а только	1	3
143	не то	1	3
144	более или	2	3
145	в целом	4	3
146	что она	1	3
147	при этом	13	3
148	в силу	5	3
149	в человеческой	1	3
150	возможно только	2	3
151	в каждом	2	3
152	не будет	1	3
153	и может	1	3
154	оно имеет	1	3
155	или менее	2	3
156	как бы	5	3
157	одним и	1	3
158	образом и	1	3
159	тем не	1	3
160	на него	1	3
161	образом в	1	3
162	заметить что	2	3
163	есть к	1	3
164	ни о	1	3
165	могут быть	4	3
166	для себя	4	3
167	свою очередь	3	3
168	в произведении	3	3
169	из двух	2	3
170	или в	2	3
171	здесь как	1	3
172	том как	1	3
173	в словах	1	3
174	и вообще	2	3
175	со стороны	7	3
