N	2gram	Berdyaev_V_1	VrazhdaK
1	не только	2	9
2	в этом	4	8
3	и в	16	8
4	и что	3	8
5	но и	5	7
6	и все	4	7
7	то что	9	7
8	что в	3	7
9	все же	1	6
10	но в	3	6
11	в нем	4	6
12	как и	4	6
13	в котором	4	6
14	и с	1	6
15	то же	1	5
16	между тем	2	5
17	у него	1	5
18	не было	3	5
19	и не	20	5
20	в ней	4	4
21	что он	4	4
22	в истории	8	4
23	это не	2	4
24	все это	5	4
25	в виду	1	4
26	с ним	2	4
27	для нас	2	4
28	уже в	1	4
29	может быть	1	4
30	как бы	5	4
31	в своих	1	4
32	так же	1	4
33	речь идет	1	3
34	который был	1	3
35	я не	1	3
36	он был	1	3
37	в чем	3	3
38	с его	3	3
39	в своем	1	3
40	и уже	1	3
41	том что	2	3
42	что есть	5	3
43	человека в	1	3
44	и во	2	3
45	в его	4	3
46	в том	3	3
47	давно уже	2	3
48	в конце	3	3
49	тем что	2	3
50	к этому	1	3
51	и то	2	2
52	б и	1	2
53	но как	1	2
54	тогда как	1	2
55	в известном	1	2
56	его на	1	2
57	в этой	1	2
58	о которой	1	2
59	их в	3	2
60	нашего времени	1	2
61	в мире	5	2
62	в глазах	1	2
63	в них	3	2
64	а с	2	2
65	в своей	3	2
66	и ее	1	2
67	одна из	2	2
68	никогда не	3	2
69	его с	1	2
70	и это	2	2
71	еще не	8	2
72	уже не	2	2
73	его и	2	2
74	для него	2	2
75	отношение к	1	2
76	к ним	1	2
77	с которым	1	2
78	о чем	1	2
79	вместе с	1	2
80	но это	3	2
81	что я	3	2
82	а в	2	2
83	это в	1	2
84	а между	2	1
85	от этой	1	1
86	к людям	6	1
87	ко всем	1	1
88	человека и	6	1
89	не имел	2	1
90	и есть	4	1
91	презрения к	1	1
92	свое место	1	1
93	имя его	1	1
94	легенду о	1	1
95	в их	1	1
96	говорил с	1	1
97	что уже	1	1
98	говорить о	4	1
99	в разные	1	1
100	меня в	1	1
101	но не	2	1
102	если в	1	1
103	не хотел	2	1
104	что они	7	1
105	и я	4	1
106	как в	1	1
107	в самом	1	1
108	что это	1	1
109	в целом	1	1
110	не был	1	1
111	он всегда	1	1
112	ненависти и	2	1
113	да и	2	1
114	от которого	3	1
115	теперь это	1	1
116	чем у	1	1
117	для хранения	2	1
118	людей и	2	1
119	не будет	2	1
120	конечно в	1	1
121	их и	1	1
122	обратился к	1	1
123	в жизни	3	1
124	эта попытка	1	1
125	не всегда	1	1
126	но я	1	1
127	в этих	3	1
128	этому же	1	1
129	и уж	1	1
130	по крайней	1	1
131	есть еще	1	1
132	не могли	2	1
133	равно не	1	1
134	раз и	1	1
135	человечества и	3	1
136	не имеет	3	1
137	в процессе	1	1
138	было не	1	1
139	близок к	1	1
140	достоевский имел	1	1
141	нельзя не	1	1
142	ничего не	1	1
143	того как	1	1
144	это слово	1	1
145	потому что	4	1
146	до того	2	1
147	вот в	1	1
148	легенда о	2	1
149	в духе	2	1
150	в речах	1	1
151	и дал	1	1
152	могут быть	2	1
153	не есть	6	1
154	уже на	2	1
155	в ее	1	1
156	но мы	2	1
157	роль в	1	1
158	верит в	2	1
159	и сам	2	1
160	так и	4	1
161	на нее	1	1
162	не с	2	1
163	живет в	1	1
164	нам уже	1	1
165	быть может	1	1
166	и вообще	1	1
167	и отвергает	1	1
168	во всяком	2	1
169	с ненавистью	1	1
170	к нему	1	1
171	во всех	3	1
172	от них	1	1
173	я думаю	2	1
174	я вижу	1	1
175	в форме	2	1
176	крайней мере	1	1
177	и можно	1	1
178	вслед за	2	1
179	все в	1	1
180	человека как	2	1
181	и самые	1	1
182	более всего	1	1
183	людей а	1	1
184	один из	2	1
185	но с	1	1
186	ли он	1	1
187	во всем	1	1
188	и ненависти	1	1
189	истории человечества	3	1
190	тем чтобы	1	1
191	о великом	4	1
192	говорит о	1	1
193	искать в	1	1
194	в одном	1	1
195	и никогда	2	1
196	не просто	1	1
197	праве любить	1	1
198	тогда это	1	1
199	из ненависти	1	1
200	так не	2	1
201	с другой	1	1
202	что тот	1	1
203	все равно	2	1
204	души и	1	1
205	прежде всего	2	1
206	у человека	1	1
207	в великом	1	1
208	нет ничего	3	1
209	него в	1	1
210	человека к	1	1
211	неверие в	1	1
212	несравненно более	1	1
213	того что	5	1
214	был в	1	1
215	еще к	1	1
216	лет назад	1	1
217	с любовью	1	1
218	известном смысле	1	1
219	уж конечно	2	1
220	и от	1	1
221	это как	1	1
222	человек и	1	1
223	тот кто	2	1
224	хотя и	5	1
225	ее и	2	1
226	христа и	1	1
227	бы в	1	1
228	конце концов	1	1
229	можно признать	1	1
230	но вот	1	1
231	о своем	1	1
232	другой стороны	1	1
233	жизни и	3	1
234	у людей	2	1
235	все что	4	1
236	они не	1	1
