N	2gram	Bakhtin_Fr_6	VeschiIm
1	не может	4	33
2	не только	10	31
3	может быть	2	29
4	и не	3	28
5	и в	41	26
6	то что	10	24
7	а не	2	20
8	что имя	1	19
9	не просто	1	18
10	есть только	3	17
11	в смысле	1	15
12	только в	3	14
13	по себе	1	13
14	и что	5	13
15	того что	3	13
16	и то	2	12
17	все же	4	12
18	в себя	1	12
19	что это	5	12
20	было бы	3	12
21	но и	13	12
22	сказать что	6	12
23	таким образом	17	11
24	что же	1	11
25	и больше	1	10
26	то же	5	10
27	есть нечто	2	10
28	в ней	4	10
29	как бы	7	10
30	потому что	3	10
31	уже не	1	10
32	что мы	2	10
33	в самом	10	9
34	и с	16	9
35	вещей и	1	9
36	в том	2	9
37	что не	3	9
38	еще и	1	9
39	прежде всего	10	9
40	в себе	5	8
41	и это	1	8
42	ничего не	1	8
43	себя и	1	8
44	но это	3	8
45	также и	6	7
46	говорить о	2	7
47	в этом	12	7
48	его в	1	7
49	с другими	3	7
50	том что	7	7
51	в то	6	7
52	себя в	2	7
53	и их	3	7
54	так как	10	7
55	как раз	2	7
56	есть и	2	7
57	что они	2	6
58	и как	4	6
59	но в	8	6
60	есть ли	1	6
61	это есть	1	6
62	точки зрения	2	6
63	но если	2	6
64	с ним	4	6
65	ее не	1	6
66	можно было	1	6
67	ясно что	1	6
68	так что	2	6
69	если мы	2	6
70	для него	1	6
71	в результате	4	6
72	жизни и	3	6
73	что в	7	6
74	того же	4	5
75	это и	2	5
76	и до	7	5
77	ведь и	2	5
78	в сущности	8	5
79	в чем	3	5
80	но не	2	5
81	есть просто	1	5
82	чем же	1	5
83	должна быть	2	5
84	это не	1	5
85	с тем	1	5
86	не в	4	5
87	в отношении	1	5
88	не менее	1	5
89	одна из	1	5
90	у нас	4	5
91	в ее	5	5
92	для этого	2	5
93	еще не	1	5
94	что для	1	5
95	с этой	3	5
96	и для	3	5
97	из себя	1	5
98	а в	4	5
99	мы не	2	4
100	так чтобы	1	4
101	то это	1	4
102	в их	1	4
103	во всех	17	4
104	нет и	1	4
105	с этим	3	4
106	в своем	5	4
107	же не	1	4
108	как и	7	4
109	между собою	5	4
110	что значит	1	4
111	с точки	2	4
112	же время	5	4
113	должен быть	2	4
114	и о	1	4
115	только то	1	4
116	о том	9	4
117	с другой	4	4
118	судить о	1	4
119	что и	1	4
120	этот вопрос	1	4
121	из них	5	4
122	это значило	1	4
123	тем что	5	4
124	со всем	1	4
125	и даже	4	4
126	и потому	2	4
127	мы говорим	1	4
128	в данном	3	4
129	в отдельности	1	4
130	с полной	1	4
131	не существует	1	4
132	значило бы	1	4
133	и все	9	4
134	от ее	1	4
135	между ними	3	4
136	сам по	1	3
137	самом деле	4	3
138	и всем	1	3
139	вещами и	1	3
140	из того	2	3
141	момент в	1	3
142	более или	1	3
143	ее как	1	3
144	в нем	16	3
145	явление то	2	3
146	по самому	1	3
147	перестает быть	1	3
148	на этом	2	3
149	в жизни	1	3
150	несмотря на	1	3
151	и тогда	1	3
152	нисколько не	1	3
153	или менее	1	3
154	в своей	2	3
155	не понимает	1	3
156	все это	11	3
157	есть именно	2	3
158	их в	2	3
159	между прочим	1	3
160	как о	2	3
161	тогда когда	2	3
162	в основе	4	3
163	того чтобы	4	3
164	ему не	1	3
165	ни о	1	3
166	к себе	2	3
167	на это	1	3
168	нет никакой	1	3
169	и сам	3	3
170	так и	5	3
171	и вообще	4	3
172	можно сказать	1	3
173	один из	6	3
174	явления как	1	3
175	мы видим	6	3
176	тот же	4	3
177	что он	6	3
178	существует но	1	3
179	мы находим	2	3
180	в одном	5	3
181	отношение к	1	3
182	никогда не	8	3
183	а с	1	3
184	вместе с	6	3
185	что именно	2	3
186	в той	5	3
187	есть как	1	3
188	да и	1	3
189	себя самого	1	3
190	бы в	2	3
191	тем более	2	3
192	с вещами	1	3
193	с самим	1	3
194	в сфере	1	2
195	как имя	1	2
196	как это	2	2
197	тем же	1	2
198	в первом	3	2
199	ту же	1	2
200	из его	1	2
201	нарицательное имя	2	2
202	поэтому и	3	2
203	мы уже	18	2
204	той же	5	2
205	как мы	12	2
206	человека и	2	2
207	конечно и	4	2
208	мысли и	1	2
209	на их	1	2
210	и мира	1	2
211	мы будем	3	2
212	и всякий	1	2
213	себе и	1	2
214	наряду с	1	2
215	как в	4	2
216	и нет	1	2
217	то в	1	2
218	если он	1	2
219	же но	1	2
220	есть но	1	2
221	и если	1	2
222	он не	2	2
223	для того	1	2
224	и вот	1	2
225	но все	1	2
226	а затем	4	2
227	различие между	1	2
228	об этом	1	2
229	на все	3	2
230	то есть	24	2
231	к природе	1	2
232	и тем	1	2
233	которая была	2	2
234	ни в	1	2
235	но уже	2	2
236	не мог	3	2
237	жизнь и	1	2
238	признать что	1	2
239	и эти	1	2
240	для нее	1	2
241	же мы	1	2
242	но они	4	2
243	или что	1	2
244	дело в	1	2
245	на него	1	2
246	но только	1	2
247	для всего	2	2
248	казалось бы	1	2
249	это совершенно	1	2
250	как она	2	2
251	и его	13	2
252	ничто не	1	2
253	это уже	2	2
254	у меня	1	2
255	исходить из	1	2
256	если же	1	2
257	оно может	1	2
258	данном случае	2	2
259	говорили что	3	2
260	и когда	2	2
261	с собой	1	2
262	мог бы	1	2
263	том как	1	2
264	никак не	3	2
265	основе своей	1	2
266	и во	2	2
267	это было	2	2
268	заключается в	2	2
269	говорить об	1	2
270	во втором	3	2
271	еще более	2	2
272	как нечто	1	2
273	и они	1	2
274	не из	1	2
275	же они	1	2
276	мы можем	1	2
277	о каком	1	2
278	а потому	1	2
279	в особенности	7	2
280	превращается в	2	2
281	ничем не	1	2
282	а так	1	2
283	о чем	1	2
284	что из	1	2
285	но оно	3	2
286	в частности	2	2
287	в первой	3	2
288	кроме того	9	2
289	же оно	1	2
290	находим в	1	2
291	и необходимо	1	2
292	это все	2	2
293	состоит из	2	2
294	от всех	2	2
295	первом случае	3	2
296	будучи в	1	2
297	это так	1	2
298	так же	5	2
299	говорили о	3	1
300	также что	3	1
301	чтобы не	1	1
302	связана с	2	1
303	ли оно	1	1
304	что когда	1	1
305	о чисто	1	1
306	между двумя	1	1
307	из самых	2	1
308	оно было	1	1
309	с таким	1	1
310	в зависимости	1	1
311	и существенную	1	1
312	для своего	1	1
313	уже здесь	2	1
314	что если	2	1
315	в которой	1	1
316	что уже	1	1
317	из своих	1	1
318	он как	1	1
319	и другая	1	1
320	вместо того	3	1
321	жизни как	1	1
322	и заставляет	1	1
323	уже в	4	1
324	и говорить	1	1
325	в xix	1	1
326	и на	9	1
327	между собой	1	1
328	первый план	3	1
329	это действительно	1	1
330	всего этого	1	1
331	с его	5	1
332	что предмет	1	1
333	его сознания	1	1
334	совершенно ясно	1	1
335	в наиболее	2	1
336	и речи	1	1
337	понимания что	1	1
338	один и	1	1
339	сущности к	2	1
340	всех ее	1	1
341	в истории	2	1
342	эта связь	1	1
343	и выражения	1	1
344	и всякой	2	1
345	только ее	1	1
346	стороны и	2	1
347	словом в	1	1
348	сознания но	1	1
349	перед нами	3	1
350	со всякими	1	1
351	хотя и	2	1
352	и к	1	1
353	было также	2	1
354	ее здесь	1	1
355	о самом	1	1
356	тут нет	1	1
357	они так	1	1
358	третьем случае	2	1
359	все эти	11	1
360	отчасти и	2	1
361	в этой	8	1
362	еще один	1	1
363	раз в	2	1
364	зависимости от	1	1
365	как он	2	1
366	не могла	1	1
367	и стало	1	1
368	при этом	3	1
369	знали что	1	1
370	они в	1	1
371	момента в	1	1
372	действительно есть	1	1
373	он должен	1	1
374	не как	1	1
375	вы в	1	1
376	необходимо для	1	1
377	бы нелепо	1	1
378	из него	1	1
379	и по	1	1
380	будем говорить	2	1
381	именно это	1	1
382	это конечно	1	1
383	выражение и	1	1
384	есть все	1	1
385	конечно в	2	1
386	и сознательно	1	1
387	нечего и	1	1
388	форму и	1	1
389	должен был	1	1
390	не простое	1	1
391	он все	1	1
392	говорить в	1	1
393	в них	7	1
394	что природа	1	1
395	далеко не	1	1
396	но лишь	1	1
397	а за	2	1
398	со своими	1	1
399	он и	1	1
400	видим как	1	1
401	и того	1	1
402	одного и	2	1
403	на первый	3	1
404	оторвана от	1	1
405	реализма и	1	1
406	нас не	3	1
407	в котором	4	1
408	представление о	2	1
409	они уже	2	1
410	от его	1	1
411	поэтому в	1	1
412	но эта	2	1
413	втором случае	3	1
414	совершенно иначе	1	1
415	не могли	1	1
416	как от	1	1
417	уже сказали	3	1
418	с такими	1	1
419	где нет	1	1
420	даже в	4	1
421	и очень	2	1
422	целиком и	1	1
423	что с	1	1
424	воздерживаться от	1	1
425	не имеет	1	1
426	всех языках	2	1
427	о них	1	1
428	остро и	1	1
429	этим он	1	1
430	находятся в	2	1
431	место это	1	1
432	видим что	1	1
433	ровно ничего	1	1
434	самому своему	1	1
435	перехода к	1	1
436	xix веке	1	1
437	и части	1	1
438	эти три	1	1
439	до того	3	1
440	только с	3	1
441	за ними	1	1
442	всех прочих	1	1
443	не могут	2	1
444	необходимо также	1	1
445	могут быть	1	1
446	языках и	1	1
447	из весьма	1	1
448	понять что	1	1
449	для обозначения	1	1
450	себя ибо	1	1
451	им в	1	1
452	есть наконец	1	1
453	более не	1	1
454	в конце	2	1
455	отсюда что	1	1
456	и от	4	1
457	то время	1	1
458	в пределах	1	1
459	дано в	1	1
460	если они	1	1
461	они могут	2	1
462	в другом	4	1
463	на нее	1	1
464	и творит	1	1
465	есть также	1	1
466	с реальными	1	1
467	или иной	1	1
468	ярче всего	1	1
469	связанное с	1	1
470	и нужно	1	1
471	о нем	1	1
472	искусства и	1	1
473	не был	2	1
474	то они	1	1
475	таким же	1	1
476	на что	1	1
477	как чисто	1	1
478	а также	5	1
479	поставить и	1	1
480	как наиболее	1	1
481	нас в	1	1
482	связанной с	2	1
483	язык и	1	1
484	от них	1	1
485	отграничено от	1	1
486	чем и	1	1
487	но конечно	2	1
488	вслед за	1	1
489	его то	2	1
490	а именно	2	1
491	если взять	1	1
492	в сферу	1	1
493	к которому	1	1
494	что здесь	1	1
495	одного из	1	1
496	но с	2	1
497	понятно и	1	1
498	и весьма	2	1
499	и так	1	1
500	говорит только	1	1
501	не было	1	1
502	с одной	4	1
503	именно на	4	1
504	где они	2	1
505	было так	1	1
506	для всех	1	1
507	собою все	2	1
508	конечно не	3	1
509	и у	2	1
510	в начале	3	1
511	свидетельствует о	1	1
512	является не	1	1
513	оно всегда	1	1
514	чтобы какой-нибудь	1	1
515	зрения на	1	1
516	себе в	2	1
517	на части	7	1
518	и должна	1	1
519	вовсе не	7	1
520	части и	1	1
521	как его	2	1
522	у него	7	1
523	и цвет	1	1
524	что та	1	1
525	выражение это	1	1
526	ее на	1	1
527	в других	1	1
528	нужно сказать	2	1
529	различий между	1	1
530	зрения этого	1	1
531	до сих	3	1
532	перестают быть	1	1
533	которых мы	2	1
534	больше того	1	1
535	не знали	1	1
536	и прежде	2	1
537	было и	2	1
538	мы еще	2	1
539	говорит о	1	1
540	в некоторых	1	1
541	одной стороны	4	1
542	с большей	1	1
543	и самый	3	1
544	явление поэтому	1	1
545	его как	1	1
546	и гибели	1	1
547	же точно	1	1
548	бы ее	1	1
549	когда она	1	1
550	было сказано	1	1
551	стороны в	1	1
552	границы между	9	1
553	и существенный	1	1
554	есть такое	1	1
555	может так	1	1
556	он говорит	1	1
557	знать что	2	1
558	смысле этого	1	1
559	им не	1	1
560	его чисто	1	1
561	собою это	1	1
562	по существу	1	1
563	и другой	1	1
564	и жизнь	1	1
565	мы сказали	1	1
566	поэтому когда	1	1
567	этого слова	1	1
568	слова и	1	1
569	весь комплекс	1	1
570	сих пор	3	1
571	проявляется и	1	1
572	не больше	1	1
573	даже больше	1	1
574	этот образ	7	1
575	не является	1	1
576	или в	6	1
577	имеет дело	1	1
578	его с	1	1
579	о котором	4	1
580	тот кто	1	1
581	у них	1	1
582	в третьем	3	1
583	конце концов	1	1
584	в целях	3	1
585	одной из	3	1
586	другой стороны	2	1
587	они все	1	1
588	к его	1	1
589	по одному	1	1
590	жизни а	1	1
591	мы увидим	3	1
592	из этого	4	1
593	сила и	2	1
594	на свет	1	1
595	в действительности	1	1
596	сущности в	1	1
597	но эти	1	1
598	к этой	1	1
599	образ в	2	1
600	своей части	1	1
601	в противоположность	1	1
602	думать что	1	1
603	в таком	1	1
604	они не	3	1
