N	3gram	Nazirov_Tv_1	FransuaR
1	то же время	12	9
2	в то же	13	9
3	в том что	6	6
4	но в то	4	5
5	в связи с	1	5
6	на самом деле	2	4
7	в первой части	1	3
8	до сих пор	1	3
9	то же самое	1	2
10	дело в том	3	2
11	в одной из	2	2
12	в отличие от	1	2
13	между человеком и	1	2
14	со всеми его	1	2
15	в данном случае	2	2
16	мы уже говорили	1	2
17	можно сказать что	2	2
18	к тому же	1	2
19	в отрыве от	1	2
20	не только для	1	2
21	том что в	2	1
22	и того же	1	1
23	здесь нет ни	1	1
24	что иное как	1	1
25	да и в	1	1
26	хотя и не	1	1
27	в году в	2	1
28	одновременно и как	1	1
29	по отношению к	1	1
30	и к этому	1	1
31	же время он	2	1
32	себя в отрыве	1	1
33	в мировой литературе	1	1
34	и в то	2	1
35	что он не	1	1
36	и та же	2	1
37	на самом же	1	1
38	то что в	1	1
39	он не может	1	1
40	но это не	1	1
41	это вовсе не	1	1
42	в своей книге	1	1
43	вместе с тем	1	1
44	ее и не	1	1
45	уже говорили что	1	1
46	все это в	1	1
47	и что в	1	1
48	в ту же	1	1
49	в разные стороны	1	1
50	является одним из	2	1
51	для всего мира	1	1
52	целый ряд других	1	1
53	самом же деле	1	1
54	их неразрывном единстве	1	1
55	не мог не	1	1
56	в их неразрывном	1	1
57	мы находим у	1	1
58	не что иное	1	1
59	как и в	1	1
60	в свою очередь	1	1
61	одна и та	1	1
62	о том что	5	1
63	ту же самую	1	1
64	в конечном счете	4	1
65	и в самом	1	1
66	чем у нас	1	1
67	в ту эпоху	2	1
68	но на этот	1	1
69	одного и того	1	1
70	бы он ни	1	1
71	то есть о	1	1
72	тем не менее	2	1
