N	3gram	Voloshinov_1	VeschiIm
1	не может быть	7	18
2	бы то ни	3	9
3	то ни было	3	9
4	в том что	4	6
5	по крайней мере	1	6
6	может быть только	1	6
7	и то же	2	5
8	тем не менее	3	5
9	в свою очередь	1	5
10	одно и то	2	5
11	не есть только	1	4
12	в то же	1	4
13	то же время	1	4
14	с точки зрения	2	4
15	подобно тому как	1	3
16	сам по себе	1	3
17	можно было бы	1	3
18	более или менее	1	3
19	все же не	1	3
20	только то что	1	3
21	в самом деле	1	3
22	сама по себе	1	3
23	то что оно	1	2
24	уже не есть	1	2
25	и в частности	1	2
26	можно сказать что	5	2
27	уже не может	1	2
28	того что именно	1	2
29	этой точки зрения	3	2
30	в основе своей	1	2
31	она не может	1	2
32	дело в том	4	2
33	в вещи и	1	2
34	в данном случае	2	2
35	и таким образом	1	2
36	о том что	1	1
37	допустим что мы	1	1
38	одному и тому	1	1
39	они должны быть	1	1
40	в этом смысле	1	1
41	так же как	1	1
42	вещи и не	1	1
43	должна быть обязательно	1	1
44	с одной стороны	2	1
45	и не в	3	1
46	или хотя бы	1	1
47	но в то	1	1
48	если же оно	1	1
49	и с другой	1	1
50	на этом основании	1	1
51	тех или иных	1	1
52	с другой стороны	2	1
53	мы уже сказали	1	1
54	во всех языках	1	1
55	может быть и	3	1
56	до сих пор	3	1
57	может быть ни	1	1
58	и в этом	1	1
59	и прежде всего	1	1
60	извне как к	1	1
61	внутренней и внешней	1	1
62	и тому же	1	1
63	в то время	1	1
64	на одно и	1	1
65	и в нем	1	1
66	теперь остается только	1	1
67	сих пор мы	1	1
68	этих моментов в	1	1
69	стороны и с	1	1
70	сами по себе	1	1
71	одной стороны и	2	1
72	что мы имеем	1	1
73	но можно было	1	1
74	какой бы то	1	1
75	ни в какой	1	1
76	но все же	1	1
77	и не может	3	1
78	в зависимости от	2	1
79	если бы оно	1	1
80	с этой стороны	2	1
81	имеет дело с	1	1
82	то что для	1	1
83	то время как	1	1
84	что не только	1	1
85	то что я	1	1
86	в отношении к	2	1
87	во всяком случае	1	1
88	каких бы то	1	1
