N	2gram	Berdyaev_N_1	Narrotol
1	не только	5	32
2	может быть	7	25
3	но и	3	23
4	и не	11	20
5	и в	16	19
6	в том	8	18
7	в этом	7	17
8	не в	6	14
9	том что	2	14
10	своего рода	1	12
11	а не	17	12
12	то что	4	11
13	а в	2	11
14	не может	16	10
15	в мире	3	9
16	так и	2	9
17	в его	1	9
18	в себе	2	8
19	во времени	1	8
20	и т.п	2	8
21	с другой	3	8
22	еще не	3	7
23	как в	3	7
24	времени и	2	7
25	как и	7	7
26	к тому	3	7
27	а также	1	7
28	с одной	2	7
29	одной стороны	2	7
30	такого рода	2	7
31	с его	6	6
32	но не	2	6
33	в той	1	6
34	на протяжении	2	6
35	о том	4	6
36	что он	1	6
37	как это	2	6
38	том числе	1	6
39	но в	2	6
40	отличие от	1	5
41	уже не	2	5
42	в этой	1	5
43	в отличие	1	5
44	по себе	1	5
45	в основе	3	5
46	и его	1	5
47	к себе	1	5
48	к нему	1	5
49	нуждается в	1	5
50	себя в	2	5
51	можно сказать	1	5
52	переход от	1	4
53	в нем	5	4
54	в силу	1	4
55	но все	1	4
56	и с	2	4
57	было бы	1	4
58	числе и	1	4
59	не столько	1	4
60	только в	1	4
61	хотя бы	2	4
62	у него	2	4
63	что не	1	4
64	прежде всего	4	4
65	сказать что	3	4
66	другой стороны	2	4
67	это и	2	3
68	же как	2	3
69	в сущности	1	3
70	жизни как	2	3
71	в ней	5	3
72	и на	2	3
73	в ее	3	3
74	хотя и	2	3
75	уже в	1	3
76	из этих	1	3
77	не есть	3	3
78	он не	8	3
79	не будет	7	3
80	ни в	6	3
81	бытия в	2	3
82	не менее	4	3
83	в то	2	3
84	тем что	1	3
85	одна из	2	3
86	никогда не	6	3
87	на себя	1	3
88	по своей	1	3
89	могут быть	2	3
90	с ее	5	3
91	не с	1	3
92	из них	1	3
93	к содержанию	2	3
94	в прошлом	3	3
95	и даже	2	3
96	в свою	1	3
97	истории в	5	3
98	как будто	2	3
99	не существует	3	3
100	что в	9	3
101	будто бы	1	3
102	жизни в	3	3
103	а во	1	3
104	жизни и	8	3
105	и потому	4	2
106	и до	1	2
107	оно может	1	2
108	должна быть	3	2
109	который в	2	2
110	говорить о	1	2
111	в будущем	2	2
112	нет и	2	2
113	в своем	1	2
114	все эти	2	2
115	в известном	1	2
116	роль в	2	2
117	жизнью и	1	2
118	себя и	1	2
119	подобно тому	3	2
120	человека в	1	2
121	значительной степени	1	2
122	а по	1	2
123	это не	4	2
124	истории и	9	2
125	и сейчас	1	2
126	есть всегда	1	2
127	она не	3	2
128	не имеет	4	2
129	когда мы	2	2
130	то они	1	2
131	оно не	1	2
132	но сама	1	2
133	более не	2	2
134	приводит к	1	2
135	и про	1	2
136	и когда	1	2
137	можно было	2	2
138	быть может	4	2
139	в значительной	1	2
140	времени в	2	2
141	нет у	1	2
142	и только	1	2
143	от всех	1	2
144	известном смысле	1	2
145	есть в	2	2
146	сами по	1	2
147	не случайно	1	2
148	и никакой	1	2
149	в последние	1	2
150	одну из	1	2
151	к которому	1	2
152	нового времени	12	2
153	не было	4	2
154	не на	1	2
155	зависит от	2	2
156	как ни	1	2
157	не всегда	1	2
158	наряду с	3	2
159	тому как	3	2
160	по существу	2	2
161	что мы	1	2
162	что нет	1	2
163	и для	4	2
164	в обнаружении	1	2
165	мира и	2	2
166	которая в	1	2
167	и все	4	2
168	жизни а	1	2
169	так же	2	2
170	они не	1	2
171	и через	1	1
172	того же	1	1
173	становится в	1	1
174	он может	1	1
175	и есть	10	1
176	христианской культуры	1	1
177	мир не	1	1
178	героя но	1	1
179	но она	2	1
180	к вечности	2	1
181	как не	8	1
182	к ее	3	1
183	в чем	1	1
184	во всех	3	1
185	без обращения	1	1
186	по своему	4	1
187	совсем не	12	1
188	только потому	1	1
189	есть нарушение	1	1
190	обращения к	1	1
191	и старые	1	1
192	и к	5	1
193	от этого	1	1
194	в самом	1	1
195	а во-вторых	1	1
196	тоже не	1	1
197	мира но	1	1
198	в религиозном	2	1
199	человек не	1	1
200	одному из	1	1
