N	2gram	Propp_Russ_1	Komedia
1	и в	36	22
2	т е	17	13
3	том что	19	12
4	в г	4	11
5	но и	16	11
6	в том	17	11
7	не только	22	10
8	в то	1	10
9	из них	8	10
10	и т	10	9
11	как и	10	9
12	может быть	8	9
13	таким образом	6	8
14	должны были	2	8
15	о том	8	8
16	и его	1	8
17	в одном	3	8
18	и не	6	8
19	в этой	1	7
20	и других	7	7
21	то же	3	6
22	тому же	1	6
23	и по	8	6
24	ни в	1	6
25	что он	1	6
26	между и	1	6
27	к тому	4	6
28	а в	9	6
29	в которой	1	6
30	что в	19	6
31	до нас	1	5
32	в народном	1	5
33	в истории	1	5
34	как в	5	5
35	то время	1	5
36	при этом	6	5
37	во время	14	5
38	iv в	1	5
39	потому что	10	5
40	так и	7	5
41	еще в	4	5
42	между тем	7	5
43	один из	8	5
44	уже в	1	5
45	в его	2	5
46	т п	1	5
47	все это	6	5
48	по которым	1	4
49	время от	1	4
50	что они	7	4
51	но в	2	4
52	в нем	2	4
53	т д	9	4
54	г в	4	4
55	известно что	1	4
56	несмотря на	3	4
57	точки зрения	3	4
58	в их	4	4
59	одном из	1	4
60	так как	15	4
61	как мы	10	4
62	можно судить	1	4
63	примерно в	1	4
64	ли не	1	4
65	в в	2	4
66	так в	4	4
67	а также	3	4
68	что и	7	4
69	в качестве	3	4
70	мы можем	2	4
71	тем что	4	4
72	же в	1	4
73	по поводу	1	4
74	к этому	4	4
75	же как	1	3
76	в тех	4	3
77	в году	2	3
78	мы не	6	3
79	и о	1	3
80	и на	10	3
81	в чем	1	3
82	как правило	3	3
83	в этом	12	3
84	все же	5	3
85	хотя и	2	3
86	и как	2	3
87	можно сделать	3	3
88	в целом	2	3
89	и и	2	3
90	на то	1	3
91	главным образом	2	3
92	он не	1	3
93	здесь мы	1	3
94	и с	2	3
95	его в	1	3
96	чаще всего	3	3
97	в них	6	3
98	на основании	1	3
99	и ее	1	3
100	место в	1	3
101	вопрос о	1	3
102	не менее	3	3
103	что после	1	3
104	по отношению	1	3
105	того как	5	3
106	к этим	1	3
107	ничего не	3	3
108	на землю	1	3
109	этом отношении	1	3
110	у нас	8	3
111	могут быть	2	3
112	и сам	1	3
