N	2gram	Ircho_Kome_1	OGranits
1	и в	22	13
2	и его	8	12
3	прежде всего	5	9
4	может быть	9	8
5	не может	2	8
6	и не	8	8
7	в его	5	7
8	точки зрения	4	7
9	стилистических приемов	1	6
10	только в	3	6
11	как бы	1	6
12	не только	10	6
13	то что	2	6
14	таким образом	8	6
15	все же	3	5
16	хотя бы	1	5
17	и эта	1	5
18	мы не	3	4
19	тех пор	1	4
20	еще и	2	4
21	но в	4	4
22	мы можем	4	4
23	то же	6	4
24	в сознании	3	4
25	было бы	2	4
26	все это	5	4
27	в двух	1	4
28	вполне понятно	1	4
29	в каждом	1	4
30	так и	5	3
31	г в	4	3
32	говорить о	1	3
33	в их	4	3
34	по отношению	3	3
35	в поэтике	1	3
36	за пределы	2	3
37	с этим	1	3
38	в которой	6	3
39	в себе	2	3
40	к одному	1	3
41	в одном	8	3
42	так как	4	3
43	здесь мы	3	3
44	но и	11	3
45	слово в	1	3
46	как и	9	3
47	и уже	1	3
48	со всей	1	3
49	что же	1	3
50	не в	6	3
51	да и	3	3
52	и для	1	3
53	и все	3	3
54	превращается в	1	3
55	отношению к	3	3
56	что в	6	3
57	и наиболее	1	2
58	для себя	2	2
59	и др	1	2
60	данном случае	1	2
61	зависимости от	1	2
62	роль в	1	2
63	на две	2	2
64	конечно в	1	2
65	мы уже	1	2
66	те же	1	2
67	мог бы	2	2
68	подойти к	1	2
69	что иное	1	2
70	иное как	1	2
71	не что	1	2
72	с самого	1	2
73	грамматики и	1	2
74	для исследования	2	2
75	в ней	1	2
76	ее в	2	2
77	а также	4	2
78	в чем	3	2
79	между тем	5	2
80	в общем	1	2
81	нуждается в	1	2
82	что они	4	2
83	вслед за	2	2
84	наконец в	1	2
85	к сожалению	2	2
86	основная мысль	1	2
87	чем же	2	2
88	и следовательно	1	2
89	материалом для	1	2
90	как в	5	2
91	в данном	1	2
92	в этом	3	2
93	в полном	1	2
94	в том	11	2
95	тот же	3	2
96	в действительности	2	2
97	в этот	1	2
98	которое мы	1	2
99	во времени	1	2
100	в целом	3	2
101	и тем	2	2
102	с одной	3	2
103	уже в	5	2
104	в нем	4	2
105	связанные с	2	2
106	при этом	5	2
107	в другом	4	2
108	вовсе не	2	2
109	в зависимости	1	2
110	тем что	4	2
111	в них	3	2
112	в области	2	2
113	с другой	5	2
114	а как	1	2
115	в самом	2	2
116	одной стороны	3	2
117	материал в	1	2
118	соответствии с	1	2
119	другой стороны	5	2
120	представляет себе	1	2
121	не мог	3	2
122	несмотря на	4	2
123	том что	12	2
124	в г	11	2
125	и ее	3	2
126	так же	3	2
127	в отношении	6	2
128	который мы	1	2
129	в течение	3	2
130	в тех	3	2
131	с этой	1	2
132	слова и	1	2
133	не менее	3	2
134	самого начала	1	2
135	в книге	1	2
136	бы в	1	2
137	во всем	1	2
138	а в	6	2
139	еще в	5	2
140	приемов но	1	2
141	и к	1	2
142	могут быть	3	2
143	в своих	2	2
144	к тому	6	2
145	обычно в	1	1
146	и это	1	1
147	можно говорить	1	1
148	одним из	1	1
149	также и	1	1
150	же как	3	1
151	зависимость от	1	1
152	того же	2	1
153	на нем	2	1
154	как известно	2	1
155	и художественных	2	1
156	здесь и	2	1
157	стр и	2	1
158	в себя	2	1
159	ту же	2	1
160	в нашу	1	1
161	действительного или	1	1
162	на том	1	1
163	едва ли	7	1
164	в образе	3	1
165	можно было	1	1
166	в нескольких	1	1
167	особенно в	1	1
168	свое мнение	1	1
169	свою полную	1	1
170	в борьбе	1	1
171	отождествляется с	1	1
172	отсюда и	1	1
173	или их	1	1
174	когда в	1	1
175	и о	3	1
176	вопрос о	3	1
177	темы в	1	1
178	и философия	1	1
179	для этого	2	1
180	по себе	1	1
181	связанное с	1	1
182	на себя	2	1
183	с ее	2	1
184	из того	1	1
185	ему в	1	1
186	то это	1	1
187	как свой	1	1
188	в мире	1	1
189	и он	1	1
190	в каждой	1	1
191	и являются	1	1
192	и что	1	1
193	почему же	1	1
194	еще не	2	1
195	столь же	2	1
196	и своей	1	1
197	тем как	2	1
198	и подобно	1	1
199	жизни он	1	1
200	к нему	2	1
201	на самом	1	1
202	совсем не	2	1
203	но не	2	1
204	общественного строя	1	1
205	может и	1	1
206	борьбе с	1	1
207	отношение к	3	1
208	отметить что	1	1
209	богатство и	1	1
210	в свои	3	1
211	на то	3	1
212	даже для	1	1
213	в истории	5	1
214	течение всего	1	1
215	для создания	1	1
216	в своем	1	1
217	как из	3	1
218	по своей	2	1
219	что касается	2	1
220	один из	5	1
221	которые и	1	1
222	тех случаях	1	1
223	и как	3	1
224	всего не	1	1
225	его к	1	1
226	одной из	3	1
227	что он	6	1
228	не боясь	1	1
229	более или	1	1
230	течение всей	1	1
231	писателей и	1	1
232	чем его	1	1
233	который в	2	1
234	в значительной	1	1
235	не приходится	1	1
236	состоит не	1	1
237	платон в	1	1
238	чуть ли	1	1
239	по которым	4	1
240	так в	4	1
241	в этой	7	1
242	для всех	2	1
243	что к	2	1
244	остановиться на	1	1
245	в дальнейшем	1	1
246	обоснование в	1	1
247	само собой	1	1
248	и тот	1	1
249	и у	3	1
250	только на	1	1
251	века к	1	1
252	что она	1	1
253	и гг	6	1
254	речь в	1	1
255	и других	7	1
256	именно та	1	1
257	на эту	1	1
258	никто не	1	1
259	состоит в	1	1
260	в виде	3	1
261	содержания и	1	1
262	сказал что	1	1
263	и один	1	1
264	в конце	6	1
265	одном случае	1	1
266	на службу	1	1
267	из него	1	1
268	каждый из	3	1
