N	3gram	Vinokur_Vv_1	VLabPisa
1	и т д	37	15
2	в этом отношении	3	13
3	и т п	5	9
4	с другой стороны	5	8
5	не может быть	8	8
6	по отношению к	4	7
7	по этому поводу	2	7
8	в зависимости от	1	5
9	хотя бы и	2	5
10	то же время	5	5
11	в то же	5	5
12	не могут быть	2	4
13	в связи с	2	4
14	можно сказать что	3	4
15	в том что	12	4
16	и др в	1	3
17	в значительной мере	1	3
18	вместе с тем	3	3
19	бы и не	1	3
20	большей или меньшей	2	3
21	о том что	12	3
22	к тому что	1	3
23	в другом месте	2	2
24	том отношении что	3	2
25	одной стороны и	3	2
26	в чем же	3	2
27	в конечном итоге	1	2
28	подобно тому как	1	2
29	также и в	2	2
30	как об этом	2	2
31	до сих пор	5	2
32	каждой из этих	1	2
33	только то что	1	2
34	можно было бы	3	2
35	одном и том	1	2
36	по крайней мере	4	2
37	или меньшей степени	1	2
38	в том чтобы	5	2
39	с одной стороны	4	2
40	в конце концов	2	2
41	и том же	1	2
42	не могут не	1	2
43	в большей или	1	2
44	во всяком случае	3	2
45	в точном смысле	1	2
46	в том отношении	3	2
47	этой точки зрения	1	2
48	в частности в	1	2
49	деятельности человека и	1	2
50	от того что	1	2
51	таким образом по	2	2
52	для того чтобы	21	2
53	во всех его	1	2
54	и есть то	1	1
55	на этот вопрос	3	1
56	лицом к лицу	1	1
57	и в результате	1	1
58	в прямом смысле	2	1
59	в начале этой	1	1
60	теми или иными	1	1
61	то о чем	1	1
62	о природе и	1	1
63	как один из	1	1
64	хотя бы уже	1	1
65	по меньшей мере	2	1
66	в самом деле	5	1
67	в этом смысле	10	1
68	и как оно	1	1
69	т е не	2	1
70	в соответствии с	2	1
71	в том же	1	1
72	об искусстве и	1	1
73	в течение многих	2	1
74	с этой точки	1	1
75	как это было	1	1
76	говоря уже о	1	1
77	именно в этом	3	1
78	в одном и	1	1
79	сама по себе	3	1
80	но и в	1	1
81	т д но	5	1
82	только в том	2	1
83	из них и	1	1
84	том или ином	1	1
85	может быть и	2	1
86	теснейшим образом связана	1	1
87	как если бы	1	1
88	то или иное	1	1
89	одно и то	1	1
90	что даже и	1	1
91	ту или иную	1	1
92	так или иначе	4	1
93	нельзя не признать	2	1
94	в применении к	6	1
95	в том или	1	1
96	уже о том	1	1
97	с теми или	1	1
98	в данном случае	4	1
99	но в то	3	1
100	не только в	4	1
101	как видно из	1	1
102	ни к какому	1	1
103	то же самое	2	1
104	и то же	1	1
105	так же как	1	1
106	как будто бы	2	1
107	по сравнению с	3	1
108	об этом речь	1	1
109	особый вид познания	1	1
110	одним из наиболее	1	1
111	не следует забывать	1	1
112	имеем дело с	1	1
113	не в том	2	1
114	но вместе с	2	1
115	во взглядах на	1	1
116	следует понимать в	1	1
117	ответ на этот	1	1
118	а как на	1	1
119	а между тем	1	1
120	на вопрос что	1	1
121	все то что	1	1
122	а не только	1	1
123	в целом но	1	1
124	дошедших до нас	1	1
125	того или иного	1	1
126	а в том	1	1
127	не как на	1	1
128	у него в	1	1
129	но с другой	1	1
130	имеем в виду	1	1
131	не говоря уже	2	1
132	том же направлении	1	1
133	в свою очередь	1	1
134	быть и речи	1	1
135	и никогда не	1	1
136	одной из этих	1	1
137	одной из основных	1	1
138	и без того	1	1
139	образом связана с	1	1
140	вопрос о том	5	1
141	на то или	1	1
142	в реальной действительности	1	1
143	в каждой из	1	1
144	той или иной	1	1
145	в этой системе	1	1
146	мы говорим о	1	1
147	после того как	2	1
148	все зависит от	1	1
149	чем же заключается	1	1
150	а одним из	1	1
151	с этим и	1	1
152	мы имеем дело	1	1
153	от его содержания	1	1
154	все это не	1	1
155	может быть в	2	1
156	дело не в	1	1
157	не значит что	1	1
158	только тогда когда	1	1
159	не в этом	1	1
160	как мы знаем	1	1
161	заключает в себе	1	1
162	т е в	4	1
