N	3gram	Propp_Isto_6	Tragedij
1	так и в	1	3
2	точно так же	2	2
3	в данном случае	3	2
4	между этими двумя	1	2
5	о том что	4	2
6	но все же	2	2
7	в том что	5	2
8	в этом случае	6	1
9	в этом мире	1	1
10	в обоих случаях	1	1
11	сменяющие друг друга	1	1
12	том что он	1	1
13	и не может	1	1
14	и должна быть	1	1
15	но и на	1	1
16	сердца но в	1	1
17	и то что	1	1
18	вместе с ними	1	1
19	это может быть	1	1
20	все эти черты	1	1
21	или как говорит	1	1
22	еще ничего не	1	1
23	во всяком случае	2	1
24	смысле этого слова	1	1
25	но при этом	1	1
26	обстоит дело с	1	1
27	тем не менее	1	1
28	что когда я	1	1
29	с такой силой	1	1
30	все же не	1	1
31	не может быть	3	1
32	и знает что	1	1
33	связь и с	1	1
34	в точности соответствует	1	1
35	и вместе с	1	1
36	что в ней	1	1
37	такой силой что	1	1
38	несмотря на все	1	1
39	ее к себе	2	1
40	после того как	2	1
41	как и в	2	1
