N	3gram	Medvedev_F_2	SlovoVZh
1	не может быть	10	7
2	к предмету высказывания	1	4
3	в том что	2	4
4	и не может	3	3
5	тем не менее	1	3
6	бы то ни	1	3
7	может быть и	3	3
8	до сих пор	1	3
9	и не в	2	3
10	в художественном произведении	1	3
11	это не так	1	2
12	в такой же	1	2
13	имеем в виду	1	2
14	на самом деле	3	2
15	с другой стороны	3	2
16	с точки зрения	7	2
17	в зависимости от	3	2
18	но тем не	1	2
19	до известной степени	3	2
20	в данном случае	1	2
21	в настоящее время	1	2
22	ни на один	2	2
23	с одной стороны	1	2
24	питающей его почвы	1	1
25	и в поэзии	1	1
26	но все же	2	1
27	один и тот	1	1
28	мы ни на	1	1
29	и в этом	5	1
30	как например в	1	1
31	и его в	1	1
32	приблизимся к пониманию	1	1
33	в чем не	1	1
34	следует отметить что	1	1
35	форму социального общения	1	1
36	на один шаг	2	1
37	взаимодействие литературы с	1	1
38	может быть оторвано	1	1
39	все же не	1	1
40	в высшую степень	1	1
41	ровно ничего не	1	1
42	все более и	1	1
43	художественного восприятия и	1	1
44	не приблизимся к	1	1
45	более или менее	1	1
46	во всяком случае	5	1
47	истории литературы и	1	1
48	мы не найдем	1	1
49	в самом деле	5	1
50	в этом смысле	2	1
51	конечно эта своеобразная	1	1
52	общения не может	1	1
53	нам кажется что	1	1
54	так называемый формальный	1	1
55	социального общения в	1	1
56	ни в чем	2	1
57	взаимоотношения между говорящими	1	1
58	равно как и	1	1
59	и должна быть	1	1
60	сам по себе	3	1
61	сами по себе	2	1
62	таким образом мы	1	1
63	особенно важное значение	1	1
64	в свою очередь	1	1
65	то едва ли	1	1
66	но и в	3	1
67	же время не	1	1
68	оставаясь в пределах	1	1
69	если мы обратимся	1	1
70	в истории литературы	2	1
71	только то что	1	1
72	ничего общего с	1	1
73	в этом отношении	7	1
74	вне поля рассмотрения	1	1
75	по аналогии с	1	1
76	при этом слово	1	1
77	с самого начала	2	1
78	такой же степени	1	1
79	называемый формальный метод	1	1
80	более и более	1	1
81	и прежде всего	2	1
82	в поэтическом произведении	1	1
83	более того если	1	1
84	то же время	5	1
85	каждое жизненное высказывание	1	1
86	шаг не приблизимся	1	1
87	мы имеем в	1	1
88	в противном случае	1	1
89	так и все	1	1
90	мы обратимся к	1	1
91	в процессе этого	2	1
92	по крайней мере	1	1
93	в то же	5	1
94	таким образом не	2	1
95	быть оторвано от	1	1
96	а лишь поскольку	1	1
97	в значительной степени	3	1
98	сама по себе	1	1
99	связи с ним	1	1
100	к этому пределу	1	1
101	не совпадает с	1	1
102	она не может	1	1
103	как и в	1	1
104	и поэтическое произведение	1	1
105	которая только и	1	1
106	но в то	1	1
107	таким образом во	1	1
108	каждый элемент ее	1	1
109	к вопросу о	1	1
110	широко включая сюда	1	1
111	в высшей степени	4	1
112	и тот же	1	1
113	один шаг не	2	1
