N	3gram	Losev_Dial_3	Formalny
1	не может быть	6	10
2	в связи с	1	10
3	с точки зрения	14	7
4	в этом отношении	1	7
5	в самом деле	5	5
6	и в этом	2	5
7	то же время	1	5
8	в то же	1	5
9	во всяком случае	2	5
10	и т д	23	5
11	и пр и	1	4
12	не могут быть	2	4
13	того или иного	2	4
14	пр и пр	1	4
15	из всего этого	1	3
16	на самом деле	1	3
17	как раз и	3	3
18	и не может	1	3
19	и в то	1	3
20	в зависимости от	2	3
21	сам по себе	5	3
22	не в том	1	3
23	в том смысле	1	3
24	с другой стороны	2	3
25	связи с этим	1	3
26	тем что оно	2	2
27	на первый план	4	2
28	сами по себе	3	2
29	даже и не	3	2
30	в применении к	1	2
31	ни в чем	1	2
32	мы приходим к	1	2
33	и прежде всего	3	2
34	к тому что	2	2
35	том смысле что	1	2
36	в том что	3	2
37	что иное как	6	1
38	мы ни взяли	1	1
39	и случилось с	1	1
40	это даже не	1	1
41	что в основе	1	1
42	иметь в виду	2	1
43	в виду что	1	1
44	лежать в основе	1	1
45	эти факты и	1	1
46	более или менее	1	1
47	не говоря уже	2	1
48	и в особенности	1	1
49	новых точек зрения	1	1
50	в таком виде	1	1
51	но даже и	2	1
52	сюда же относятся	1	1
53	перестал бы быть	1	1
54	что он есть	3	1
55	он не может	2	1
56	с одной стороны	3	1
57	событие как таковое	2	1
58	до сих пор	1	1
59	говоря уже о	2	1
60	в таком случае	10	1
61	зависимости от характера	1	1
62	но они не	2	1
63	из того что	2	1
64	что каждый из	1	1
65	спрашивается что же	1	1
66	т е что	6	1
67	а все остальное	1	1
68	в других областях	1	1
69	по крайней мере	5	1
70	это и случилось	1	1
71	это может быть	1	1
72	что не есть	2	1
73	мы не можем	2	1
74	т е в	4	1
75	не чем иным	1	1
76	в данном случае	1	1
77	т е это	1	1
78	и пр это	2	1
79	столько же сколько	1	1
80	так или иначе	2	1
81	как особого рода	2	1
82	в такой же	1	1
83	он был бы	1	1
84	это и есть	2	1
85	не тем что	1	1
86	бы то ни	1	1
87	в учении о	1	1
88	тем что его	1	1
89	что он просто	1	1
90	то в нем	1	1
91	у нас не	1	1
92	что же такое	2	1
93	и во всяком	1	1
94	есть не что	3	1
95	чем иным как	1	1
96	и пр в	1	1
97	же сколько и	1	1
98	имеем в виду	1	1
99	но все эти	1	1
100	ровно ничего не	3	1
101	но что же	1	1
102	мы имеем в	1	1
103	мы указали что	1	1
104	не что иное	6	1
105	сама по себе	4	1
106	тем не менее	10	1
107	но тогда и	1	1
108	как и в	3	1
109	что и в	1	1
