N	3gram	Bakhtin_Fr_8	VeschiIm
1	не может быть	2	18
2	бы то ни	2	9
3	то ни было	1	9
4	в том что	6	6
5	в чем же	1	5
6	с точки зрения	2	4
7	и то что	1	4
8	вещей и имен	1	4
9	то же время	10	4
10	в то же	10	4
11	более или менее	2	3
12	в самом деле	1	3
13	подобно тому как	1	3
14	и в то	5	3
15	можно было бы	1	3
16	вместе с тем	1	3
17	все же не	1	3
18	только то что	1	3
19	можно сказать что	2	2
20	дело в том	2	2
21	как бы ни	1	2
22	о том как	1	2
23	отношении вещей и	1	2
24	и в частности	1	2
25	ни о каком	1	2
26	в данном случае	2	2
27	со всем прочим	1	2
28	уже не просто	1	2
29	заключается в том	1	2
30	таким образом что	1	1
31	это уже не	1	1
32	мы видим таким	1	1
33	и еще один	1	1
34	мы уже сказали	1	1
35	в этом смысле	1	1
36	и все вообще	1	1
37	условиях не может	1	1
38	быть и речи	1	1
39	одной стороны и	1	1
40	том что это	1	1
41	и в той	1	1
42	до сих пор	8	1
43	то это уже	1	1
44	сих пор мы	1	1
45	мы переходим к	1	1
46	в той же	3	1
47	точка зрения на	1	1
48	от них и	1	1
49	новых вещей и	2	1
50	в их конкретной	1	1
51	может быть и	1	1
52	в самом начале	1	1
53	не потому что	1	1
54	в себя момент	1	1
55	но в то	2	1
56	таким образом и	3	1
57	с одной стороны	2	1
58	своей части в	1	1
59	и в этом	1	1
60	и как бы	1	1
61	не в том	1	1
62	какой бы то	1	1
63	один из моментов	1	1
64	с другой стороны	2	1
65	вовсе еще не	2	1
66	потому что они	1	1
67	речь идет о	1	1
68	на вопрос о	1	1
69	в одном и	1	1
70	мы не можем	1	1
71	в то время	2	1
72	и вместе с	1	1
73	о том что	2	1
74	не только не	2	1
75	их конкретной и	1	1
76	видим таким образом	1	1
77	вопрос о том	1	1
78	вместо того чтобы	1	1
79	и прежде всего	1	1
80	для того чтобы	2	1
81	это было в	1	1
82	мы видим что	2	1
83	в результате этого	1	1
84	друг с другом	1	1
85	и в нем	1	1
86	от вещей и	1	1
87	и только в	1	1
