N	2gram	Medvedev_B_1	Myslijsy
1	и в	1	24
2	и не	2	19
3	а не	1	18
4	что в	1	16
5	не только	1	15
6	было бы	1	13
7	таким образом	1	11
8	и на	1	8
9	всяком случае	1	7
10	прежде всего	1	7
11	во всяком	1	7
12	с другой	1	6
13	не было	1	6
14	все же	1	5
15	по крайней	1	5
16	так и	1	5
17	крайней мере	1	5
18	представляется нам	1	5
19	еще не	1	4
20	его не	1	3
21	далеко не	1	3
22	в ней	2	3
23	и во	1	3
24	нет но	1	3
25	также что	1	2
26	на самом	1	2
27	вопрос о	1	2
28	не то	2	2
29	не все	1	2
30	за пределы	1	2
31	к ней	1	2
32	у нас	3	2
33	что все	1	2
34	между ними	1	2
35	точке зрения	1	2
36	как часть	1	2
37	и потому	1	2
38	все это	2	2
39	другой стороны	1	2
40	книги в	1	1
41	по отдельным	1	1
42	должна быть	1	1
43	видеть в	2	1
44	остановиться на	1	1
45	не следует	1	1
46	значительной степени	1	1
47	же не	1	1
48	об этом	1	1
49	почти совершенно	1	1
50	и более	1	1
51	значение слова	1	1
52	иначе не	1	1
53	нельзя не	1	1
54	никак не	1	1
55	не о	1	1
56	без понимания	1	1
57	и о	1	1
58	и полно	1	1
59	нас по	1	1
60	тем более	1	1
