N	2gram	Trubetskoy_1	VelikijI
1	во имя	3	32
2	и не	8	20
3	и в	23	16
4	так как	7	9
5	то что	18	9
6	еще не	5	8
7	в истории	3	8
8	что они	2	7
9	на земле	3	7
10	а не	1	7
11	и потому	3	7
12	не есть	2	6
13	на себя	1	5
14	но и	9	5
15	по пути	1	5
16	того что	6	5
17	хотя и	4	5
18	в мире	6	5
19	все это	11	5
20	как бы	10	5
21	говорить о	2	4
22	в его	5	4
23	и я	1	4
24	в этом	12	4
25	что он	7	4
26	потому что	9	4
27	в нем	3	4
28	так и	10	4
29	что все	5	4
30	как и	9	4
31	что мы	4	4
32	в котором	2	4
33	всех существ	1	4
34	в ней	3	4
35	и все	7	4
36	все что	9	4
37	от этого	1	3
38	и что	8	3
39	должна быть	5	3
40	за то	1	3
41	хотя бы	4	3
42	то это	1	3
43	как не	2	3
44	лишь в	5	3
45	с его	1	3
46	во всех	10	3
47	что и	7	3
48	и будет	2	3
49	в том	30	3
50	тот же	3	3
51	но в	4	3
52	в вопросе	2	3
53	по этому	2	3
54	все эти	19	3
55	за ним	1	3
56	от которого	1	3
57	в конце	4	3
58	их в	2	3
59	в своей	1	3
60	в жизни	3	3
61	в них	2	3
62	не было	2	3
63	должно быть	4	3
64	в этих	3	3
65	нет ничего	1	3
66	что во	1	3
67	что я	1	3
68	не в	8	3
69	тому что	2	3
70	не имеет	1	3
71	никогда не	4	3
72	их от	1	3
73	и для	6	3
74	к тому	8	3
75	жизни и	2	3
76	что в	8	3
77	а между	8	2
78	и это	3	2
79	того чтобы	8	2
80	и то	4	2
81	лишь из	1	2
82	от своей	2	2
83	у людей	1	2
84	но мы	1	2
85	по которым	1	2
86	и сам	2	2
87	можно было	1	2
88	мы не	1	2
89	что от	1	2
90	с ним	6	2
91	будет уже	1	2
92	вместо того	1	2
93	своей истории	1	2
94	ее и	3	2
95	и будут	1	2
96	между тем	12	2
97	нет и	1	2
98	более всех	1	2
99	от этих	1	2
100	которые не	3	2
101	на нас	3	2
102	его к	1	2
103	только в	6	2
104	те которые	1	2
105	в себя	2	2
106	государство не	1	2
107	о высшем	1	2
108	конечно не	3	2
109	уже не	1	2
110	не только	7	2
111	на этих	1	2
112	стало возможным	1	2
113	раз навсегда	1	2
114	не так	4	2
115	для него	2	2
116	не к	1	2
117	в прошлом	1	2
118	тем что	1	2
119	на том	2	2
120	не будет	5	2
121	ценности и	2	2
122	это не	3	2
123	истории и	1	2
124	а с	4	2
125	и люди	1	2
126	прежде всего	3	2
127	с тем	2	2
128	мы и	2	2
129	один из	1	2
130	вопросе о	2	2
131	для их	1	2
132	мира в	1	2
133	мире если	1	2
134	не могут	4	2
135	самого себя	4	2
136	да и	1	2
