N	3gram	Voloshinov_1	Freidism
1	с точки зрения	6	11
2	во всяком случае	3	7
3	не может быть	3	7
4	в самом деле	2	6
5	на протяжении всей	2	6
6	в большинстве случаев	3	5
7	и прежде всего	1	5
8	мы знаем что	1	4
9	сознания с бессознательным	1	4
10	в данном случае	1	4
11	протяжении всей жизни	2	4
12	и его ученики	3	4
13	на самом деле	4	4
14	можно сказать что	3	4
15	фрейд и его	3	4
16	метод свободного фантазирования	2	4
17	в душе человека	1	4
18	если бы он	1	3
19	теперь мы должны	1	3
20	в материнское лоно	1	3
21	для того чтобы	1	3
22	бы то ни	1	3
23	я и оно	2	3
24	всей жизни человека	2	3
25	влечение к матери	1	3
26	отношение к отцу	1	3
27	но в общем	2	3
28	прежде всего к	1	3
29	мы можем сказать	2	3
30	с самого начала	4	3
31	в конечном счете	2	3
32	мысли и образы	2	3
33	чувств и желаний	2	3
34	можем сказать что	1	3
35	рассеяно по всему	2	2
36	точки зрения сознания	1	2
37	можно добраться до	1	2
38	отца с его	1	2
39	и связанных с	1	2
40	из тех же	2	2
41	в чем не	3	2
42	фрейд и брейер	1	2
43	для него только	1	2
44	на первых ступенях	1	2
45	не дает нам	1	2
46	а потому и	2	2
47	выдержать точку зрения	1	2
48	к матери или	1	2
49	желаний чувств и	1	2
50	фрейда в своей	1	2
51	возврат в материнское	1	2
52	в систему бессознательного	2	2
53	то же самое	1	2
54	учение фрейда об	1	2
55	события взрослой жизни	1	2
56	до сих пор	3	2
57	является по ранку	2	2
58	на две группы	2	2
59	ребенка к матери	1	2
60	его отношение к	1	2
61	господству принципа наслаждения	1	2
62	который необходим для	1	2
63	но мы знаем	1	2
64	двойное испытание с	1	2
65	и не нуждается	1	2
66	пробиться в сознание	2	2
67	вытеснению в бессознательное	1	2
68	во всех областях	1	2
69	и есть та	1	2
70	все снова и	1	2
71	первых ступенях развития	1	2
72	внешний мир в	1	2
73	к отцу и	1	2
74	к матери и	3	2
75	желаний и связанных	1	2
76	ничего общего не	1	2
77	так и в	1	2
78	не могут быть	2	2
79	а с другой	1	2
80	явные образы сновидения	2	2
81	чувств и представлений	1	2
82	к материнскому лону	1	2
83	об эрогенных зонах	2	2
84	сексуальное влечение или	1	2
85	его все позволено	2	2
86	в его целом	2	2
87	все то что	2	2
88	может быть это	3	2
89	с его запретами	1	2
90	в этом отношении	1	2
91	ни в чем	3	2
92	с вытесненным представлением	2	2
93	еще не стали	1	2
94	связанных с ними	2	2
95	это и есть	1	2
96	во внешнем мире	1	2
97	на следующих ступенях	1	2
98	испытание с точки	2	2
99	отношения ребенка к	1	2
100	всей последующей жизни	2	2
101	то ни было	1	2
102	желаний и чувств	1	2
103	с его все	2	2
104	скрытые мысли сна	1	2
105	с одной стороны	1	2
106	и таким путем	1	2
107	на всю жизнь	1	2
108	и др к	1	2
109	мы уже знаем	1	2
110	снова и снова	1	2
111	в высшей степени	1	2
112	эдипов комплекс и	1	2
113	виде оно не	1	1
114	но так ли	1	1
115	свободно и беспрепятственно	1	1
116	его рождения признать	1	1
117	страсть и духовную	1	1
118	же заметим что	1	1
119	и выдержать точку	1	1
120	сопротивление во всех	1	1
121	форму и содержание	1	1
122	и первую эрекцию	1	1
123	от всех внешних	1	1
124	его ученики цитируют	1	1
125	так как примат	1	1
126	важный момент в	1	1
127	все события взрослой	1	1
128	мыслью о чувственности	1	1
129	введением прямо противоположных	1	1
130	голод присуще ребенку	1	1
131	влечений и желаний	1	1
132	положения зародыша мы	1	1
133	зрения каждого из	1	1
134	фантазирования freie einf(lle	1	1
135	влечения фрейд разделяет	1	1
136	сводится к следующему	1	1
137	и желания которые	1	1
138	прикрепляется к врачу	1	1
139	ребенок редко желает	1	1
140	к возвращению назад	1	1
141	смеющемся союзника и	1	1
142	счете этому бессознательному	1	1
143	путем компромисса и	1	1
144	чреве носит либидинозный	1	1
145	по смыслу образов	1	1
146	т.е до скрытого	1	1
147	может повлечь за	1	1
148	весь остальной мир	1	1
149	и может быть	2	1
150	имеющие отношения к	1	1
151	техника символичны мы	1	1
152	в объекте в	1	1
153	к роковому разделению	1	1
154	за отказ от	1	1
155	свою концепцию психического	1	1
156	есть и начало	1	1
157	форме когда сопротивление	1	1
158	способностей какие были	1	1
159	ни фрейдисты никогда	1	1
160	привилегией для накопления	1	1
161	повторение внутриутробного положения	1	1
162	отношения к разбираемому	1	1
163	продолжение рода хотя	1	1
164	свое отношение к	1	1
165	действительного и недействительного	1	1
166	мать отношения ребенка	1	1
167	ученого мира замкнулась	1	1
168	освободить свое libido	1	1
169	культура и культурный	1	1
170	ее в одном	1	1
171	ощущения представления мысли	1	1
172	она хочет приобщить	1	1
173	знает различия действительного	1	1
174	заметим что она	1	1
175	эта жажда возврата	1	1
176	женщину на ее	1	1
177	как ее эстетическая	1	1
178	внешними и внутренними	1	1
179	социализировать грех в	1	1
180	фрейд ни разу	1	1
181	как изживанием и	1	1
182	еще шопенгауэра и	1	1
183	и по соматическому	1	1
184	наслаждения присоединяется на	1	1
185	и порочностью в	1	1
186	с новыми участниками	1	1
187	в этот uterus	1	1
188	этот бессознательный механизм	1	1
189	агрессивных остротах находит	1	1
190	энергий бессознательного т.е	1	1
191	представлений при этом	1	1
192	его многообразных проявлениях	1	1
193	не имеющие отношения	1	1
194	она управляется только	1	1
195	форма и содержание	1	1
196	к сожалению ни	1	1
197	и наконец социальные	1	1
198	в замену в	1	1
199	сжигать трупы также	1	1
200	с ее все	1	1
201	равным которому будет	1	1
202	психологии действительно настолько	1	1
203	отношение к вытесненному	1	1
204	руки или ноги	1	1
205	к интерпретирующему истолковывающему	1	1
206	на два потока	1	1
207	последствия такие желания	1	1
208	к разбираемому сновидению	1	1
209	же психоорганических корней	1	1
210	сознания форму это	1	1
211	женщину к сексуальному	1	1
212	тела и с	1	1
213	что главную массу	1	1
214	желание его смерти	1	1
215	матери и связанная	1	1
216	поверхностным головным не	1	1
217	желания стремления чувство	1	1
218	ко дню его	1	1
219	безразличных впечатлений ближайшего	1	1
220	словесной двусмысленности перенесения	1	1
221	им управляется его	1	1
222	происходит психический отбор	1	1
223	быть ничего общего	1	1
224	ученики цитируют только	1	1
225	бы он был	1	1
226	ранку не чем	1	1
227	и начинается трагедия	1	1
228	и ведет непрерывную	1	1
229	вместе с ужасом	1	1
230	оно есть там	1	1
231	продолжающий его собственный	1	1
232	маскирует свою тенденцию	1	1
233	дифференциацию в самом	1	1
234	под ним фрейд	1	1
235	разбираемого сна надо	1	1
236	понятен ребенку именно	1	1
237	с их скрюченными	1	1
238	анальная зона заднепроходное	1	1
239	потому причиняющим страдание	1	1
240	быть это отличие	1	1
241	следует заметить что	1	1
242	с погребением обряды	1	1
243	в глубине ее	1	1
244	сила которая в	1	1
245	сейчас же заметим	1	1
246	шутка нуждается в	1	1
247	заднепроходное отверстие при	1	1
248	основной фонд бессознательного	1	1
249	может во всей	1	1
250	сознания сознание получает	1	1
251	страха и сострадания	1	1
252	этой привилегией для	1	1
253	раздражений и влияний	1	1
254	возможного влияния на	1	1
255	в общем яркой	1	1
256	прикрытием художественной формы	1	1
257	приводится в движение	1	1
258	того минимума общего	1	1
259	и наконец враждебность	1	1
260	позволяют частично изживать	1	1
261	ней методам это	1	1
262	эти компромиссные образования	1	1
263	свободно играющий во	1	1
264	объекты вытесненного влечения	1	1
265	присутствие хотя бы	1	1
266	убедиться надо только	1	1
267	есть частичное повторение	1	1
268	вытесненным представлением так	1	1
269	ужас рождения человек	1	1
270	пороки современной ему	1	1
271	основе их лежит	1	1
272	от тесных ассоциативных	1	1
273	т.е вся область	1	1
274	никакого смысла в	1	1
275	обусловлено как со	1	1
276	войдя в сознание	1	1
277	легальную корректную приемлемую	1	1
278	изображает для больного	1	1
279	реальности возврат в	1	1
280	и отцовскому авторитету	1	1
281	даже тогда когда	1	1
282	в разнородные конфликты	1	1
283	добраться до вытесненного	1	1
284	художественного творчества философские	1	1
285	без всякого участия	1	1
286	искусно замаскированные образами	1	1
287	содержание оказывается замаскированным	1	1
288	объекта на другой	1	1
289	рая охраняет суровый	1	1
290	характер и собственно	1	1
291	разрешили загадку сфинкса	1	1
292	как бы социализировать	1	1
293	мы укутываемся одеялом	1	1
294	эротического и часто	1	1
295	образы явного сновидения	1	1
296	реформу старой психологии	1	1
297	ужас рождения который	1	1
298	судороги агонии по	1	1
299	компромисса и искажения	1	1
300	зависит от того	1	1
301	сил внутри организма	1	1
302	ее подавленных энергий	1	1
303	психике с ее	1	1
304	стали организующим соматическим	1	1
305	уже не может	1	1
306	отдаленную связь с	1	1
307	перевеса одной над	1	1
308	новых вытеснений но	1	1
309	чувственную страсть и	1	1
310	повторить и об	1	1
311	частичная компенсация за	1	1
312	мы раздеты мы	1	1
