N	3gram	Propp_Russ_2	Problemy
1	во всяком случае	1	4
2	а между тем	1	3
3	с другой стороны	1	3
4	не может быть	3	3
5	смысле этого слова	1	2
6	в отличие от	3	2
7	такой же степени	1	2
8	можно было бы	1	2
9	и в этом	1	2
10	в такой же	1	2
11	и все это	1	2
12	подобно тому как	3	2
13	как мы уже	1	2
14	в том что	18	2
15	еще далеко не	1	1
16	с таким же	1	1
17	прежде всего как	1	1
18	потому что в	1	1
19	дело в том	1	1
20	того или другого	1	1
21	в том же	1	1
22	в этом случае	6	1
23	и в других	4	1
24	вместе с тем	4	1
25	не входит в	1	1
26	а так как	1	1
27	то что в	1	1
28	но и приведенных	1	1
29	но и эта	1	1
30	здесь еще не	1	1
31	ту сторону этой	1	1
32	может быть и	1	1
33	о том как	1	1
34	то время как	1	1
35	в данном случае	6	1
36	но она не	2	1
37	всяком случае не	1	1
38	видели что в	1	1
39	на третий день	1	1
40	и в том	1	1
41	мы видели что	4	1
42	в то время	2	1
43	это еще не	1	1
44	все это без	1	1
45	как и в	1	1
46	в свою очередь	1	1
47	о том что	4	1
48	по его мнению	1	1
49	можно сказать что	1	1
50	или во всяком	1	1
51	что каждый из	1	1
52	вопрос о том	1	1
53	тем не менее	2	1
54	как мы видели	1	1
55	для того чтобы	6	1
56	что и от	1	1
57	в этом отношении	1	1
