N	2gram	Savitsky_P_1	Komedia
1	и в	14	26
2	в г	1	17
3	и не	12	14
4	может быть	5	11
5	в том	9	11
6	в этом	10	10
7	но и	6	10
8	столь же	3	9
9	том что	4	9
10	если бы	4	9
11	вместе с	1	9
12	что в	4	9
13	ясно что	1	8
14	было бы	6	8
15	и на	1	7
16	не только	17	7
17	на себя	1	7
18	что и	1	7
19	из них	2	7
20	ли не	1	7
21	еще не	1	6
22	в своем	4	6
23	в нем	3	6
24	iii в	2	6
25	в то	7	6
26	того чтобы	1	6
27	потому что	3	6
28	и здесь	1	6
29	наряду с	3	6
30	то что	4	6
31	в которой	1	5
32	с его	1	5
33	в истории	1	5
34	с этим	2	5
35	для того	3	5
36	а затем	1	5
37	на основании	1	5
38	с тем	3	5
39	и с	2	5
40	в н	1	5
41	в качестве	9	5
42	г и	2	5
43	уже в	1	4
44	более чем	2	4
45	хотя и	3	4
46	в самом	1	4
47	что это	1	4
48	из этих	1	4
49	в них	2	4
50	как и	1	4
51	в этих	1	4
52	место в	1	4
53	в древней	1	4
54	не менее	2	4
55	с и	1	4
56	за то	1	4
57	еще в	1	4
58	его в	1	4
59	восходит к	1	4
60	между тем	3	4
61	в его	2	4
62	только в	7	4
63	ii в	2	4
64	же в	4	4
65	в начале	2	4
66	в последние	2	4
67	прежде всего	3	4
68	в частности	2	4
69	все же	1	4
70	точки зрения	3	4
71	например в	2	3
72	в котором	4	3
73	то же	9	3
74	вопрос о	1	3
75	в ней	6	3
76	что его	1	3
77	во всех	2	3
78	но не	3	3
79	но в	9	3
80	в этой	1	3
81	друг другу	2	3
82	в каждом	1	3
83	по всему	1	3
84	из числа	1	3
85	не имеет	1	3
86	же время	7	3
87	многие из	1	3
88	тех пор	1	3
89	себя в	1	3
90	мы знаем	1	3
91	представить себе	1	3
92	друг друга	1	3
93	мы можем	1	3
94	возможно что	1	3
95	не было	2	3
96	и особенно	1	3
97	да и	2	3
98	все это	2	3
99	для нас	2	3
100	а в	4	3
101	до тех	1	3
102	том числе	2	3
103	не может	4	3
104	как известно	1	2
105	также что	1	2
106	и т	3	2
107	и есть	2	2
108	мы не	3	2
109	говорить о	2	2
110	не вполне	1	2
111	он был	1	2
112	есть для	1	2
113	в ее	2	2
114	и другие	1	2
115	если в	2	2
116	отличие от	1	2
117	отнюдь не	2	2
118	и я	1	2
119	что именно	1	2
120	что по	1	2
121	бы и	1	2
122	чуть ли	1	2
123	в философии	1	2
124	и если	4	2
125	и еще	1	2
126	в силу	2	2
127	это не	3	2
128	этом смысле	1	2
129	в это	1	2
130	в развитии	1	2
131	когда в	1	2
132	не более	1	2
133	всяком случае	1	2
134	в отличие	1	2
135	не в	5	2
136	на пути	4	2
137	одна из	2	2
138	с другом	1	2
139	и это	2	2
140	средств в	1	2
141	и что	1	2
142	в мире	2	2
143	с собой	1	2
144	вслед за	3	2
145	также в	1	2
146	тот же	3	2
147	с ними	3	2
148	в какой	1	2
149	одних и	2	2
150	и ее	1	2
151	или его	1	2
152	теперь в	2	2
153	с одной	3	2
154	одно из	1	2
155	в других	1	2
156	со стороны	2	2
157	и к	4	2
158	с другой	5	2
159	и тех	1	2
160	т и	1	2
161	одной стороны	3	2
162	с которым	1	2
163	что из	2	2
164	должна была	1	2
165	демократическом строе	1	2
166	усомниться в	1	2
167	как бы	4	2
168	о соотношении	1	2
169	друг с	1	2
170	пути к	1	2
171	еще более	2	2
172	хотя бы	8	2
173	и жизнь	1	2
174	частности в	1	2
175	во всяком	1	2
176	которых не	1	1
177	отношения к	2	1
178	в и	1	1
179	сравнению с	1	1
180	план в	1	1
181	в полной	2	1
182	и первой	1	1
183	в а	2	1
184	время в	2	1
185	в различных	1	1
186	в общем	2	1
187	не просто	1	1
188	быта если	1	1
189	в рамках	1	1
190	государства и	1	1
191	как к	1	1
192	и слова	1	1
193	тем же	1	1
194	более или	1	1
195	гораздо более	1	1
196	и вслед	1	1
197	представляет собой	1	1
198	если мы	1	1
199	в себе	3	1
