N	3gram	Tiupa_Lite_1	Myshleni
1	с точки зрения	2	21
2	в том что	11	13
3	с самого начала	1	7
4	по отношению к	2	5
5	в данном случае	4	5
6	с одной стороны	2	5
7	этой точки зрения	3	4
8	в самом деле	1	4
9	с этой точки	3	4
10	не может быть	1	4
11	о том что	2	4
12	и тем самым	2	4
13	на то что	1	4
14	только потому что	1	3
15	состоит в том	5	3
16	до сих пор	1	3
17	в этом отношении	2	3
18	и то что	2	3
19	тем не менее	2	3
20	по этому поводу	1	3
21	лишь в той	1	2
22	прежде всего в	3	2
23	одним и тем	1	2
24	на самом деле	1	2
25	том что он	1	2
26	в лучшем случае	1	2
27	в отличие от	5	2
28	из того что	2	2
29	в большинстве случаев	1	2
30	поэзии и прозы	1	2
31	в той мере	1	2
32	едва ли не	1	2
33	и тем же	1	2
34	в этом и	1	2
35	в последнее время	1	2
36	в свою очередь	1	2
37	в конечном счете	4	2
38	всего в том	1	1
39	словами то что	1	1
40	тех пор пока	1	1
41	в основе всех	1	1
42	не удивительно поэтому	1	1
43	подобно тому как	2	1
44	в том числе	1	1
45	в соответствии с	1	1
46	в том же	3	1
47	удивительно поэтому что	1	1
48	с другой к	1	1
49	только в том	2	1
50	в зависимости от	1	1
51	по отношению ко	1	1
52	и одно из	1	1
53	как раз и	1	1
54	по аналогии с	3	1
55	никак не мог	1	1
56	можно было бы	1	1
57	все же в	2	1
58	отношению ко всему	1	1
59	до тех пор	1	1
60	в равной мере	1	1
61	свою очередь при	1	1
62	а по сути	1	1
63	здесь как и	1	1
64	и что ему	1	1
65	не только в	4	1
66	но при этом	2	1
67	и в этом	1	1
68	с тем же	1	1
69	в одной из	1	1
70	с другой стороны	1	1
71	во всяком случае	2	1
72	один из моментов	1	1
73	тем самым к	1	1
74	в целом но	2	1
75	по ту сторону	1	1
76	нельзя сказать что	1	1
77	по тем же	1	1
78	может и не	1	1
79	нет я не	2	1
80	все что ему	1	1
81	одной стороны к	1	1
82	ключ к изучению	1	1
83	в силу своей	3	1
84	не менее их	1	1
85	в частности для	1	1
86	но все же	1	1
87	в то же	5	1
88	мы имеем дело	1	1
89	по одним и	1	1
