N	2gram	Savitsky_E_1	Vladivir
1	и в	37	30
2	в этом	12	20
3	то что	6	20
4	и не	14	18
5	в том	11	18
6	и с	2	14
7	не только	18	12
8	том что	6	12
9	что в	21	12
10	как мы	5	11
11	в его	2	11
12	а в	2	11
13	сказать что	4	11
14	и вообще	1	10
15	а также	7	10
16	не было	1	10
17	и даже	6	10
18	все же	1	9
19	кроме того	1	9
20	было бы	8	9
21	не в	5	9
22	в то	16	9
23	не может	9	9
24	для него	1	9
25	потому что	3	9
26	в своем	14	8
27	но в	14	8
28	что же	2	8
29	связи с	1	8
30	но и	14	8
31	в связи	1	8
32	вместе с	2	8
33	то есть	6	7
34	точки зрения	23	7
35	никогда не	3	7
36	не менее	1	7
37	может быть	6	7
38	а не	2	7
39	как это	4	7
40	между прочим	7	7
41	для нас	4	7
42	и все	2	7
43	также и	7	6
44	хотя и	2	6
45	и к	3	6
46	в себе	9	6
47	об этом	1	6
48	и его	1	6
49	у нас	1	6
50	то время	1	6
51	его жизни	1	6
52	только в	9	6
53	всяком случае	3	6
54	а именно	2	6
55	прежде всего	9	6
56	жизни и	2	6
57	во всяком	3	6
58	того же	3	5
59	и то	2	5
60	с этим	2	5
61	то в	4	5
62	все эти	1	5
63	при этом	1	5
64	же касается	1	5
65	как и	7	5
66	в своей	8	5
67	в котором	2	5
68	по себе	4	5
69	так как	7	5
70	к концу	1	5
71	для себя	1	5
72	это мы	1	5
73	так и	10	5
74	с ним	1	5
75	и что	2	5
76	того что	7	5
77	тот же	1	5
78	россия и	2	5
79	в течение	5	5
80	как бы	6	5
81	в результате	3	5
82	то же	15	4
83	с в	2	4
84	той же	1	4
85	то это	1	4
86	в ней	4	4
87	и на	6	4
88	время в	3	4
89	что его	1	4
90	с его	1	4
91	что это	2	4
92	в этой	2	4
93	и если	2	4
94	на его	1	4
95	в нем	1	4
96	он не	2	4
97	и мы	3	4
98	несмотря на	4	4
99	мы знаем	1	4
100	в этих	2	4
101	мы должны	2	4
102	можно судить	1	4
103	не есть	2	4
104	и о	1	4
105	эти последние	2	4
106	можно сказать	4	4
107	с а	2	4
