N	2gram	Tiupa_Teor_1	VLabPisa
1	таким образом	3	27
2	в этом	8	26
3	и в	18	25
4	не только	16	22
5	может быть	17	21
6	и не	13	19
7	художественного творчества	1	18
8	не может	4	17
9	в его	6	15
10	творческого воображения	1	14
11	в том	16	13
12	прежде всего	2	13
13	в частности	16	12
14	как это	8	12
15	все это	2	12
16	в силу	1	11
17	с другой	7	11
18	из них	1	11
19	в художественном	3	10
20	в качестве	24	10
21	не могут	2	10
22	о том	1	10
23	то же	7	9
24	что в	9	9
25	об этом	2	9
26	по этому	1	9
27	для него	2	9
28	но и	9	9
29	и др	1	9
30	в своем	4	8
31	реальной действительности	1	8
32	все эти	2	8
33	не следует	4	8
34	другой стороны	5	8
35	могут быть	4	8
36	говорит и	2	8
37	в году	1	7
38	во всех	1	7
39	по отношению	4	7
40	из этих	3	7
41	было бы	1	7
42	как и	4	7
43	том что	9	7
44	произведения в	1	7
45	в конечном	6	7
46	говорит о	1	7
47	не было	1	7
48	а не	9	7
49	вместе с	2	7
50	отношению к	4	7
51	художественного произведения	4	6
52	более или	2	6
53	в себе	9	6
54	в нем	4	6
55	это не	2	6
56	или менее	2	6
57	их в	3	6
58	том же	1	6
59	и его	8	6
60	в то	6	6
61	так и	10	6
62	в порядке	3	6
63	между тем	5	6
64	у него	1	6
65	то что	3	6
66	одним из	2	5
67	действительности и	1	5
68	в их	2	5
69	конечном счете	6	5
70	как говорит	3	5
71	в пределах	5	5
72	не в	7	5
73	тому что	2	5
74	же время	5	5
75	связи с	1	5
76	на основе	2	5
77	приводит к	5	5
78	один из	2	5
79	действующих лиц	1	5
80	для художника	1	5
81	как бы	5	5
82	не является	4	5
83	в результате	1	5
84	сказать что	3	5
85	только в	6	5
86	в искусстве	6	5
87	художественном произведении	1	4
88	с его	5	4
89	в этой	3	4
90	перед нами	2	4
91	в самом	4	4
92	в целом	3	4
93	в статье	1	4
94	что все	1	4
95	художественный образ	1	4
96	в них	2	4
97	даже в	3	4
98	никогда не	4	4
99	художника в	1	4
100	говорит следующее	1	4
101	к тому	2	4
102	должен быть	1	4
103	в ее	5	4
104	можно сказать	3	4
105	с ними	1	4
106	что он	1	4
107	в единстве	1	4
108	в одном	2	4
109	как раз	2	4
110	в связи	1	4
111	художественное произведение	1	4
112	в романе	3	4
113	в своей	6	4
114	например в	1	3
115	человека и	1	3
116	из его	1	3
117	всего лишь	6	3
118	но как	1	3
119	а всего	3	3
120	что они	1	3
121	и как	2	3
122	и к	3	3
123	в противоположность	2	3
124	и по	2	3
125	его в	2	3
126	далеко не	2	3
127	что не	1	3
128	с тем	1	3
129	в слове	3	3
130	точки зрения	9	3
131	и ее	3	3
132	это делает	1	3
133	сводится к	5	3
134	у нас	2	3
135	она не	1	3
136	различного рода	1	3
137	в виду	5	3
138	никак не	1	3
139	говоря иначе	1	3
140	в значительной	1	3
141	что и	2	3
142	вслед за	2	3
143	и мир	1	3
144	говорит в	2	3
145	того что	4	3
146	является не	1	3
147	и их	1	3
148	момент в	1	3
149	в конце	2	3
150	именно в	3	3
151	так же	2	3
152	по поводу	1	3
153	этого типа	1	3
154	по существу	1	3
155	и от	1	3
156	или в	3	3
157	видно из	1	3
158	бы в	1	3
159	действительной жизни	1	3
160	ее в	2	3
161	ту же	1	2
162	также что	1	2
163	также и	1	2
164	чтобы не	1	2
165	связана с	1	2
166	мы имеем	7	2
167	же как	1	2
168	в которой	2	2
169	из своих	1	2
170	говорить о	3	2
171	подчеркнуть что	1	2
172	еще не	4	2
173	что его	1	2
174	в чем	1	2
175	но не	9	2
176	одном и	1	2
177	если в	2	2
178	том числе	2	2
179	отнюдь не	3	2
180	хотя и	3	2
181	но в	9	2
182	с нею	1	2
183	он в	1	2
184	у каждого	1	2
185	ее как	1	2
186	что она	2	2
187	он не	3	2
188	в реальной	1	2
189	подобно тому	1	2
190	в каждом	1	2
191	а затем	1	2
192	в другом	3	2
193	заключается в	2	2
194	с другими	5	2
195	в жизни	2	2
196	только о	1	2
197	как об	1	2
198	и для	2	2
199	не столько	1	2
200	от его	1	2
201	действительность в	1	2
202	которые в	1	2
203	по крайней	1	2
204	если бы	3	2
205	по себе	1	2
206	это особенно	1	2
207	не менее	4	2
208	включен в	1	2
209	не по	1	2
210	того чтобы	1	2
211	только не	2	2
212	на язык	1	2
213	не вполне	2	2
214	даже самая	2	2
215	в области	4	2
