N	4gram	Potebnia_M_1	Psycholo
1	одной и той же	3	2
2	заключается в том что	1	2
3	дело в том что	2	1
4	можно смотреть как на	1	1
5	точно так же как	1	1
6	в том и другом	2	1
7	не что иное как	2	1
8	с психологической точки зрения	1	1
9	в том что при	1	1
10	привело к тому что	1	1
11	то есть что все	1	1
12	с этой точки зрения	1	1
13	можно было бы сказать	1	1
14	бы то ни было	1	1
15	потому что не может	1	1
16	и независимо от этого	1	1
17	в то же время	3	1
18	что в таком случае	2	1
19	с другой стороны он	1	1
