N	3gram	Losev_Dial_3	Hudozhes
1	в том что	3	11
2	о том что	5	7
3	подобно тому как	4	4
4	то же время	1	4
5	в то же	1	4
6	к тому что	2	4
7	том что в	1	3
8	в самом деле	5	3
9	не может быть	6	3
10	как и в	3	3
11	в конечном счете	1	3
12	с одной стороны	3	3
13	тем не менее	10	3
14	и в этом	2	2
15	с точки зрения	14	2
16	до сих пор	1	2
17	и в то	1	2
18	так же как	2	2
19	в данном случае	1	2
20	то же самое	1	2
21	того или иного	2	2
22	не только не	7	2
23	к тому же	2	2
24	но еще и	1	2
25	и т д	23	2
26	личности так и	1	1
27	все что угодно	1	1
28	ничего и не	1	1
29	но и самого	1	1
30	той или иной	2	1
31	это было бы	2	1
32	но и о	1	1
33	но то что	2	1
34	же как и	1	1
35	как раз и	3	1
36	тот или иной	2	1
37	и говорит это	1	1
38	бы то ни	1	1
39	в этом отношении	1	1
40	точно так же	2	1
41	не правда ли?	1	1
42	а иногда и	1	1
43	что же мы	1	1
44	в таком случае	10	1
45	чтобы не было	1	1
46	как на нечто	1	1
47	к отцу и	2	1
48	того на что	1	1
49	жизни и смерти	1	1
50	то время как	4	1
51	так или иначе	2	1
52	превращает их в	1	1
53	я не могу	1	1
54	с другой стороны	2	1
55	и в том	1	1
56	содержит в себе	1	1
57	что же такое	2	1
58	как это часто	1	1
59	на наших глазах	1	1
60	в то время	4	1
61	вообще ничего не	2	1
62	том что у	2	1
63	не было ни	2	1
64	у нее нет	1	1
65	в одном из	1	1
66	из этих двух	1	1
67	но как только	1	1
68	что и в	1	1
