N	3gram	Vygotskiy__7	VelikijI
1	то что мы	1	3
2	к тому что	6	3
3	том что он	2	2
4	вместо того чтобы	1	2
5	в том что	13	2
6	но все же	1	1
7	мы слышим от	1	1
8	и во всяком	1	1
9	как это случилось	1	1
10	есть прежде всего	1	1
11	и есть то	1	1
12	и то и	1	1
13	находится в состоянии	1	1
14	и в старой	1	1
15	не к тому	1	1
16	то и другое	3	1
17	вместе с тем	4	1
18	есть то что	1	1
19	так как она	3	1
20	его связь с	1	1
21	того что он	1	1
22	в конце концов	1	1
23	в известном смысле	2	1
24	и в этом	1	1
25	не могут быть	1	1
26	он говорит что	1	1
27	с другой стороны	1	1
28	на этом пути	1	1
29	по сравнению с	7	1
30	так и в	1	1
31	и вместе с	2	1
32	после того как	1	1
33	и что в	1	1
34	как и в	3	1
