N	3gram	Propp_Isto_7	OGranits
1	с точки зрения	1	5
2	не может быть	3	4
3	по отношению к	1	3
4	но так как	1	2
5	в самом деле	1	2
6	в зависимости от	1	2
7	в данном случае	3	2
8	с одной стороны	4	2
9	с другой стороны	8	2
10	в том что	4	2
11	же объясняется что	1	1
12	в другом месте	1	1
13	один и тот	1	1
14	идти только о	2	1
15	только потому что	1	1
16	этой точки зрения	3	1
17	более или менее	1	1
18	то же самое	1	1
19	нам кажется что	1	1
20	но далеко не	1	1
21	то что в	3	1
22	может идти только	2	1
23	можно было бы	1	1
24	почти никогда не	1	1
25	с этой точки	3	1
26	ту или иную	1	1
27	так же как	4	1
28	мы все же	1	1
29	и тот же	1	1
30	речь может идти	2	1
31	состоит в том	1	1
32	не входит в	1	1
33	тем не менее	4	1
34	в связи с	1	1
35	в тех случаях	4	1
36	в связи со	1	1
37	но тем не	2	1
38	мы не можем	2	1
39	таким образом мы	2	1
40	может быть это	1	1
41	не только на	1	1
42	тех случаях когда	3	1
43	к тому что	1	1
44	как и в	2	1
