N	3gram	Vygotskiy__3	Otkroven
1	для того чтобы	7	3
2	и в этом	2	2
3	не может быть	2	2
4	как и все	1	2
5	не могут быть	1	2
6	с тем что	3	2
7	смысле этого слова	4	1
8	в другом месте	1	1
9	по сравнению с	3	1
10	открылся совершенно новый	1	1
11	в виду не	1	1
12	том что в	1	1
13	друг к другу	1	1
14	глубоко отличается от	1	1
15	с той стороны	1	1
16	и в том	1	1
17	в совершенно ином	1	1
18	не может привести	1	1
19	о том как	1	1
20	считать установленным что	1	1
21	во всяком случае	4	1
22	сам по себе	1	1
23	само по себе	2	1
24	о том что	3	1
25	в этом отношении	3	1
26	то что в	2	1
27	и в самом	1	1
28	ли может быть	1	1
29	заключает в себе	2	1
30	в этот период	1	1
31	и характер его	1	1
32	то что говорит	1	1
33	в том что	17	1
34	на то что	3	1
35	можно было сделать	1	1
36	и то что	2	1
37	друг с другом	5	1
38	в самом начале	1	1
39	как и в	2	1
40	и в его	1	1
