N	3gram	Ircho_Kome_1	Mirosoze
1	любовь к человеку	1	6
2	для того чтобы	1	4
3	что иное как	1	3
4	же как и	1	3
5	до сих пор	2	3
6	к тому что	1	3
7	так же как	1	3
8	в высшей степени	1	3
9	не что иное	1	3
10	в чем не	1	2
11	подобно тому как	1	2
12	так как он	1	2
13	т е в	2	2
14	в отношении к	1	2
15	о том что	3	2
16	по отношению к	3	2
17	ни в чем	1	2
18	как и в	2	2
19	после того как	3	2
20	в том что	9	2
21	на чьей стороне	1	1
22	том что в	1	1
23	а между тем	1	1
24	не мог бы	1	1
25	том что он	4	1
26	того как в	2	1
27	сам по себе	1	1
28	что он не	1	1
29	но и в	2	1
30	а может быть	1	1
31	в этом отношении	3	1
32	на то что	2	1
33	в значительной степени	1	1
34	смысле этого слова	1	1
35	что у него	1	1
36	в стороне от	1	1
37	но он не	1	1
38	на протяжении всего	2	1
39	не означает что	1	1
40	не находящая себе	1	1
41	вступили на путь	1	1
42	в конце концов	4	1
43	именно потому что	2	1
44	в мире для	1	1
