N	3gram	Ircho_Kome_1	Vladivir
1	о том что	3	7
2	в том что	9	7
3	что же касается	1	4
4	то же время	4	4
5	в году он	1	4
6	в течение всей	1	4
7	на то что	2	4
8	в то же	4	4
9	на этот раз	1	4
10	том что в	1	3
11	более или менее	1	3
12	в эти годы	2	3
13	что он не	1	3
14	в конце концов	4	3
15	с другой стороны	5	3
16	как мы уже	1	3
17	в ответ на	1	2
18	т i с	1	2
19	у него не	1	2
20	так как он	1	2
21	не только в	1	2
22	в то время	5	2
23	и тот же	1	2
24	во всяком случае	2	2
25	к этому времени	1	2
26	что у него	1	2
27	можно судить по	2	2
28	как было сказано	1	2
29	все это конечно	1	2
30	тем не менее	1	2
31	для того чтобы	1	2
32	том что он	4	2
33	к тому же	5	2
34	и т д	4	2
35	и в конце	1	1
36	но и все	1	1
37	он был очень	1	1
38	что иное как	1	1
39	да и в	1	1
40	в чем не	1	1
41	из всего этого	2	1
42	о том насколько	2	1
43	не говоря уже	2	1
44	в этой области	1	1
45	в том же	1	1
46	говоря уже о	2	1
47	по поводу того	1	1
48	бы то ни	2	1
49	и в дальнейшем	1	1
50	в былые времена	1	1
51	еще и теперь	1	1
52	вместе с тем	1	1
53	в это время	1	1
54	то время как	4	1
55	как вы думаете	1	1
56	то ни было	2	1
57	с одной стороны	3	1
58	смысле этого слова	1	1
59	поводу того что	1	1
60	что уже в	1	1
61	быть также и	1	1
62	так или иначе	1	1
63	можно только удивляться	1	1
64	мы уже знаем	1	1
65	как раз против	1	1
66	из них не	1	1
67	незадолго до того	1	1
68	и в том	1	1
69	ни у одного	1	1
70	о браке с	1	1
71	не по годам	1	1
72	ни в чем	1	1
73	в тех же	2	1
74	но он не	1	1
75	может быть также	1	1
76	и все это	1	1
77	через всю его	1	1
78	во второй половине	2	1
79	в этой же	1	1
80	еще в конце	1	1
81	к тому что	1	1
82	не что иное	1	1
83	на две партии	1	1
84	в этом отношении	3	1
