N	3gram	Medvedev_F_3	Vvedenie
1	и т д	6	36
2	для того чтобы	4	20
3	в том что	3	12
4	о том что	1	12
5	в этом смысле	2	8
6	не может быть	14	8
7	тем не менее	2	8
8	до сих пор	1	6
9	в самом деле	4	6
10	то же время	7	6
11	в то же	7	6
12	и т п	5	5
13	в той мере	1	5
14	той мере в	1	5
15	с другой стороны	5	5
16	мере в какой	1	5
17	по отношению к	3	4
18	в этом случае	1	4
19	в этом отношении	3	4
20	можно было бы	1	4
21	т е в	1	4
22	в данном случае	4	4
23	не только в	1	4
24	так или иначе	1	4
25	во всяком случае	6	4
26	с одной стороны	1	4
27	в собственном смысле	1	3
28	с тем что	1	3
29	именно в этом	1	3
30	вместе с тем	3	3
31	и тем не	1	3
32	о чем говорится	1	3
33	и в том	1	3
34	и в самом	1	3
35	можно сказать что	1	3
36	сама по себе	1	3
37	но все же	1	3
38	как мы видели	2	3
39	потому что он	3	2
40	что в этом	1	2
41	дело в том	2	2
42	и той же	1	2
43	подобно тому как	4	2
44	то же самое	3	2
45	жизни и творчества	1	2
46	что же касается	1	2
47	с точки зрения	14	2
48	хотя бы и	1	2
49	и со стороны	2	2
50	в конце концов	2	2
51	смысле этого слова	2	2
52	и не могут	3	2
53	не в том	1	2
54	в связи с	4	2
55	языка и его	1	2
56	вовсе не в	2	2
57	в этих случаях	1	2
58	одной и той	1	2
59	мы уже знаем	2	2
60	той или иной	1	2
61	и того же	1	1
62	а потому что	1	1
63	между ними и	2	1
64	точки зрения на	1	1
65	в действительности дело	1	1
66	так как и	1	1
67	имеем в виду	1	1
68	чтобы убедиться в	1	1
69	на самом деле	12	1
70	предполагает ту или	1	1
71	одно из необходимых	1	1
72	в настоящее время	1	1
73	т е не	1	1
74	свое выражение в	1	1
75	в том же	1	1
76	в своей работе	1	1
77	можно и должно	1	1
78	не вытекает из	1	1
79	то или иное	2	1
80	в лучшем случае	1	1
81	в таком случае	1	1
82	сам по себе	1	1
83	в отличие от	2	1
84	каждой из этих	1	1
85	потому что и	1	1
86	только то что	2	1
87	т е о	1	1
88	и составляет содержание	1	1
89	вовсе не вытекает	1	1
90	том или ином	1	1
91	в хорошем смысле	1	1
92	может быть только	2	1
93	с этой точки	1	1
94	ту или иную	1	1
95	в зависимости от	5	1
96	все то что	1	1
97	и тогда когда	1	1
98	если же мы	1	1
99	это не просто	1	1
100	так а не	1	1
101	именно это понимание	1	1
102	в том или	1	1
103	т д таким	1	1
104	тот факт что	1	1
105	так же как	1	1
106	а не только	1	1
107	между ними в	1	1
108	то ни было	4	1
109	в самом процессе	1	1
110	мы имеем в	1	1
111	можно говорить о	1	1
112	все это и	1	1
113	отсюда следует что	1	1
114	как и эти	1	1
115	т е с	2	1
116	в определенное время	1	1
117	но уже в	2	1
118	какой бы то	1	1
119	бы то ни	4	1
120	собственном смысле слова	1	1
121	о котором мы	1	1
122	потому что они	1	1
123	же самое и	1	1
124	этой точки зрения	1	1
125	в частности в	1	1
126	о языке как	1	1
127	как некоторое единство	1	1
128	от того что	1	1
129	не потому что	1	1
130	хорошем смысле этого	1	1
131	того или иного	1	1
132	и никогда не	1	1
133	с самого начала	1	1
134	не соглашаться с	1	1
135	а не иначе	1	1
136	что же собственно	1	1
137	именно потому что	2	1
138	так как эта	1	1
139	язык в его	1	1
140	одного и того	1	1
141	к тому что	2	1
142	только в этом	1	1
143	не входят в	1	1
144	из необходимых условий	1	1
145	из того что	1	1
146	как мы знаем	4	1
147	д таким образом	1	1
