N	4gram	Bakhtin_Fr_3	Formalny
1	в то же время	6	8
2	начала и до конца	4	2
3	может быть и не	1	2
4	с начала и до	4	2
5	и не может быть	1	2
6	нет и не может	1	2
7	но в то же	4	2
8	в связи с этим	1	2
9	в настоящее время можно	1	1
10	менее всего может быть	1	1
11	для этого прежде всего	1	1
12	в связи со всем	1	1
13	в том числе и	2	1
14	нашу задачу не входит	1	1
15	но для этого прежде	1	1
16	заключается в том чтобы	1	1
17	с точки зрения этих	1	1
18	и до сих пор	1	1
19	бы то ни было	1	1
20	но все же в	1	1
21	не сделано ни одной	1	1
22	как мы видели является	1	1
23	в нашу задачу не	1	1
24	в том чтобы установить	1	1
25	всех тех действий и	1	1
26	то же время не	1	1
