N	2gram	Nazirov_Tr_1	RusskieA
1	и в	18	29
2	т е	1	24
3	что в	4	22
4	в том	2	22
5	том что	4	22
6	в поле	3	19
7	как бы	7	18
8	может быть	7	13
9	как и	5	11
10	в этом	9	11
11	одна из	2	11
12	и с	7	10
13	все это	4	10
14	не только	8	10
15	а на	1	9
16	о том	2	9
17	его в	2	8
18	но и	4	8
19	данном случае	2	7
20	как в	3	7
21	для нас	1	6
22	еще не	4	6
23	таким образом	1	6
24	того чтобы	1	6
25	с тем	2	6
26	вместе с	1	6
27	этом случае	1	6
28	и на	7	6
29	при этом	3	6
30	на нее	1	6
31	в данном	2	6
32	не может	5	5
33	но не	1	5
34	к жизни	5	5
35	потому что	2	5
36	и т	1	5
37	это не	5	5
38	то что	4	5
39	к вам	1	5
40	и что	4	5
41	на земле	1	5
42	представление о	1	5
43	но в	6	5
44	вопрос о	2	4
45	так же	4	4
46	и все	4	4
47	в виде	2	4
48	к нему	3	4
49	не в	2	4
50	так что	2	4
51	как это	3	4
52	то и	2	4
53	именно в	1	4
54	в таком	2	4
55	а затем	1	4
56	то же	5	4
57	или вообще	1	4
58	а за	1	4
59	о чем	3	4
60	на них	1	4
61	уже не	2	4
62	в них	1	4
63	а также	1	4
64	а не	1	4
65	все эти	3	3
66	как мы	1	3
67	но он	1	3
68	в этой	4	3
69	что это	5	3
70	во всех	1	3
71	в году	9	3
72	что ее	1	3
73	в ее	2	3
74	но если	1	3
75	между тем	1	3
76	не имеет	2	3
77	отличие от	2	3
78	и от	1	3
79	и о	1	3
80	тем что	2	3
81	в и	1	3
82	друг друга	2	3
83	в котором	1	3
84	на этом	1	3
85	того что	1	3
86	в отличие	2	3
87	она не	1	3
88	до конца	2	3
89	в xix	1	3
90	что она	2	3
91	по всем	1	3
92	и по	1	3
93	игры в	1	2
94	одним из	1	2
95	в которой	1	2
96	в форме	1	2
97	тогда как	1	2
98	имеет целью	1	2
99	это и	1	2
100	говорит о	2	2
101	и начинают	1	2
102	прежде всего	4	2
103	не к	1	2
104	и ее	2	2
105	вряд ли	2	2
106	после того	1	2
107	не менее	1	2
108	к числу	1	2
109	есть в	1	2
110	своей книге	1	2
111	право на	1	2
112	в своей	1	2
113	все же	5	2
114	об этом	4	2
115	если он	1	2
116	одно из	1	2
117	представляет собой	1	2
118	жизни в	1	2
119	между собой	1	2
120	это в	1	2
121	здесь мы	1	2
122	с этой	1	2
123	ее к	2	2
124	таком виде	1	2
125	не был	2	2
126	должны были	1	2
127	к ней	1	2
128	жизнь и	3	2
129	в момент	1	2
130	и дело	1	2
131	что при	1	2
132	что на	1	2
133	в то	5	2
134	эта связь	1	2
135	во всем	1	2
136	он есть	1	2
137	и еще	1	2
138	должно быть	3	2
139	тем не	1	2
140	не столько	1	2
141	на другой	1	2
142	на улицу	1	2
143	поле в	1	2
144	в виду	1	2
145	совершенно не	1	2
146	а к	1	2
147	могут быть	1	2
148	также что	1	2
149	того как	1	2
150	с одной	1	2
151	тем и	1	2
152	что и	2	2
153	в новой	1	2
154	а он	1	2
155	один из	3	2
156	все в	1	2
157	на две	1	2
158	за этим	1	2
159	никогда не	2	2
160	она как	2	2
161	на себя	1	2
162	и то	2	2
163	с другим	1	2
164	в сибири	1	2
165	что с	3	2
166	бросается в	2	2
167	не было	1	2
168	в глаза	2	2
169	можно было	1	2
170	и как	3	2
171	связи с	1	2
172	еще в	2	2
173	связь между	1	2
174	он показывает	1	2
175	в образе	6	2
176	и при	1	2
177	все по	1	1
178	вызвать к	1	1
179	с последним	1	1
180	с своими	1	1
181	что иногда	1	1
182	и здесь	2	1
183	в особую	1	1
184	и наконец	1	1
185	во всяком	1	1
186	до самой	1	1
187	в другом	1	1
188	а это	1	1
189	из себя	1	1
190	в литературе	1	1
191	значение и	1	1
