N	2gram	Berdyaev_O_1	RusskieA
1	и в	19	29
2	т е	4	24
3	том что	2	22
4	в том	5	22
5	что в	4	22
6	как бы	3	18
7	в других	2	15
8	так как	2	13
9	может быть	11	13
10	в этом	12	11
11	как и	6	11
12	одна из	1	11
13	в этот	2	10
14	не только	11	10
15	и с	2	10
16	все это	6	10
17	о том	3	9
18	а в	5	9
19	его в	2	8
20	но и	13	8
21	ее в	2	8
22	как в	1	7
23	мы не	1	6
24	еще не	3	6
25	и на	2	6
26	того чтобы	4	6
27	для того	3	6
28	с тем	2	6
29	но не	1	5
30	но в	2	5
31	на земле	4	5
32	это не	3	5
33	не может	4	5
34	потому что	9	5
35	и что	1	5
36	будто бы	1	5
37	то что	5	5
38	к этому	2	5
39	вопрос о	10	4
40	не все	2	4
41	уже не	1	4
42	в них	1	4
43	не в	11	4
44	у нас	1	4
45	говорится что	1	4
46	к нему	3	4
47	так что	2	4
48	из них	1	4
49	а не	11	4
50	о чем	1	4
51	как это	1	4
52	и все	10	4
53	и через	1	3
54	и о	2	3
55	в народном	1	3
56	они живут	1	3
57	в ее	2	3
58	что это	1	3
59	все эти	4	3
60	в этой	5	3
61	что она	1	3
62	и других	1	3
63	должен был	2	3
64	в этих	3	3
65	в котором	1	3
66	но он	7	3
67	она не	1	3
68	не имеет	2	3
69	и после	1	3
70	а именно	1	3
71	того что	3	3
72	как например	1	3
73	связь с	1	3
74	тем что	2	3
75	что для	2	3
76	до конца	7	3
77	и там	2	3
78	и от	3	3
79	было бы	3	3
80	и то	2	2
81	на самом	1	2
82	там и	1	2
83	природы и	2	2
84	иногда и	1	2
85	все же	2	2
86	и как	1	2
87	не было	9	2
88	та же	1	2
89	в которой	2	2
90	представляет собой	1	2
91	после этого	1	2
92	людей и	1	2
93	смерть и	1	2
94	должно быть	2	2
95	в своей	2	2
96	а иногда	1	2
97	того как	1	2
98	никогда не	9	2
99	к ней	2	2
100	во всем	1	2
101	начиная с	1	2
102	говорит о	1	2
103	в виду	1	2
104	можно было	1	2
105	не с	1	2
106	в глаза	1	2
107	после того	1	2
108	все в	4	2
109	что и	2	2
110	в форме	1	2
111	бросается в	1	2
112	один из	1	2
113	сразу же	2	2
114	совсем не	2	2
115	и дело	1	2
116	и ее	3	2
117	одно из	2	2
118	чем в	2	2
119	человека а	2	2
120	а с	1	2
121	прежде всего	9	2
122	и пр	1	2
123	но можно	1	2
124	совершенно не	1	2
125	могут быть	3	2
126	видно что	1	2
127	и для	2	2
128	ее и	1	2
129	жизни в	2	2
130	в своих	3	2
131	ту же	1	1
132	отношение к	5	1
133	человека и	10	1
134	к этой	2	1
135	и есть	3	1
136	из самых	1	1
137	женщины и	1	1
138	и до	1	1
139	в силе	1	1
140	например в	1	1
141	уверен что	1	1
142	в первый	1	1
143	тут все	1	1
144	в ней	1	1
145	на нем	1	1
146	и хлеб	1	1
147	о русской	1	1
148	что они	2	1
149	связывали с	1	1
150	в своем	2	1
151	хотя и	2	1
152	когда он	3	1
153	от этого	1	1
154	в самом	5	1
155	этот случай	1	1
156	в зачаточном	1	1
157	уже в	2	1
158	он в	2	1
159	не оставляет	1	1
160	только один	1	1
161	ее как	1	1
162	на то	1	1
163	в нем	10	1
164	видел в	1	1
165	до самого	5	1
166	он должен	1	1
167	есть та	1	1
168	на этих	1	1
169	это конечно	1	1
170	что все	2	1
171	в другом	2	1
172	связанным с	1	1
173	только одно	3	1
174	же загадка	1	1
175	о которой	2	1
176	значение что	1	1
177	это подтверждается	1	1
178	существа не	1	1
179	мир и	1	1
180	человеком и	1	1
181	над ними	1	1
182	как от	1	1
183	остаются на	1	1
184	и очень	2	1
185	что есть	2	1
186	с которой	2	1
187	в русской	3	1
188	дело в	1	1
189	в науке	1	1
190	ее с	1	1
191	есть уже	1	1
192	до самой	3	1
193	ничего не	2	1
194	по своей	1	1
195	и его	4	1
196	как будто	1	1
197	этом отношении	1	1
198	погружение в	1	1
199	и здесь	1	1
200	чтобы сделать	1	1
201	и всех	1	1
202	для его	1	1
203	быть назван	1	1
204	указал на	1	1
205	нет такого	1	1
206	и это	1	1
207	из всего	2	1
208	указывали на	1	1
209	не могу	1	1
210	и этим	2	1
211	это для	1	1
212	и когда	1	1
213	что у	2	1
214	так и	2	1
215	том как	1	1
216	но у	1	1
217	он был	8	1
218	если бы	1	1
219	с ним	3	1
220	но может	1	1
221	погружается в	2	1
222	находится в	1	1
223	другом месте	1	1
224	с того	1	1
225	это должно	1	1
226	эти существа	1	1
227	и остаются	1	1
228	в его	7	1
229	но нет	1	1
230	в древнем	1	1
231	бога к	1	1
232	все время	1	1
233	и мир	1	1
234	же можно	2	1
235	с той	1	1
236	с ними	1	1
237	что он	3	1
238	ли он	1	1
239	и действительно	1	1
240	те которые	2	1
241	который в	1	1
242	их не	2	1
243	в эти	1	1
244	человека с	1	1
245	же и	1	1
246	а это	1	1
247	но есть	1	1
248	ни с	7	1
249	мир в	1	1
250	был бы	1	1
251	не так	1	1
252	для него	5	1
253	всяком случае	1	1
254	в одном	1	1
255	в конце	1	1
256	их во	1	1
257	чем и	1	1
258	в это	1	1
259	и даже	1	1
260	как у	1	1
261	и чем	1	1
262	на поверхности	1	1
263	месте и	1	1
264	притом не	1	1
265	и своим	1	1
266	ставится в	2	1
267	него не	2	1
268	под влиянием	1	1
269	в одно	1	1
270	есть одно	1	1
271	которые будут	1	1
272	природе и	1	1
273	исходит от	1	1
274	в одной	1	1
275	и потому	2	1
276	в иных	1	1
277	смысле этого	1	1
278	ко всему	1	1
279	был в	1	1
280	в человеческом	2	1
281	и более	1	1
282	быть не	1	1
283	этого слова	1	1
284	и не	13	1
285	но вопрос	1	1
286	но это	1	1
287	бессмертия и	1	1
288	и тогда	1	1
289	в царстве	1	1
290	от него	7	1
291	и начинается	1	1
292	все еще	2	1
293	сказать что	2	1
294	него в	5	1
295	и состоит	1	1
296	это так	1	1
297	во всяком	1	1
298	и эта	1	1
299	все что	3	1
