N	2gram	Voloshinov_1	EvropaiE
1	и в	15	37
2	в отношении	2	32
3	точки зрения	13	23
4	европы и	1	22
5	что в	6	21
6	не только	5	18
7	с точки	10	17
8	в то	6	16
9	то же	7	15
10	хотя бы	7	15
11	в своем	2	14
12	но в	9	14
13	же время	5	14
14	в качестве	2	14
15	но и	4	14
16	и не	16	14
17	в этом	13	12
18	в области	3	11
19	в том	4	11
20	так и	10	10
21	отнюдь не	2	9
22	в себе	4	9
23	только в	6	9
24	прежде всего	11	9
25	не может	13	9
26	так же	1	9
27	в смысле	1	9
28	в ее	4	8
29	думать что	2	8
30	было бы	6	8
31	в своей	9	8
32	к тому	4	8
33	между тем	2	8
34	с одной	1	8
35	одной стороны	1	8
36	также и	1	7
37	нам кажется	1	7
38	в областях	1	7
39	а также	1	7
40	того что	2	7
41	так как	9	7
42	с другой	1	7
43	как и	6	7
44	по своему	1	7
45	может быть	13	6
46	и на	3	6
47	во всех	8	6
48	на то	1	6
49	то есть	1	6
50	культурных ценностей	1	6
51	том что	5	6
52	того чтобы	2	6
53	вовсе не	2	6
54	для того	1	6
55	и даже	2	6
56	как бы	11	6
57	то что	10	6
58	же как	1	5
59	которую мы	1	5
60	но не	5	5
61	не в	4	5
62	и по	5	5
63	но если	2	5
64	как мы	10	5
65	одной из	1	5
66	со стороны	2	5
67	от этого	1	5
68	и потому	8	5
69	в течение	2	5
70	то в	1	4
71	мы не	4	4
72	вопрос о	1	4
73	в ней	5	4
74	на путях	1	4
75	независимо от	1	4
76	в самом	6	4
77	во многих	1	4
78	культурной жизни	1	4
79	то ни	1	4
80	чем в	1	4
81	как совокупность	1	4
82	даже в	1	4
83	и притом	1	4
84	в процессе	4	4
85	к ней	2	4
86	бы то	1	4
87	по себе	2	4
88	можно сказать	4	4
89	тем более	1	4
90	именно в	3	4
91	на всем	2	4
92	или иной	1	4
93	не на	1	4
94	мира в	1	4
95	как это	1	4
96	западной европе	1	4
97	сказать что	6	4
98	в каком	3	4
99	бы и	2	3
100	на себя	2	3
101	и со	2	3
102	того же	1	3
103	время в	2	3
104	в общем	1	3
105	как в	3	3
106	когда он	1	3
107	и к	7	3
108	вообще не	1	3
109	мы можем	12	3
110	не дает	1	3
111	большинстве случаев	5	3
112	и тем	1	3
113	мы видели	5	3
114	во второй	5	3
115	можно ли	1	3
116	дело в	2	3
117	никогда не	7	3
118	потому что	4	3
119	уже и	1	3
120	в будущем	1	3
121	ли это	1	3
122	во все	1	3
123	о том	1	3
124	что и	2	3
125	отметить что	2	3
126	и только	4	3
127	европе и	1	3
128	всяком случае	3	3
129	из них	1	3
130	в прошлом	1	3
131	последние годы	1	3
132	тем что	1	3
133	этом отношении	2	3
134	и прежде	5	3
135	в свою	2	3
136	говорит о	1	3
137	связано с	1	3
138	ни на	2	3
139	в данном	3	3
140	не является	3	3
141	известной степени	1	3
142	и для	2	3
143	и от	1	3
144	мира и	1	3
145	не более	1	3
146	жизни в	3	3
147	в психологии	2	3
148	в культурном	2	3
149	ее в	2	3
150	как на	3	3
151	в таком	3	3
152	во всяком	4	3
153	и то	2	2
154	ведь и	2	2
155	должна быть	1	2
156	и этот	1	2
157	из того	2	2
158	культурного творчества	7	2
159	на них	1	2
160	между собой	4	2
161	он сам	4	2
162	но как	1	2
163	точка зрения	1	2
164	в свои	1	2
165	и чем	1	2
