N	2gram	Nazirov_Vr_1	StatiiOP
1	и в	8	44
2	в том	3	36
3	что в	7	30
4	том что	3	29
5	в этом	8	21
6	не только	9	18
7	то что	7	18
8	было бы	1	17
9	о том	4	17
10	а в	2	17
11	и не	5	16
12	может быть	4	15
13	т е	3	15
14	как в	1	13
15	в первой	1	12
16	в этой	2	11
17	я думаю	1	11
18	точки зрения	2	11
19	но в	6	10
20	ясно что	1	10
21	что он	4	10
22	но и	7	10
23	также и	1	9
24	как и	6	9
25	в то	5	9
26	так и	1	9
27	во второй	1	9
28	того что	1	9
29	в его	3	9
30	с другой	1	9
31	во всех	1	8
32	все же	6	8
33	но ведь	1	8
34	это не	4	8
35	из них	2	8
36	этого издания	1	8
37	с точки	2	8
38	и его	3	8
39	не может	2	8
40	я не	3	7
41	что они	1	7
42	в самом	1	7
43	таким образом	2	7
44	другой стороны	1	7
45	для нас	4	7
46	этом отношении	1	7
47	до сих	1	7
48	прежде всего	1	7
49	сих пор	1	7
50	в своей	2	6
51	потому что	1	6
52	всяком случае	1	6
53	для него	2	6
54	именно в	1	6
55	в той	2	6
56	что же	1	6
57	но это	2	6
58	во всяком	1	6
59	вряд ли	1	5
60	и то	2	5
61	то же	5	5
62	той же	1	5
63	в целом	1	5
64	в нем	6	5
65	такой же	1	5
66	в котором	6	5
67	не менее	2	5
68	вплоть до	1	5
69	никогда не	2	5
70	могут быть	1	5
71	в печати	1	5
72	тем что	3	5
73	и даже	6	5
74	все это	4	5
75	жизни и	1	5
76	так же	4	5
77	речь идет	3	4
78	в рукописи	1	4
79	это и	1	4
80	столь же	2	4
81	что это	1	4
82	на то	3	4
83	в россии	5	4
84	но я	1	4
85	том как	1	4
86	представление о	1	4
87	не имеет	1	4
88	же время	5	4
89	это слово	1	4
90	за что	1	4
91	в ее	1	4
92	что у	3	4
93	и что	8	4
94	заключается в	1	4
95	в качестве	1	4
96	никто не	1	4
97	мы находим	1	4
98	как раз	2	4
99	не было	5	4
100	к которому	1	4
101	в частности	1	4
102	как бы	4	4
103	тем более	2	4
104	еще более	1	4
105	это в	2	4
106	же как	2	3
107	того же	1	3
108	в ней	4	3
109	еще не	2	3
110	он был	3	3
111	в чем	3	3
112	из двух	1	3
113	своего рода	1	3
114	но не	1	3
115	не все	1	3
116	ответ на	2	3
117	к сожалению	1	3
118	и я	1	3
119	в истории	4	3
120	с этим	1	3
121	как к	1	3
122	не являются	1	3
123	то в	1	3
124	это можно	1	3
125	во многих	1	3
126	же это	1	3
127	поцелуй в	1	3
128	и с	6	3
129	о которой	2	3
130	во время	2	3
131	что о	1	3
132	в конце	3	3
133	п в	2	3
134	в каком	1	3
135	об этом	5	3
136	и вообще	1	3
137	его жизни	1	3
138	между тем	5	3
139	но с	1	3
140	по мнению	2	3
141	если это	1	3
142	в начале	6	3
143	ни с	1	3
144	а с	2	3
145	что для	1	3
146	говорит о	1	3
147	на этот	1	3
148	да и	1	3
149	в таком	1	3
150	ничего общего	1	3
151	отношения к	2	2
152	не хочет	1	2
153	по его	1	2
154	совпадает с	1	2
155	в числе	1	2
156	как правило	1	2
157	совсем не	1	2
158	в сторону	1	2
159	отношение к	2	2
160	и речи	1	2
161	идет о	1	2
162	что как	1	2
163	в своем	3	2
164	целый ряд	4	2
165	и и	1	2
166	раз в	3	2
167	в себе	2	2
168	но он	3	2
169	но на	1	2
170	не могла	1	2
171	при этом	4	2
172	он не	3	2
173	всех этих	1	2
174	чем у	1	2
175	что ни	1	2
176	при помощи	2	2
177	его в	3	2
178	не всегда	1	2
179	и уже	3	2
180	быть иначе	1	2
181	в москве	1	2
182	можно найти	1	2
183	далее в	1	2
184	без всяких	1	2
185	их в	2	2
186	тем самым	1	2
187	что эта	1	2
188	как о	1	2
189	было не	1	2
190	говорить о	1	2
191	ничего не	1	2
192	тем не	1	2
193	начиная с	2	2
194	ли не	1	2
195	и это	2	2
196	то время	1	2
197	и сам	1	2
198	нужно было	1	2
199	в рукописных	1	2
200	а также	2	2
201	и все	7	2
202	все в	1	2
203	и во	3	2
204	крайней мере	1	2
205	и можно	1	2
206	также в	1	2
207	более что	1	2
208	к нему	1	2
209	быть и	1	2
210	по своей	1	2
211	из которого	1	2
212	и у	3	2
213	уже в	4	2
214	если в	1	2
215	целого ряда	1	2
216	этот раз	1	2
217	у него	5	2
218	по крайней	1	2
219	который не	1	2
220	не знаю	1	2
221	и их	1	2
222	я с	1	2
223	в свое	1	2
224	лет назад	1	2
225	над тем	1	2
226	между прочим	1	2
227	но для	1	2
228	о котором	1	2
229	и перед	1	2
230	в этих	1	2
231	хотя в	1	2
232	гораздо больше	1	2
233	что этот	1	2
234	несмотря на	4	2
235	сам в	1	2
236	в своих	4	2
237	молодой человек	1	2
238	на днях	1	1
239	а между	1	1
240	можно говорить	1	1
241	этого в	1	1
242	не имел	1	1
243	как известно	1	1
244	и есть	1	1
245	едва ли	1	1
246	как пушкин	1	1
247	и этот	1	1
248	их и	1	1
249	полагает что	1	1
250	который был	3	1
251	один пример	1	1
252	это время	1	1
253	на них	1	1
254	с его	3	1
255	но как	2	1
