N	3gram	Medvedev_U_1	Psycholo
1	в том что	2	12
2	в самом деле	2	7
3	то же самое	2	6
4	на то что	1	6
5	друг с другом	1	4
6	в конце концов	2	3
7	до сих пор	2	3
8	с одной стороны	1	3
9	и в конце	1	2
10	сам по себе	1	2
11	точном смысле этого	1	2
12	и в частности	2	2
13	же самое что	1	2
14	с другой стороны	3	2
15	то что ему	1	2
16	так много в	1	1
17	том что она	1	1
18	было бы ни	1	1
19	содержания и формы	1	1
20	это то же	1	1
21	равно как и	1	1
22	он может быть	1	1
23	материала и формы	2	1
24	в той же	1	1
25	бы то ни	3	1
26	не было бы	1	1
27	с тем что	1	1
28	все и не	1	1
29	то же время	3	1
30	элементы из которых	1	1
31	все это в	1	1
32	в художественном произведении	2	1
33	то ни было	3	1
34	не все и	1	1
35	исследования должно быть	1	1
36	и формы как	1	1
37	на первый взгляд	1	1
38	и в то	1	1
39	чем то что	1	1
40	и в этой	2	1
41	роль не только	1	1
42	то что все	1	1
43	в точном смысле	1	1
44	в сторону от	1	1
45	а не только	1	1
46	не может быть	4	1
47	но по существу	1	1
48	и формы в	1	1
49	бы это было	1	1
50	и независимо от	1	1
51	не только в	1	1
52	и все они	1	1
53	в конечном счете	4	1
54	можно сказать что	1	1
55	при таком понимании	1	1
56	в этом смысле	2	1
57	в этой же	1	1
58	в то же	3	1
59	быть не может	1	1
60	если бы это	1	1
61	может быть в	1	1
62	так или иначе	1	1
