N	3gram	Losev_Vlad_1	Komedia
1	к тому же	2	10
2	в том что	7	5
3	за то что	1	4
4	вместе с тем	1	4
5	на этот раз	4	4
6	о том что	7	4
7	для того чтобы	2	4
8	так или иначе	1	3
9	в связи с	1	3
10	то же время	4	3
11	до тех пор	1	3
12	в то время	2	3
13	в то же	4	3
14	не говоря уже	1	2
15	в этом смысле	4	2
16	в ответ на	2	2
17	говоря уже о	1	2
18	бы то ни	1	2
19	в это время	1	2
20	то время как	1	2
21	то ни было	1	2
22	с одной стороны	1	2
23	то что он	5	2
24	во всяком случае	2	2
25	что у него	2	2
26	в этом же	1	2
27	к этому времени	2	2
28	к тому что	1	2
29	что и в	2	2
30	одной из причин	1	1
31	мы имеем дело	1	1
32	потому что в	1	1
33	что у нее	1	1
34	не мог без	1	1
35	как вероятно и	1	1
36	в самом деле	1	1
37	это было в	1	1
38	в том же	1	1
39	так и не	1	1
40	на первый план	2	1
41	как это было	1	1
42	и в то	2	1
43	но и здесь	1	1
44	так что на	1	1
45	еще с самого	1	1
46	так как он	2	1
47	то что у	2	1
48	в этой области	1	1
49	что он был	1	1
50	по этому вопросу	1	1
51	ответ на это	2	1
52	вместе со своим	1	1
53	имеем дело с	1	1
54	тех пор пока	1	1
55	выйти замуж за	1	1
56	и не без	2	1
57	с другой стороны	3	1
58	и в том	1	1
59	не может быть	3	1
60	более или менее	3	1
61	у него в	1	1
62	что он не	3	1
63	то обстоятельство что	2	1
64	в тех же	1	1
65	так и в	1	1
66	и уже в	1	1
67	в свою очередь	1	1
68	дружеских отношениях с	1	1
69	не только в	2	1
70	он выступает против	1	1
71	во второй половине	1	1
72	тем более что	2	1
73	в этой же	1	1
74	и в литературе	1	1
75	тем не менее	2	1
76	в которой оказался	1	1
77	в дружеских отношениях	1	1
