N	2gram	Bakhtin_Fr_8	formyVre
1	и в	56	46
2	в этом	14	22
3	у рабле	13	18
4	i гл	1	15
5	кн ii	2	14
6	прежде всего	6	14
7	вовсе не	6	13
8	в романе	21	13
9	человеческого тела	1	12
10	и его	12	12
11	ii гл	3	12
12	во всех	8	11
13	не только	8	11
14	рабле в	9	11
15	только в	9	11
16	смерти в	1	11
17	как бы	11	10
18	то есть	24	10
19	во время	5	10
20	точки зрения	6	10
21	в том	13	10
22	но в	6	10
23	мы уже	10	9
24	не в	3	9
25	у него	7	9
26	но и	9	9
27	вместе с	2	9
28	и не	9	9
29	и для	2	9
30	мира и	2	9
31	то же	11	8
32	как и	5	8
33	с точки	2	8
34	для того	2	8
35	того чтобы	4	8
36	потому что	6	8
37	связи с	6	8
38	в его	18	8
39	из них	2	8
40	в связи	3	8
41	жизни и	1	8
42	и на	7	7
43	четвертой книги	7	7
44	в главе	4	7
45	так сказать	5	7
46	всех этих	3	7
47	так и	13	7
48	в них	11	7
49	вещей и	11	7
50	в эпизоде	4	7
51	может быть	3	7
52	времени в	3	7
53	в одном	2	7
54	то что	3	7
55	как мы	7	6
56	еще не	10	6
57	все же	2	6
58	и наконец	3	6
59	при этом	4	6
60	и с	8	6
61	его в	2	6
62	в основе	4	6
63	и явлений	2	6
64	никогда не	5	6
65	те же	1	6
66	и во	2	6
67	этого ряда	1	6
68	так как	4	6
69	в особенности	4	6
70	здесь в	3	6
71	все это	8	6
72	и все	6	6
73	но не	5	5
74	в своем	3	5
75	третьей книги	3	5
76	все эти	15	5
77	связанные с	1	5
78	он не	5	5
79	в нем	8	5
80	этих форм	2	5
81	от смеха	1	5
82	громадное значение	1	5
83	в то	12	5
84	в разрезе	1	5
85	рабле и	14	5
86	романа рабле	4	5
87	и у	1	5
88	в пространстве	1	5
89	тела и	1	5
90	и др	8	5
91	в частности	7	5
92	в пределах	5	5
93	рабле не	4	5
94	романе рабле	15	5
95	что в	5	5
96	также и	2	4
97	человека и	2	4
98	в мире	2	4
99	и он	1	4
100	значение и	2	4
101	что они	2	4
102	как в	1	4
103	характер носит	1	4
104	уже в	2	4
105	из этих	1	4
106	в себе	4	4
107	их в	4	4
108	том что	8	4
109	в котором	2	4
110	эпизоде с	3	4
111	место в	1	4
112	том же	1	4
113	героев и	1	4
114	же время	10	4
115	уже говорили	7	4
116	смерти и	2	4
117	в образе	3	4
118	в эпоху	10	4
119	с ним	2	4
120	о том	4	4
121	его жизни	2	4
122	все его	3	4
123	на острове	1	4
124	так что	3	4
125	конечно не	4	4
126	iii гл	2	4
127	с другом	1	4
128	и их	8	4
129	а не	2	4
130	в ряду	1	4
131	друг с	1	4
132	с этой	2	4
133	телесной жизни	1	4
134	кн iii	2	4
135	еще более	1	4
136	же в	1	4
137	есть и	5	4
138	почти все	2	3
139	ему в	1	3
140	в виду	1	3
141	того же	1	3
142	слова и	3	3
143	а следовательно	1	3
144	мы еще	1	3
145	другой пример	1	3
146	точка зрения	2	3
147	для других	1	3
148	в средние	2	3
149	хотя и	2	3
150	целый ряд	2	3
151	и как	2	3
152	в этот	1	3
153	уже не	3	3
154	та же	1	3
155	отчасти и	2	3
156	в большинстве	7	3
157	новое и	3	3
158	и вещей	4	3
159	уже сказали	1	3
160	таким образом	17	3
161	здесь мы	3	3
162	а затем	1	3
163	в совершенно	4	3
164	связанных с	1	3
165	еще вернемся	1	3
166	по всему	2	3
167	переходим к	4	3
168	в их	3	3
169	в которых	2	3
170	не могли	2	3
171	вернемся к	2	3
172	исторического времени	1	3
173	и смех	1	3
174	следовательно и	1	3
175	кроме того	3	3
176	веселая смерть	1	3
177	же самое	1	3
178	к тому	1	3
179	имеет место	1	3
180	роль в	5	3
181	мы наблюдаем	3	3
182	и совершенно	2	3
183	в борьбе	2	3
184	том как	1	3
185	в другом	3	3
186	а также	3	3
187	как у	1	3
188	борьба с	1	3
189	при изображении	1	3
190	что и	3	3
191	смерти героев	2	3
192	того что	1	3
193	тот же	1	3
194	что он	2	3
195	во времени	1	3
196	все они	6	3
197	в качестве	4	3
198	и они	1	3
199	на протяжении	1	3
200	большинстве случаев	6	3
201	книги рабле	1	3
202	для него	2	3
203	в прошлом	1	3
204	тем что	1	3
205	в форме	3	3
206	со смехом	2	3
207	что на	2	3
208	и даже	8	3
209	эпоху возрождения	2	3
210	и прежде	1	3
211	не было	5	3
212	не на	3	3
213	вещами и	3	3
214	мира в	1	3
215	с помощью	3	3
216	к вопросу	1	3
217	тем более	1	3
218	романе и	1	3
219	в этих	11	3
220	между вещами	5	3
221	ее в	1	3
222	а в	2	3
223	средние века	2	3
224	всего в	1	3
225	и другие	5	3
