N	3gram	Medvedev_S_1	Psycholo
1	в том что	2	17
2	то же самое	1	6
3	в конце концов	2	3
4	в конечном счете	1	3
5	в том и	1	2
6	что все это	1	2
7	не в том	2	2
8	во всяком случае	1	2
9	том и заключается	1	2
10	в этой области	1	2
11	то же время	1	2
12	в то же	1	2
13	а между тем	1	1
14	все эти вопросы	1	1
15	о том как	1	1
16	не было бы	1	1
17	только то что	1	1
18	и заключается что	2	1
19	что в них	1	1
20	а с другой	1	1
21	в противном случае	1	1
22	по крайней мере	1	1
23	и что на	1	1
24	по самому существу	1	1
25	с одной стороны	1	1
26	ни на что	1	1
27	благодаря тому что	1	1
28	в связи с	1	1
29	самому существу своему	1	1
30	выходит за пределы	1	1
31	друг от друга	1	1
32	придется не один	1	1
33	это происходит не	1	1
