N	3gram	Vygotskiy__6	OGranits
1	с точки зрения	10	5
2	не может быть	2	4
3	по отношению к	10	3
4	что иное как	1	2
5	в пределах данной	1	2
6	но так как	1	2
7	в самом деле	1	2
8	в зависимости от	5	2
9	в данном случае	1	2
10	с одной стороны	1	2
11	с другой стороны	2	2
12	ничего общего с	1	2
13	есть не что	1	2
14	с самого начала	7	2
15	зависимости от этого	1	2
16	не что иное	1	2
17	в том что	19	2
18	том что в	1	1
19	один и тот	1	1
20	образом мы можем	1	1
21	как то что	1	1
22	что в основе	1	1
23	этой точки зрения	1	1
24	на самом деле	1	1
25	подобно тому как	1	1
26	выйти за пределы	1	1
27	те же самые	3	1
28	то же самое	6	1
29	мы можем установить	1	1
30	и не может	2	1
31	в отличие от	1	1
32	нет и не	1	1
33	не может иметь	1	1
34	только то что	2	1
35	в этом отношении	3	1
36	ориентироваться не на	1	1
37	то что в	1	1
38	в собственном смысле	1	1
39	и т.д и	1	1
40	можно было бы	5	1
41	но мы должны	1	1
42	в значительной мере	2	1
43	с этой точки	1	1
44	в последнее время	2	1
45	для того чтобы	8	1
46	так же как	6	1
47	но мы обязаны	1	1
48	и тот же	1	1
49	связанных с этим	1	1
50	один из наиболее	1	1
51	состоит в том	2	1
52	проблем связанных с	1	1
53	тем не менее	1	1
54	и как бы	1	1
55	и в их	2	1
56	в одном случае	1	1
57	в связи с	2	1
58	а не как	1	1
59	собственном смысле слова	1	1
60	потому что они	1	1
61	не имеет и	1	1
62	только в связи	1	1
63	мы не можем	1	1
64	так же точно	3	1
65	таким образом мы	2	1
66	в сознании не	1	1
67	включает в себя	1	1
68	ключ ко всем	1	1
69	возможно только в	1	1
70	на то что	4	1
71	на всем протяжении	1	1
72	эту точку зрения	2	1
73	к тому что	7	1
74	тех или иных	1	1
75	тому что он	4	1
76	и письменной речи	2	1
77	как и в	1	1
78	только к одному	1	1
