N	3gram	Bakhtin_Fr_8	EvropaiE
1	с точки зрения	2	16
2	в то же	10	15
3	то же время	10	14
4	и в то	5	8
5	с одной стороны	2	8
6	одной стороны и	1	6
7	в том что	6	6
8	для того чтобы	2	5
9	бы то ни	2	4
10	то ни было	1	4
11	и в этом	1	4
12	той или иной	1	4
13	в той или	1	3
14	в этом смысле	1	3
15	в этом отношении	1	3
16	можно было бы	1	3
17	в известном смысле	1	3
18	друг с другом	1	3
19	как бы ни	1	3
20	и прежде всего	1	3
21	можно сказать что	2	3
22	сказать что в	1	2
23	прежде всего в	1	2
24	и в частности	1	2
25	по своему характеру	2	2
26	в данном случае	2	2
27	но в то	2	2
28	заключается в том	1	2
29	по сравнению с	1	2
30	и только в	1	2
31	так и в	1	2
32	с другой стороны	2	2
33	не может быть	2	2
34	в частности в	1	2
35	и притом в	1	2
36	в большинстве случаев	6	2
37	и не имеет	1	2
38	как мы видели	2	2
39	а не к	1	1
40	еще далеко не	1	1
41	о том насколько	1	1
42	дело в том	2	1
43	более или менее	2	1
44	большей или меньшей	3	1
45	которые по своему	1	1
46	он мог бы	1	1
47	в нем и	2	1
48	на будущее в	1	1
49	в эту эпоху	1	1
50	же время в	1	1
51	в отличие от	1	1
52	но и в	1	1
53	том числе и	2	1
54	несмотря на его	1	1
55	или иной степени	1	1
56	но и эта	1	1
57	в значительной мере	1	1
58	в этом процессе	2	1
59	может быть и	1	1
60	из всех великих	1	1
61	в англии в	1	1
62	а также и	1	1
63	и в отношении	1	1
64	в некоторых случаях	1	1
65	и связанной с	1	1
66	во всех этих	1	1
67	в большей или	3	1
68	или меньшей степени	3	1
69	в связи с	3	1
70	друг к другу	1	1
71	же время не	1	1
72	до настоящего времени	3	1
73	вместо того чтобы	1	1
74	мы видели что	3	1
75	месяцев и даже	1	1
76	мире в отношении	1	1
77	культуры в ее	1	1
78	мы не можем	1	1
79	в то время	2	1
80	чтобы войти в	1	1
81	выходит за пределы	1	1
82	речь идет о	1	1
83	культуры между тем	1	1
84	в том числе	3	1
85	и будущего в	1	1
86	и всего мира	1	1
87	и до настоящего	2	1
88	к тому же	1	1
89	и не быть	1	1
90	мы стремились показать	1	1
