N	3gram	Nazirov_Vr_1	OGranits
1	с точки зрения	2	5
2	не может быть	2	4
3	одно и то	1	3
4	и то же	1	2
5	с другой стороны	1	2
6	в том что	2	2
7	равно как и	1	1
8	и не может	1	1
9	не было бы	1	1
10	в этом отношении	1	1
11	может быть и	1	1
12	так же как	1	1
13	все равно не	1	1
14	быть и речи	1	1
15	тем не менее	1	1
16	в этот момент	2	1
17	в связи с	3	1
18	он и не	1	1
19	и уж конечно	1	1
20	то же время	4	1
21	что в ней	1	1
22	и никогда не	1	1
23	но в то	2	1
24	на то что	1	1
25	но не менее	1	1
26	в то же	4	1
