N	2gram	Losev_Vlad_2	BTomashe
1	у нас	6	3
2	и не	18	2
3	все это	5	2
4	в ней	4	2
5	можно было	2	2
6	не то	3	2
7	крайней мере	4	1
8	по теории	1	1
9	тем более	3	1
10	остановиться на	1	1
11	также что	2	1
12	говорить о	1	1
13	будто бы	2	1
14	об этом	6	1
15	и в	30	1
16	не вполне	2	1
17	и о	4	1
18	к ней	3	1
19	что все	1	1
20	отметим следующие	1	1
21	в своей	5	1
22	необходимо отметить	1	1
23	как будто	2	1
24	было бы	9	1
25	все же	9	1
26	всяком случае	6	1
27	кроме того	9	1
28	никак не	3	1
29	между ними	1	1
30	было и	1	1
31	еще не	1	1
32	и на	4	1
33	прежде всего	6	1
34	в данном	3	1
35	и во	2	1
36	так и	5	1
37	не было	10	1
38	то как	1	1
39	в книге	1	1
40	его не	2	1
41	в композиции	1	1
42	далеко не	1	1
43	не о	2	1
44	до конца	7	1
45	неудивительно что	1	1
46	этой книги	2	1
47	а не	7	1
48	что в	12	1
49	в области	3	1
50	и ее	1	1
51	не все	1	1
52	по крайней	4	1
53	признать его	1	1
54	таким образом	3	1
55	и потому	2	1
56	не только	12	1
57	во всяком	6	1
58	свою книгу	2	1
