N	4gram	Tiupa_Disk_2	Analitik
1	состоит в том что	2	4
2	с той или иной	1	2
3	в то же время	4	2
4	субъекта объекта и адресата	1	2
5	мы имеем дело не	1	1
6	одних и тех же	1	1
7	не последнюю роль в	1	1
8	субъект объект и адресат	1	1
9	присутствия в мире в	1	1
10	как уже было сказано	1	1
11	человеческого я в мире	1	1
12	тем не менее в	1	1
13	одно и то же	2	1
14	между автором и читателем	1	1
15	упускать из виду что	1	1
16	имеем дело не с	1	1
17	может трактоваться в качестве	1	1
18	в эпических жанрах а	1	1
