N	3gram	Vinokur_Ku_3	Literetu
1	то же время	1	7
2	в то же	1	7
3	в отличие от	2	5
4	к тому же	2	5
5	по отношению к	2	4
6	не говоря уже	2	4
7	в данном случае	4	4
8	с одной стороны	4	4
9	о том что	3	4
10	в том что	8	4
11	в том числе	2	3
12	с точки зрения	16	3
13	говоря уже о	2	3
14	не может быть	3	3
15	в самом деле	11	2
16	то же самое	1	2
17	бы то ни	1	2
18	но и в	1	2
19	из того что	1	2
20	в том чтобы	3	2
21	не удивительно что	1	2
22	не только в	3	2
23	а не как	1	2
24	с другой стороны	3	2
25	и вместе с	1	2
26	в одном из	1	2
27	и в самом	4	2
28	той или иной	5	2
29	в другом месте	1	1
30	в этом его	1	1
31	одних и тех	1	1
32	хотя и не	1	1
33	было бы и	1	1
34	в той или	2	1
35	нас в данном	1	1
36	здесь может быть	1	1
37	именно в таких	1	1
38	на самом деле	3	1
39	имеется в виду	1	1
40	и к тому	1	1
41	друг от друга	1	1
42	только в том	2	1
43	хотя бы и	1	1
44	вместе с тем	1	1
45	а также в	1	1
46	в первую очередь	3	1
47	тому как в	1	1
48	и т п	41	1
49	а то и	1	1
50	и есть собственно	1	1
51	и тем не	3	1
52	и тех же	1	1
53	положение при котором	1	1
54	ту или иную	1	1
55	который может быть	1	1
56	может быть не	1	1
57	а во втором	1	1
58	на мой взгляд	3	1
59	в предыдущем очерке	1	1
60	и при этом	1	1
61	аналогично тому как	1	1
62	не только для	1	1
63	в этих словах	1	1
64	в связи с	4	1
65	далеко еще не	1	1
66	в целом ряде	1	1
67	для того чтобы	11	1
68	этой точки зрения	1	1
69	более или менее	2	1
70	в свою очередь	1	1
71	а не просто	2	1
72	и делает в	1	1
73	не только не	1	1
74	в конечном счете	1	1
75	с этой точки	1	1
76	к тому что	1	1
77	сама по себе	2	1
78	тем не менее	9	1
79	это не только	1	1
80	быть не может	1	1
81	что он в	1	1
82	в чем дело	1	1
83	как и следовало	1	1
