N	2gram	Bakhtin_fo_2	Retstnzi
1	не может	2	4
2	и в	46	3
3	один из	2	2
4	и школы	1	2
5	если в	2	2
6	нет и	3	1
7	в особенности	6	1
8	смысл и	1	1
9	лучше всего	1	1
10	и не	9	1
11	тому что	1	1
12	вещей и	7	1
13	не только	11	1
14	ни один	1	1
15	связи с	8	1
16	этой проблемы	1	1
17	бы на	1	1
18	точки зрения	10	1
19	конечно и	1	1
20	но и	9	1
21	и должно	2	1
22	в системе	1	1
23	тех же	1	1
24	в ней	1	1
25	в то	5	1
26	с точки	8	1
27	и на	7	1
28	права и	1	1
29	для него	3	1
30	мы видим	2	1
31	может не	1	1
32	и больше	1	1
33	вопросов мы	1	1
34	к тому	3	1
35	а не	4	1
36	его от	1	1
37	может быть	7	1
38	несмотря на	1	1
39	в его	8	1
40	ставить в	1	1
41	же время	4	1
42	то же	8	1
43	и все	6	1
44	из этих	4	1
45	если бы	1	1
46	в каждом	1	1
47	исходя из	1	1
48	бы в	1	1
