N	3gram	Savitsky_E_1	Komedia
1	в том что	6	9
2	для того чтобы	5	6
3	в свою очередь	2	6
4	в то же	15	4
5	то же время	14	4
6	к тому же	1	4
7	с точки зрения	16	3
8	в связи с	1	3
9	во всяком случае	3	3
10	речь идет о	1	3
11	с одной стороны	8	3
12	иначе обстоит дело	2	2
13	хотя и не	1	2
14	по сравнению с	2	2
15	бы то ни	4	2
16	в этом отношении	3	2
17	то время как	1	2
18	то ни было	4	2
19	с другой стороны	2	2
20	в то время	1	2
21	в известной степени	3	2
22	на этот раз	1	2
23	именно потому что	1	2
24	в силу этого	1	1
25	чуть ли не	1	1
26	более или менее	1	1
27	не говоря уже	2	1
28	в том числе	1	1
29	в соответствии с	1	1
30	одной стороны и	6	1
31	далеко не в	1	1
32	говоря уже о	1	1
33	и в то	8	1
34	в отличие от	1	1
35	что в смысле	1	1
36	независимо от того	1	1
37	на то что	2	1
38	несмотря на то	1	1
39	с этой точки	5	1
40	и в частности	2	1
41	как бы то	1	1
42	не сводится к	1	1
43	и в отношении	1	1
44	в некоторых случаях	1	1
45	глаза на то	1	1
46	в течение которого	1	1
47	как мы не	1	1
48	в других случаях	1	1
49	этой точки зрения	5	1
50	по своему характеру	2	1
51	так и в	2	1
52	можно сказать что	3	1
53	они относятся к	1	1
54	закрывать глаза на	1	1
55	и тем более	1	1
56	ставить вопрос о	1	1
57	мы находим у	1	1
58	именно к этой	1	1
59	к тому что	1	1
60	друг от друга	2	1
61	мы знаем к	1	1
62	в отношении к	12	1
63	друг с другом	3	1
64	или вовсе не	1	1
65	и в этом	4	1
66	к ней в	1	1
67	чем в других	1	1
68	на то чтобы	1	1
69	в том же	1	1
70	том числе и	1	1
71	и т д	1	1
