N	2gram	Savitsky_P_1	Problema
1	то что	4	38
2	и не	12	37
3	и в	14	35
4	не есть	1	33
5	не только	17	24
6	том что	4	19
7	может быть	5	18
8	в этом	10	17
9	настоящее время	1	16
10	но и	6	16
11	в настоящее	1	16
12	что мы	3	14
13	только в	7	14
14	не менее	2	13
15	потому что	3	13
16	не может	4	13
17	и что	1	13
18	во всяком	1	13
19	также и	1	12
20	того что	2	12
21	в том	9	12
22	хотя бы	8	12
23	не просто	1	11
24	никак не	2	11
25	прежде всего	3	11
26	что в	4	11
27	и то	1	10
28	говорить о	2	10
29	еще не	1	10
30	всяком случае	1	10
31	и с	2	10
32	а не	2	10
33	в данном	1	10
34	да и	2	10
35	тем более	2	10
36	есть знак	1	10
37	в этой	1	9
38	если мы	1	9
39	только на	1	9
40	для нас	2	9
41	все же	1	8
42	по себе	4	8
43	ясно что	1	8
44	было бы	6	8
45	как раз	2	8
46	есть нечто	2	7
47	бы и	1	7
48	м а	2	7
49	мы не	3	7
50	тем самым	3	7
51	не имеет	1	7
52	казалось бы	1	7
53	в его	2	7
54	и т	3	6
55	есть не	2	6
56	мы и	1	6
57	с другой	5	6
58	но как	1	6
59	к сожалению	1	6
60	но в	9	6
61	на то	1	6
62	т д	1	6
63	что все	1	6
64	мы можем	1	6
65	не о	2	6
66	в виде	2	6
67	в области	11	6
68	в то	7	6
69	то же	9	5
70	отнюдь не	2	5
71	с этим	2	5
72	в самом	1	5
73	в себе	3	5
74	этом смысле	1	5
75	как и	1	5
76	и без	3	5
77	и более	1	5
78	к сфере	1	5
79	и это	2	5
80	и на	1	5
81	тот или	1	5
82	с одной	3	5
83	одной стороны	3	5
84	или иной	1	5
85	что не	1	5
86	другой стороны	1	5
87	в частности	2	5
88	так же	1	5
89	пусть не	1	4
90	и есть	2	4
91	что если	1	4
92	не вполне	1	4
93	но не	3	4
94	не все	1	4
95	в общем	2	4
96	в своем	4	4
97	и как	3	4
98	более или	1	4
99	заключается в	3	4
100	и тем	2	4
101	далеко не	1	4
102	или менее	1	4
103	в этих	1	4
104	не будем	2	4
105	в отношении	10	4
106	есть прежде	1	4
107	для каждого	1	4
108	в каком	1	4
109	именно как	2	4
110	стороны и	2	4
111	все еще	1	4
112	что при	1	4
113	и о	5	4
114	если бы	4	4
115	и здесь	1	4
116	и только	1	4
117	тех пор	1	4
118	тот же	3	4
119	есть в	2	4
120	представить себе	1	4
121	как бы	4	4
122	все это	2	4
123	в результате	1	4
124	а в	4	4
125	до тех	1	4
126	гораздо более	1	4
127	можно говорить	1	3
128	вопрос о	1	3
129	не нужно	2	3
130	в истории	1	3
131	соотношение между	1	3
132	хотя и	3	3
133	могли бы	1	3
134	не было	2	3
135	и к	4	3
136	только то	1	3
137	из этих	1	3
138	только один	1	3
139	и по	1	3
140	о в	5	3
