N	3gram	Bakhtin_Fr_2	VrazhdaK
1	то же время	6	4
2	в то же	6	4
3	как и у	1	3
4	с точки зрения	5	2
5	но в то	3	2
6	в году в	2	2
7	в году и	1	2
8	не может быть	4	2
9	мотивы и образы	1	2
10	в том что	1	2
11	но не менее	1	1
12	в году когда	1	1
13	узнает в нем	1	1
14	одна из вариаций	1	1
15	в том же	1	1
16	над тем что	1	1
17	одним из основателей	1	1
18	до сих пор	4	1
19	и не может	1	1
20	в этом отношении	3	1
21	что в нем	1	1
22	все же в	3	1
23	был еще относительно	1	1
24	и в то	2	1
25	его отношения к	1	1
26	в конце концов	1	1
27	не только как	1	1
28	раз в году	2	1
29	и во всей	1	1
30	во всяком случае	2	1
31	с другой стороны	3	1
32	о том что	3	1
33	не только не	1	1
34	он как бы	2	1
35	в ту эпоху	2	1
36	на то что	1	1
37	что уже в	1	1
38	не только от	1	1
39	говорить не будем	1	1
